location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AL_01133,2020-01-22,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,11.16,16.01,31.54,7.28,32.51,-0.383333,-6.516667,7.872222,0.0,,-8.314815,54.282743
US_AL_01133,2020-01-23,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,10.5,16.5,32.49,11.0,33.99,4.761111,2.644444,6.9,1.128889,,-2.0,62.10913
US_AL_01133,2020-01-24,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,8.38,21.41,46.08,12.1,36.31,7.872222,5.6,11.166667,20.602222,,5.731481,84.763459
US_AL_01133,2020-01-25,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,15.99,29.89,43.1,,38.23,4.055556,1.866667,7.555556,2.032,,0.435185,76.600341
US_AL_01133,2020-01-26,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,14.36,20.24,39.82,,41.78,3.011111,-1.811111,10.433333,0.0,,0.824074,84.647479
US_AL_01133,2020-01-27,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,8.91,22.76,39.09,,38.11,9.077778,6.005556,14.544444,1.495778,,5.851852,79.60954
US_AL_01133,2020-01-28,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,13.15,21.92,38.0,14.13,44.33,6.077778,-1.472222,16.088889,0.225778,,1.666667,71.731909
US_AL_01133,2020-01-29,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,8.36,39.85,39.36,7.38,36.9,8.383333,4.438889,12.733333,0.366889,,4.407407,75.355
US_AL_01133,2020-01-30,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,,53.5,51.25,,34.35,7.461111,1.111111,15.244444,0.4826,,4.212963,77.785145
US_AL_01133,2020-01-31,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,12.23,37.71,33.12,8.15,37.71,8.905556,4.277778,12.7,0.0254,,4.824074,74.359693
US_AL_01133,2020-02-01,ChIJiS7o5xoMiIgR87QJwv9ayJ8,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,,,,,,,23760,11727,12033,2542,2860,2509,2517,3005,3528,3281,2347,1171,1848803,34.149167,-87.374722,204,1637,74.983333,,,,,14.22,36.55,31.82,12.19,52.12,8.122222,6.505556,10.45,0.451556,,4.759259,79.134424
