location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29009,2020-01-11,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.99,8.94,,8.62,5.75,6.07,12.14,9.58,,8.62,,6.07,,,,8.62,24.91,8.62,7.35,,,,45.68,,6.39,6.71,7.67,5.43,1.177778,-4.75,12.366667,57.531,,0.67284,95.878537
US_MO_29009,2020-01-12,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.62,9.9,8.58,,8.91,7.26,12.87,6.27,6.93,7.26,8.91,6.6,,,4.62,8.25,25.41,7.92,8.58,,,,45.22,,7.26,5.61,,,-1.9,-5.405556,5.027778,5.7404,,-3.55,88.893241
US_MO_29009,2020-01-13,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.8,5.81,9.34,6.57,6.06,4.29,16.66,7.32,4.29,8.33,4.29,6.06,6.06,5.55,7.07,7.32,25.76,7.07,6.31,5.3,4.8,8.59,41.66,4.8,7.07,5.81,4.29,4.29,2.994444,-2.155556,11.5,2.413,30.48,0.4,83.622432
US_MO_29009,2020-01-14,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.06,6.92,9.06,7.72,6.13,6.66,14.65,10.39,4.0,9.86,6.13,6.92,6.66,,5.06,7.99,24.5,8.79,9.86,5.33,5.33,6.92,39.15,7.46,9.59,6.66,6.66,6.13,7.466667,3.0,12.755556,0.0,,5.694444,88.866814
US_MO_29009,2020-01-15,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.8,7.47,13.88,8.27,,5.61,14.95,8.27,5.07,6.41,4.27,,5.07,3.74,3.74,14.68,27.49,6.94,4.27,4.27,,7.47,38.43,5.34,5.07,6.14,,5.61,11.855556,6.316667,17.838889,0.0,,9.911111,87.992498
US_MO_29009,2020-01-16,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.77,8.13,9.97,7.87,,4.99,14.17,5.25,4.72,10.76,7.61,,3.67,,4.2,9.97,30.17,5.77,6.04,,4.46,7.87,32.01,,8.13,4.46,4.46,,3.266667,-2.266667,11.755556,0.0,,-0.633333,75.709214
US_MO_29009,2020-01-17,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,8.71,6.4,5.89,7.17,,5.89,12.29,6.66,6.15,6.15,7.43,,3.59,,3.59,7.17,29.45,6.66,5.38,4.1,4.35,4.35,37.14,,5.89,4.35,,5.38,1.905556,-0.3,4.611111,4.100286,,-2.077778,75.008363
US_MO_29009,2020-01-18,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.27,4.84,12.11,7.61,,8.3,15.57,7.61,,6.23,6.92,,,5.88,5.19,8.65,22.15,5.54,7.27,,,,44.29,5.54,9.34,6.23,5.88,6.92,6.744444,1.561111,11.938889,18.433143,,3.188889,78.182442
US_MO_29009,2020-01-19,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.68,7.35,11.03,5.01,7.35,7.02,13.37,9.03,4.68,11.37,5.01,,5.35,5.68,8.02,9.36,24.4,10.7,5.01,,4.68,8.36,40.45,6.35,7.02,6.02,7.02,,-0.822222,-4.316667,3.061111,1.524,,-9.666667,51.500091
US_MO_29009,2020-01-20,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.34,7.93,16.49,9.51,8.24,6.34,16.49,10.46,6.02,8.88,,7.93,5.71,4.76,7.61,10.15,24.73,5.39,7.29,7.93,5.71,8.56,41.22,6.02,6.66,5.39,5.07,,-4.266667,-8.972222,2.111111,0.0,,-11.022222,59.58429
US_MO_29009,2020-01-21,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.47,6.77,8.59,10.42,8.59,5.21,19.53,9.12,5.21,5.99,11.72,3.65,7.03,7.03,7.03,9.12,35.16,8.33,4.95,4.43,6.51,6.77,41.93,,7.29,4.43,5.21,,-3.216667,-7.883333,3.833333,0.0,,-7.722222,71.240672
US_MO_29009,2020-01-22,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.58,5.32,9.62,9.88,3.8,6.33,14.94,7.85,7.09,10.38,7.85,5.82,6.58,3.8,7.09,9.37,32.41,3.8,5.32,8.61,5.32,8.36,38.24,3.8,5.32,6.84,3.8,6.84,-0.055556,-2.25,1.666667,0.254,,-3.383333,78.359502
US_MO_29009,2020-01-23,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.05,7.07,12.88,8.08,5.3,7.07,18.18,6.82,5.05,8.08,7.07,3.54,5.55,4.8,9.59,10.86,34.34,4.29,6.56,5.05,6.31,9.34,37.87,3.79,6.82,4.8,8.84,,2.016667,0.866667,3.844444,4.572,,1.6,97.110453
US_MO_29009,2020-01-24,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.96,6.2,11.15,8.43,4.96,5.45,27.75,11.65,3.47,10.9,,6.2,,6.44,6.44,7.93,29.24,4.21,6.2,5.2,5.2,,40.89,5.95,7.43,3.96,5.7,5.2,1.077778,-0.383333,3.833333,1.778,,0.416667,95.444179
US_MO_29009,2020-01-25,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.94,11.19,9.44,8.39,5.24,9.79,26.92,13.29,5.24,13.63,,5.94,8.74,5.59,5.94,10.49,36.01,6.64,,,,6.99,39.86,5.24,9.09,5.94,4.89,,1.505556,-3.472222,8.744444,0.254,,-1.694444,79.571551
US_MO_29009,2020-01-26,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.15,6.17,9.1,7.8,6.82,5.2,25.66,5.52,4.87,9.42,7.15,7.8,6.17,5.52,6.17,8.77,36.38,6.17,9.1,,5.2,4.55,41.25,7.15,5.52,6.17,4.55,5.2,6.538889,0.955556,12.416667,0.0,,2.694444,76.516431
US_MO_29009,2020-01-27,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.64,6.41,8.46,7.69,5.89,4.61,28.45,9.48,7.95,7.43,4.1,5.38,6.41,6.15,,11.53,43.57,7.95,6.66,,,5.89,39.47,4.61,6.92,6.15,3.85,,6.488889,-1.027778,15.161111,0.0508,,1.877778,72.665492
US_MO_29009,2020-01-28,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.16,5.93,9.79,5.16,6.44,6.96,29.38,6.96,6.44,7.22,5.16,,9.54,,4.9,11.08,37.89,7.47,8.25,5.67,4.38,3.87,34.02,4.38,10.05,5.41,3.87,8.51,3.261111,0.683333,9.766667,0.0,,1.733333,89.812522
US_MO_29009,2020-01-29,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.8,8.34,8.34,10.37,7.33,5.82,31.35,10.87,9.36,10.11,3.79,6.83,7.33,5.56,3.54,9.61,46.52,6.07,6.83,7.84,4.3,7.33,39.19,4.8,8.6,6.07,3.54,4.8,2.0,0.866667,3.211111,7.874,,1.455556,96.235316
US_MO_29009,2020-01-30,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.28,6.04,13.35,12.85,5.54,8.56,37.28,10.58,8.56,11.34,6.8,4.53,7.05,,3.53,9.57,42.32,5.29,6.3,6.8,,6.8,39.8,4.79,6.55,3.78,6.04,,1.455556,0.161111,3.955556,1.11125,,0.6,94.147952
US_MO_29009,2020-01-31,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.46,5.78,9.97,9.97,3.94,,29.14,9.45,4.99,7.88,4.46,4.72,9.19,3.67,,7.35,35.7,6.3,,3.67,,,32.29,,6.56,3.94,7.09,3.67,3.877778,2.15,7.027778,0.0,,2.038889,87.878147
US_MO_29009,2020-02-01,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,9.42,8.37,8.72,4.88,6.98,20.58,11.16,6.98,10.47,,,5.93,,7.67,6.98,38.38,6.28,7.67,,,,47.1,,9.07,7.33,6.28,7.67,4.177778,-1.994444,11.777778,0.0,,-1.227778,68.153024
US_MO_29009,2020-02-02,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.56,7.25,10.7,6.21,5.87,,22.09,8.28,,7.94,4.83,4.83,6.9,,7.25,7.94,24.51,,6.9,,4.83,,39.35,,6.9,6.21,,6.21,12.966667,5.611111,24.183333,0.0,,-1.666667,36.942967
US_MO_29009,2020-02-03,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.67,4.38,7.99,9.53,7.99,5.15,24.99,11.34,6.96,8.24,3.61,5.67,7.73,5.15,3.61,8.76,32.98,9.28,7.47,8.5,4.12,5.41,34.52,4.12,3.87,7.21,4.12,,16.655556,12.8,20.855556,0.0,,2.555556,39.066567
US_MO_29009,2020-02-04,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,4.23,11.46,5.73,6.97,5.73,22.91,14.7,4.48,11.21,,4.23,8.97,,4.48,9.71,34.62,9.46,7.47,7.72,4.98,7.47,33.38,,5.98,6.23,3.98,3.74,7.0,1.461111,17.538889,9.107714,,4.9,86.55893
US_MO_29009,2020-02-05,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.11,4.16,5.0,8.88,,,27.2,12.77,6.11,12.21,,6.11,5.55,3.88,5.83,5.27,29.69,7.49,5.55,6.38,5.27,5.0,39.68,4.44,4.16,7.77,8.05,5.0,0.433333,-1.066667,2.688889,4.354286,,-0.3,94.948513
US_MO_29009,2020-02-06,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.65,6.91,7.93,9.46,4.86,5.63,26.35,14.07,6.91,8.7,4.35,4.35,7.93,4.35,,8.7,29.42,5.63,10.49,4.86,4.09,7.16,32.23,5.37,6.91,,4.35,7.42,-2.422222,-3.783333,-0.316667,5.715,,-4.527778,85.610834
US_MO_29009,2020-02-07,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.5,,11.44,4.16,,,28.87,9.88,8.06,10.4,4.68,7.54,8.32,,4.42,11.44,38.76,4.94,5.72,5.2,3.9,5.72,41.88,,7.28,7.28,,5.2,-0.694444,-5.4,7.283333,0.1016,30.48,-4.827778,73.693415
US_MO_29009,2020-02-08,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,9.91,5.13,10.94,4.78,5.47,7.18,23.58,7.86,5.47,8.2,10.59,,9.91,5.81,4.78,6.15,30.75,9.57,8.54,,,,46.13,6.49,10.25,4.78,,,2.527778,-3.794444,10.355556,0.127,,-3.066667,66.794458
US_MO_29009,2020-02-09,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.41,11.45,8.76,5.05,5.73,8.08,25.93,12.8,,6.4,5.05,5.39,8.08,,9.43,11.11,31.32,6.4,10.1,4.71,8.08,,48.5,,11.45,4.71,9.09,,9.705556,4.305556,14.616667,0.47625,,3.816667,66.840683
US_MO_29009,2020-02-10,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.4,4.37,8.74,9.51,6.68,5.4,23.91,13.88,7.46,9.51,5.14,7.46,5.66,,,8.74,37.54,4.11,4.63,4.63,4.11,5.4,39.85,9.0,8.23,6.68,4.63,5.4,4.055556,0.372222,12.783333,3.20675,,3.266667,94.717093
US_MO_29009,2020-02-11,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,5.31,12.75,7.97,5.84,3.72,19.65,11.68,4.25,9.29,5.04,5.84,7.97,4.25,4.51,10.36,38.24,6.64,11.15,5.04,,6.37,35.85,5.58,4.51,6.9,5.84,5.04,2.116667,0.383333,5.044444,1.989667,,-0.288889,84.337778
US_MO_29009,2020-02-12,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,6.39,10.23,6.65,5.37,5.88,24.04,10.74,6.91,10.74,3.84,6.39,6.39,3.84,4.09,7.42,33.76,6.65,7.16,3.84,4.6,7.42,35.04,3.58,8.95,3.58,,6.14,2.716049,1.117284,4.5,2.032,,0.67284,86.485041
US_MO_29009,2020-02-13,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,5.38,9.73,8.71,6.66,4.35,19.97,7.17,3.84,13.06,,5.12,6.4,4.87,,8.19,26.12,7.68,7.43,7.43,3.84,3.58,39.43,5.63,8.19,7.17,7.17,3.58,-1.975309,-6.648148,3.574074,13.250333,,-4.987654,80.003456
