location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35027,2020-01-12,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,6.72,7.98,,13.87,10.92,8.4,20.17,7.14,32.77,,6.3,3.877778,-3.655556,11.811111,0.0,,-10.598765,34.274662
US_NM_35027,2020-01-13,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.36,9.69,6.59,13.56,8.13,6.97,23.63,6.59,34.48,,,5.405556,-3.594444,17.011111,0.0,,-10.814815,30.75068
US_NM_35027,2020-01-14,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,10.2,9.79,15.91,,6.12,22.03,,26.11,,,6.444444,-3.422222,18.344444,0.0,,-11.123457,27.093337
US_NM_35027,2020-01-15,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.73,,6.51,16.68,8.14,9.36,13.83,,37.02,6.51,,8.166667,0.533333,17.577778,0.0,,-10.771605,25.324757
US_NM_35027,2020-01-16,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,,,16.8,6.8,9.6,17.6,,32.4,8.4,,5.377778,1.955556,11.911111,0.09525,,-6.067901,44.617069
US_NM_35027,2020-01-17,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.09,10.24,7.09,14.97,9.45,,19.3,5.91,33.09,6.3,,5.655556,1.894444,13.666667,0.846667,,1.771605,75.702734
US_NM_35027,2020-01-18,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.34,8.89,10.44,11.98,5.41,,13.92,,33.25,,,4.533333,-3.533333,12.3,0.0254,,-6.049383,46.027285
US_NM_35027,2020-01-19,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,8.34,8.34,7.25,13.41,5.8,6.16,19.57,7.61,40.59,6.16,,2.477778,-4.755556,11.583333,0.0,,-7.425926,47.770225
US_NM_35027,2020-01-20,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,9.69,10.5,7.67,18.98,10.1,7.27,21.8,7.27,44.42,,,2.627778,-3.788889,10.961111,0.0,,-5.734568,54.6299
US_NM_35027,2020-01-21,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,10.34,9.6,16.99,5.17,5.54,20.32,,34.35,,,4.066667,-0.161111,9.222222,0.790222,,-2.17284,64.270317
US_NM_35027,2020-01-22,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,8.35,,19.21,11.7,7.52,27.99,6.68,33.0,7.1,6.68,5.227778,1.177778,12.344444,2.144889,,1.555556,78.335922
US_NM_35027,2020-01-23,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,10.87,8.05,6.44,18.93,7.25,,24.56,,35.03,7.25,,4.811111,-1.811111,12.322222,0.0,,-2.753086,58.285755
US_NM_35027,2020-01-24,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,11.07,,26.24,,6.56,28.29,,36.9,,,4.127778,-2.85,13.411111,0.0,,-2.91358,60.468097
US_NM_35027,2020-01-25,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,8.37,11.46,11.46,22.04,,7.49,26.88,,37.46,,,5.85,-1.666667,15.161111,0.0,,-3.074074,52.315298
US_NM_35027,2020-01-26,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,12.62,6.31,23.14,,7.57,24.82,8.41,45.85,,,6.327778,-1.505556,15.727778,0.0,,-4.388889,46.033723
US_NM_35027,2020-01-27,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,9.36,6.1,26.04,10.98,6.92,29.3,,34.58,,,6.072222,-1.766667,14.583333,0.028222,,-3.703704,50.180413
US_NM_35027,2020-01-28,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,8.87,8.07,6.86,25.41,6.86,10.49,31.46,6.45,29.04,7.66,,5.25,-1.038889,11.894444,0.0762,,-5.635802,45.485241
US_NM_35027,2020-01-29,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,8.2,7.76,20.27,8.2,10.79,25.88,,37.1,6.9,,1.938889,-6.077778,11.5,0.0,,-9.512346,42.690092
US_NM_35027,2020-01-30,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,8.39,11.19,25.58,9.19,7.2,28.78,,32.38,,,3.888889,-3.327778,11.466667,0.0,,-6.265432,48.303148
US_NM_35027,2020-01-31,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.27,9.56,5.36,27.93,7.65,9.56,29.46,,29.84,5.36,,3.5,-3.938889,10.505556,0.0508,,-7.024691,46.668778
US_NM_35027,2020-02-01,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,7.16,,26.26,6.76,,26.66,7.96,36.6,6.37,,4.122222,-4.744444,16.044444,0.2286,,-9.623457,36.588519
US_NM_35027,2020-02-02,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,6.41,14.33,5.28,21.49,,,25.26,,35.82,,,6.080247,-2.975309,16.512346,0.0,,-7.027778,38.706086
US_NM_35027,2020-02-03,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,9.15,7.04,21.46,8.8,7.39,26.04,5.98,24.28,5.28,,9.688889,2.122222,18.183333,0.0,,-7.061728,30.355792
US_NM_35027,2020-02-04,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.88,,,16.18,7.47,,24.07,,34.85,6.22,6.22,4.933333,-2.483333,14.777778,1.016,,-2.839506,58.807517
US_NM_35027,2020-02-05,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,7.42,7.89,12.53,7.89,6.96,13.46,,32.95,,,-5.35,-11.233333,-0.077778,2.06375,30.48,-9.265432,75.212007
US_NM_35027,2020-02-06,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,7.74,,12.22,,,24.04,6.52,29.33,6.11,,-1.15,-7.883333,9.55,0.2286,30.48,-10.290123,50.712103
US_NM_35027,2020-02-07,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,9.58,,21.65,10.83,6.66,29.15,6.66,31.65,,,7.011111,0.85,16.072222,0.0,,-4.024691,46.936531
US_NM_35027,2020-02-08,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,12.14,9.97,6.5,22.55,6.94,6.5,26.88,,41.19,8.67,,8.111111,-2.022222,18.177778,0.0,,-3.802469,44.100482
US_NM_35027,2020-02-09,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,9.73,14.15,9.73,12.82,,,17.25,7.96,37.59,8.4,,10.544444,2.388889,18.311111,0.0,,-6.154321,31.084777
US_NM_35027,2020-02-10,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,5.76,6.92,5.76,10.37,6.15,,16.91,5.38,33.04,,,7.783333,3.127778,15.077778,0.1905,,-0.567901,57.176976
US_NM_35027,2020-02-11,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,,7.43,15.28,8.67,,23.13,,36.76,,,2.3,-2.655556,10.861111,6.745111,,-0.037037,85.17763
US_NM_35027,2020-02-12,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,6.62,10.14,13.67,,12.79,20.29,,37.49,,,-0.766667,-4.794444,7.094444,3.640667,30.48,-3.37037,83.016727
US_NM_35027,2020-02-13,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,7.0,,14.41,9.47,9.06,23.05,,35.4,,,1.544444,-5.338889,9.972222,0.4064,,-3.969136,68.020994
US_NM_35027,2020-02-14,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,,7.4,12.63,8.71,7.84,16.11,,33.1,,9.15,3.022222,-4.183333,12.405556,0.0254,,-3.055556,66.243532
US_NM_35027,2020-02-15,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,12,12,-56,2,,8.37,6.47,10.66,14.08,6.09,,21.31,,33.11,,,7.183333,-0.983333,15.966667,0.0,,-2.216049,53.678714
US_NM_35027,2020-02-16,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,33,-1,-45,-1,,10.2,13.22,,16.24,11.71,,21.9,8.31,42.29,5.66,,8.911111,0.3,18.733333,0.0,,-4.561728,39.401826
US_NM_35027,2020-02-17,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,12,-4,,-13,,6.38,15.73,6.38,15.73,,7.65,31.46,6.38,40.81,8.08,6.38,12.244444,4.405556,19.988889,0.0,,-2.91358,35.603104
US_NM_35027,2020-02-18,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,4,-5,,3,,6.24,8.19,6.63,19.89,7.02,,15.99,7.8,33.15,,7.02,8.511111,1.666667,18.111111,0.0,,-1.185185,52.073864
US_NM_35027,2020-02-19,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,6,-10,-35,6,,,7.0,,11.12,,9.88,26.77,,33.77,,,5.855556,1.133333,13.333333,0.0,,-0.58642,64.76387
US_NM_35027,2020-02-20,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,7,-7,,2,,,9.96,9.96,11.15,8.76,10.36,18.32,,31.06,9.96,5.97,3.911111,-1.505556,11.516667,0.0,,-0.969136,73.273719
US_NM_35027,2020-02-21,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,5,1,-38,2,,5.95,9.12,,8.73,8.33,7.14,17.85,,36.1,,,1.911111,-1.838889,8.977778,0.0508,,-2.524691,74.025833
US_NM_35027,2020-02-22,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,-16,-15,-69,-4,,8.21,7.78,8.21,14.26,8.21,,18.15,6.48,28.52,,,5.905556,1.111111,12.605556,0.112889,,0.962963,71.084834
US_NM_35027,2020-02-23,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,-12,-24,-69,-2,,,7.83,,13.05,7.39,6.96,20.88,6.96,37.84,,6.96,9.511111,3.872222,14.0,0.66675,,2.462963,62.651974
US_NM_35027,2020-02-24,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,-9,-9,,5,,7.46,,7.07,9.03,,5.89,18.84,,34.15,6.28,,7.827778,0.594444,16.494444,0.1778,,-3.765432,44.778394
US_NM_35027,2020-02-25,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,-6,-11,,1,,,6.72,6.32,16.6,11.07,9.09,35.57,5.93,35.57,9.09,,4.194444,-2.688889,14.944444,0.0,,-11.641975,31.302478
US_NM_35027,2020-02-26,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,14,-8,-43,-1,,8.18,6.55,6.96,19.64,8.18,10.23,30.68,,33.14,,,-1.233333,-9.172222,7.627778,0.0,,-13.283951,40.429599
US_NM_35027,2020-02-27,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,10,1,,2,,8.78,11.97,,13.56,5.98,,31.11,7.98,26.72,,,2.677778,-6.911111,14.983333,0.0,,-13.061728,30.308996
