location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54007,2020-01-23,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,38.13,44.67,0.598765,-7.592593,8.938272,0.0,,-9.493056,48.481408
US_WV_54007,2020-01-24,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,22.95,26.94,6.166667,1.012346,10.691358,2.757714,,-1.430556,57.625432
US_WV_54007,2020-01-25,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,30.7,36.61,4.432099,1.12963,10.45679,22.25675,,2.506944,85.873982
US_WV_54007,2020-01-26,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,26.03,35.79,0.154321,-0.938272,3.864198,1.7145,,-2.166667,82.23985
US_WV_54007,2020-01-27,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,27.01,37.4,0.868056,-1.75,2.923611,0.689429,,-1.595238,80.664977
US_WV_54007,2020-01-28,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,33.21,36.53,-0.006173,-1.820988,2.524691,0.3175,,-2.263889,82.297805
US_WV_54007,2020-01-29,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,44.57,41.31,-0.537037,-1.685185,0.975309,0.4445,,-3.083333,79.977814
US_WV_54007,2020-01-30,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,41.56,30.62,-0.950617,-3.32716,1.617284,0.169333,,-3.604167,79.653771
US_WV_54007,2020-01-31,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,38.09,39.07,2.080247,-1.469136,5.91358,0.290286,,-0.180556,83.273894
US_WV_54007,2020-02-01,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,30.23,35.82,3.041667,-0.090278,6.055556,0.804333,,1.952381,90.200605
US_WV_54007,2020-02-02,ChIJIxKRF-DbS4gRGDxVhLuz5T8,Q494138,geoId/54007,US,United States of America,WV,West Virginia,54007,Braxton County,US,USA,2,,,,,,,14217,7198,7019,1545,1531,1627,1493,1755,2063,2159,1373,671,1913179,38.7,-80.73,1337,76.933333,,,,29.69,42.25,4.91358,0.234568,13.777778,3.81,,-0.631944,64.816627
