location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MS_28039,2020-01-23,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,19.09,15.07,30.65,10.55,41.2,10.592593,6.783951,14.450617,0.028222,3.703704,64.495963
US_MS_28039,2020-01-24,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,9.13,21.48,46.18,9.13,40.81,13.709877,9.567901,18.790123,1.778,7.814815,69.451536
US_MS_28039,2020-01-25,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,,30.34,55.62,12.28,58.5,9.950617,3.222222,17.08642,0.0,2.472222,64.462484
US_MS_28039,2020-01-26,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.61,24.62,34.34,,51.83,10.185185,6.641975,12.882716,1.721556,7.333333,87.985158
US_MS_28039,2020-01-27,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.54,27.08,38.27,14.72,42.98,11.851852,10.024691,14.425926,6.519333,9.574074,88.119965
US_MS_28039,2020-01-28,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.82,29.83,34.9,9.57,47.28,10.37037,4.709877,17.685185,0.0,5.740741,78.350624
US_MS_28039,2020-01-29,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,7.65,20.57,33.01,,40.19,12.030864,8.765432,15.012346,0.931333,8.759259,84.221299
US_MS_28039,2020-01-30,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,9.15,25.91,43.19,8.13,30.99,11.04321,6.716049,16.851852,4.826,6.324074,75.042499
US_MS_28039,2020-01-31,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.81,31.78,38.42,,37.0,12.697531,10.419753,15.185185,0.028222,9.453704,83.662858
US_MS_28039,2020-02-01,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.2,37.29,37.29,,41.36,11.709877,9.080247,14.660494,1.524,6.777778,74.595923
US_MS_28039,2020-02-02,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,16.92,39.26,39.94,,39.94,10.623457,4.197531,19.901235,0.0,4.0,68.154104
US_MS_28039,2020-02-03,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.48,24.6,41.0,9.29,36.08,14.604938,7.82716,21.030864,0.0,9.898148,76.208289
US_MS_28039,2020-02-04,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.86,19.51,29.78,9.76,33.89,18.185185,14.728395,22.154321,0.028222,15.472222,84.174642
US_MS_28039,2020-02-05,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.54,21.07,34.1,,45.14,19.444444,17.802469,21.814815,0.818444,18.37037,93.747631
US_MS_28039,2020-02-06,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,13.76,20.64,33.91,11.3,34.9,17.141975,10.87037,22.08642,31.100889,15.277778,91.921252
US_MS_28039,2020-02-07,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.84,18.02,27.29,,30.89,7.87037,2.401235,13.709877,6.716889,0.12963,61.114659
US_MS_28039,2020-02-08,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,15.2,31.09,35.93,,44.91,13.055556,7.283951,19.635802,0.0,6.990741,70.532687
US_MS_28039,2020-02-09,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.96,21.1,39.38,,42.9,14.882716,10.117284,20.62963,0.084667,10.787037,79.085104
US_MS_28039,2020-02-10,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,8.8,24.33,44.52,,38.31,19.148148,16.154321,22.364198,0.0,16.212963,82.151718
US_MS_28039,2020-02-11,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,16.4,23.19,34.5,,50.33,20.283951,17.734568,23.148148,1.157111,19.212963,90.543603
US_MS_28039,2020-02-12,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,11.72,24.57,36.29,16.75,53.6,19.709877,17.820988,22.82716,1.721556,18.481481,92.364796
US_MS_28039,2020-02-13,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,12.44,23.19,29.41,9.05,43.55,18.160494,12.765432,22.635802,4.374444,15.083333,84.031157
US_MS_28039,2020-02-14,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,,,,10.76,17.55,29.44,,33.41,10.401235,5.135802,16.759259,0.028222,1.666667,56.729499
US_MS_28039,2020-02-15,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,6,8,2,,21.94,29.73,,37.52,10.438272,4.17284,17.796296,0.0,-0.240741,50.680665
US_MS_28039,2020-02-16,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,-11,9,0,12.63,19.29,36.58,,45.88,12.635802,9.524691,15.537037,7.563556,9.37963,84.102541
US_MS_28039,2020-02-17,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,7,7,-1,,13.55,30.35,,56.36,14.919753,12.777778,19.358025,10.301111,13.212963,90.940924
US_MS_28039,2020-02-18,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,6,0,-2,12.27,14.72,28.95,,49.56,19.746914,16.635802,23.388889,0.112889,18.351852,90.730162
US_MS_28039,2020-02-19,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,2,10,6,9.61,15.17,32.87,,43.49,19.302469,15.271605,23.475309,0.423333,17.064815,86.787372
US_MS_28039,2020-02-20,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,-13,-2,-2,10.95,16.42,23.39,,27.87,14.185185,10.697531,16.660494,4.261556,11.916667,90.055384
US_MS_28039,2020-02-21,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,8,6,1,7.45,14.41,27.33,,35.28,8.425926,4.179012,12.623457,8.184444,0.944444,61.433228
