location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51610,2020-01-11,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,14.33,15.2,9.55,,,11.73,7.38,7.38,7.38,,,,,,23.45,,9.99,,,33.44,7.82,,7.82,,13.861111,6.166667,21.088889,0.0,,10.0,77.650754
US_VA_51610,2020-01-12,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.84,13.71,7.96,,7.52,16.8,8.4,,8.4,,,,7.52,7.96,26.09,,,,8.4,42.45,,12.38,7.96,,18.055556,10.322222,20.727778,6.1214,,11.308642,64.923356
US_VA_51610,2020-01-13,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.31,15.91,9.04,5.06,6.51,13.74,,,7.59,6.51,,,,,23.86,6.51,,6.51,11.93,38.32,5.42,8.68,7.95,,8.011111,4.233333,13.433333,0.9652,,3.432099,74.148196
US_VA_51610,2020-01-14,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.33,11.75,12.82,5.7,,12.82,12.11,5.7,7.48,,6.41,,4.99,10.69,21.01,6.77,,7.12,8.19,37.04,,8.55,,5.34,6.138889,3.177778,9.544444,0.5588,,5.012346,93.935275
US_VA_51610,2020-01-15,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.36,8.57,10.72,,8.22,8.93,7.5,8.57,7.14,5.0,6.79,,,6.07,24.29,9.65,7.86,,8.57,37.16,7.14,5.0,8.57,6.07,8.688889,3.788889,13.805556,0.3302,,6.098765,84.574532
US_VA_51610,2020-01-16,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,5.18,6.29,9.61,9.98,,5.55,17.38,8.87,5.92,5.92,,,,7.76,,18.49,,5.92,6.66,,32.17,,,,,9.166667,4.472222,13.116667,0.0,,1.685185,60.238751
US_VA_51610,2020-01-17,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.79,11.31,,,,15.08,7.96,,6.28,,,7.96,,7.54,22.2,,,,,34.76,,8.38,6.28,,1.038889,-1.711111,7.027778,0.0,,-9.623457,45.633077
US_VA_51610,2020-01-18,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.36,11.0,11.44,,,11.44,6.6,9.24,9.24,,,,,,19.8,6.6,,,,29.48,7.48,,,,-1.811111,-4.627778,1.688889,1.5748,,-6.925926,69.424527
US_VA_51610,2020-01-19,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,11.76,7.69,10.4,,,16.74,,,,,,,,8.14,20.81,,,,,38.91,,6.79,,,3.644444,-2.5,6.222222,2.5908,,-1.135802,71.781251
US_VA_51610,2020-01-20,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.54,11.76,10.13,,,18.65,12.97,6.49,8.92,,,6.08,,8.51,23.11,6.49,,,10.54,32.84,,10.95,6.08,,-2.233333,-5.122222,4.483333,0.1016,,-11.95679,48.022824
US_VA_51610,2020-01-21,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.21,12.78,12.42,8.4,8.77,18.62,6.57,6.94,8.4,5.48,,8.77,9.13,6.21,28.12,12.42,10.96,6.94,,37.25,,7.67,,,-2.616667,-6.611111,2.044444,0.0,,-11.493827,51.668658
US_VA_51610,2020-01-22,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,9.85,10.95,11.68,11.31,5.84,22.99,10.58,5.11,9.12,,5.47,6.57,,,32.12,6.2,6.57,6.57,6.57,38.32,,,6.57,,-1.894444,-7.611111,4.205556,0.0,,-9.493827,57.173083
US_VA_51610,2020-01-23,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,5.93,8.89,12.22,6.67,,18.89,6.67,5.56,6.3,5.19,5.93,,,8.52,27.78,6.67,,,5.93,39.27,,6.3,,,-1.0,-6.922222,5.816667,0.0,,-6.808642,66.328348
US_VA_51610,2020-01-24,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,9.9,8.8,5.5,,,22.72,6.96,,12.83,,,7.33,,10.99,35.19,,,,7.33,31.15,,7.33,6.6,,4.0,-3.038889,10.444444,0.0,,-0.814815,71.909703
US_VA_51610,2020-01-25,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,,9.01,,,,21.45,6.87,,7.29,,,8.58,,9.44,36.9,6.44,6.44,,,32.61,,,6.44,,8.3,3.972222,10.311111,21.3614,,5.901235,85.510348
US_VA_51610,2020-01-26,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.08,13.44,6.72,8.4,9.24,25.62,9.66,,7.98,6.3,,6.3,,6.3,39.07,,7.56,,9.66,38.23,,8.82,,,4.5,-0.711111,9.522222,0.4064,,-0.919753,69.221155
US_VA_51610,2020-01-27,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,5.21,7.81,13.39,7.81,,,27.16,10.42,,8.56,,,5.21,7.07,8.56,35.72,,8.56,,6.33,34.6,5.21,7.07,,5.58,4.483333,-0.777778,9.488889,0.0,,-2.061728,63.436259
US_VA_51610,2020-01-28,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,5.38,11.82,12.9,6.81,5.02,26.87,6.45,8.24,13.62,7.17,5.02,8.24,5.38,6.09,40.85,7.53,5.38,6.81,,42.64,,7.53,6.09,,5.194444,0.905556,8.583333,0.0,,-2.117284,59.895263
US_VA_51610,2020-01-29,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,,10.93,8.67,6.03,,21.11,9.05,6.03,,,,,,7.54,35.81,5.65,9.42,,7.16,38.45,,7.16,,,4.588889,1.966667,7.411111,0.0,,-3.623457,55.91404
US_VA_51610,2020-01-30,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,5.49,8.06,13.18,18.68,,6.96,31.86,6.59,9.16,6.59,7.33,6.59,6.59,,8.06,42.85,,6.96,,10.25,41.75,5.86,7.69,,,0.35,-3.861111,6.016667,0.0,,-6.271605,62.7313
US_VA_51610,2020-01-31,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.68,14.5,13.36,,,32.43,13.36,,8.78,,6.49,6.49,,8.39,37.01,9.16,8.78,,9.92,29.76,,7.25,,5.72,2.355556,-2.938889,7.005556,0.0,,-2.962963,69.015433
US_VA_51610,2020-02-01,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,7.65,12.15,12.15,,,,21.6,8.55,6.75,12.6,,7.2,,,,37.35,7.2,,,,36.01,,7.65,,,2.927778,-2.772222,9.638889,0.2794,,-0.074074,82.162274
US_VA_51610,2020-02-02,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.4,11.49,7.51,,9.28,20.33,14.14,,10.16,6.63,,,,,27.84,6.63,,,,40.66,,8.84,,,5.161111,-1.677778,12.083333,1.2192,,0.845679,74.399609
US_VA_51610,2020-02-03,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.55,18.94,12.38,,5.1,26.58,10.93,5.83,7.28,,5.83,5.46,,8.38,29.5,5.46,7.28,,5.83,36.05,,5.83,,,10.611111,1.222222,18.238889,0.0508,,0.876543,52.278308
US_VA_51610,2020-02-04,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.99,12.13,9.19,8.46,,22.8,9.19,7.72,8.09,7.72,6.62,,,7.72,29.41,6.62,7.72,,9.56,34.19,,,5.51,,13.505556,6.461111,19.155556,0.1524,,5.901235,60.209932
US_VA_51610,2020-02-05,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.39,12.03,11.65,,5.26,24.44,7.89,7.89,9.4,,,6.01,,5.64,33.46,12.03,,,6.77,34.59,,7.14,5.26,7.89,8.527778,3.166667,17.7,0.254,,5.179012,80.146385
US_VA_51610,2020-02-06,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,7.34,14.69,8.45,,5.14,26.44,14.69,8.08,7.34,,,,,12.85,38.56,,,5.51,10.28,39.29,,,6.24,,3.983333,2.622222,9.205556,1.8034,,3.117284,94.77257
US_VA_51610,2020-02-07,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.43,11.88,6.13,5.37,,20.31,9.2,,5.75,,,5.37,9.2,5.75,22.23,6.13,,7.28,8.05,35.65,8.05,,7.67,,8.144444,2.894444,14.322222,12.6492,,3.981481,75.823366
US_VA_51610,2020-02-08,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,9.33,9.33,7.55,11.11,,26.21,8.89,,,,,,,,27.55,7.55,8.0,,,41.32,,7.55,7.11,,2.433333,-1.722222,10.5,4.699,,-6.58642,52.315576
US_VA_51610,2020-02-09,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,13.74,12.45,7.73,,7.3,15.03,,,,10.3,6.87,,,,27.91,6.87,6.44,,,35.63,,,,,2.405556,-3.727778,9.538889,0.0,,-4.709877,60.787128
US_VA_51610,2020-02-10,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,5.48,7.3,10.22,9.49,7.3,8.76,18.62,7.67,6.94,12.05,5.84,8.03,7.67,,6.21,27.02,6.57,6.94,,5.84,43.45,6.21,,8.76,,6.461111,3.238889,8.266667,3.3274,,1.376543,70.50318
US_VA_51610,2020-02-11,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.83,7.67,11.51,,7.29,26.09,10.74,8.06,7.67,5.76,8.06,10.74,,13.05,28.4,8.83,,,7.67,38.76,5.37,7.29,6.52,,9.916667,6.327778,12.75,8.9408,,8.845679,93.617016
US_VA_51610,2020-02-12,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,9.26,13.12,14.27,,,18.52,8.1,8.1,6.94,,8.1,,,10.41,20.06,,9.64,,5.4,36.26,6.17,8.87,6.56,,7.216667,4.061111,11.661111,0.889,,-0.358025,59.539253
US_VA_51610,2020-02-13,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,7.52,12.4,5.64,7.52,7.14,19.17,10.52,,7.89,,,5.64,7.14,8.27,25.18,6.01,7.14,,7.14,35.71,6.39,,,,7.45,3.855556,12.594444,3.937,,5.765432,89.672034
US_VA_51610,2020-02-14,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.25,7.43,8.21,,,11.34,9.38,16.03,6.25,,,8.21,,,22.28,,5.86,6.65,,25.41,,,5.47,,3.216667,-1.433333,10.833333,1.7018,,-5.666667,53.097335
US_VA_51610,2020-02-15,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,-4,-3,,,8.32,12.02,,,6.93,17.56,11.09,,,,,,,,14.33,8.78,8.32,,,33.27,,,,,-3.005556,-8.422222,4.016667,0.0,,-11.87037,51.308671
US_VA_51610,2020-02-16,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,3,-1,,,7.32,13.18,15.13,,7.32,19.52,7.81,,,,,,,,26.84,,,,,32.69,,,,,2.577778,-5.805556,11.177778,0.0,,-5.524691,55.814384
US_VA_51610,2020-02-17,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,20,18,-59,,10.21,14.47,11.49,8.08,,12.77,,9.36,,,,,6.81,,21.27,,6.81,,,39.15,,,,,5.944444,-0.838889,12.272222,0.0,,-2.376543,56.321648
US_VA_51610,2020-02-18,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,3,2,-1,,9.39,15.4,10.14,5.63,6.76,19.16,7.51,7.14,5.63,,9.39,12.02,,7.89,25.92,6.39,7.14,6.01,9.77,28.55,6.01,,6.39,,7.561111,0.461111,14.972222,0.0,,1.024691,63.761484
US_VA_51610,2020-02-19,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,-2,-3,6,,9.0,8.25,6.38,7.5,,17.25,12.75,,7.88,5.25,6.38,8.63,,5.63,19.13,6.38,6.0,,5.63,40.51,,6.0,7.88,,8.961111,3.666667,14.061111,0.127,,-1.537037,48.264277
US_VA_51610,2020-02-20,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,-3,2,0,,7.71,10.79,13.49,6.17,6.17,13.88,6.94,8.87,11.18,5.78,,,,10.41,18.89,,,,,35.47,,,,,2.238889,-1.616667,9.688889,0.2032,,-8.753086,45.217936
