location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39161,2020-01-11,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.21,7.97,6.13,5.21,,6.44,,10.12,7.67,,7.97,6.44,,,,,4.29,19.63,,,,6.44,,32.82,4.29,7.97,,5.83,,12.388889,5.422222,15.966667,9.017,,10.592593,89.398201
US_OH_39161,2020-01-12,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,,7.37,10.75,9.83,,5.22,5.84,18.43,9.22,,12.9,6.14,6.45,5.53,,5.53,6.76,22.43,6.76,5.53,,4.61,6.14,37.79,,5.22,,6.14,,1.444444,-0.822222,5.766667,20.28825,,-0.611111,87.824003
US_OH_39161,2020-01-13,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,3.75,6.25,10.49,5.75,5.25,8.24,4.75,12.99,7.25,5.75,10.99,,8.24,5.5,5.0,5.25,7.0,25.73,6.75,7.75,3.75,5.25,4.25,40.73,3.5,8.0,6.0,5.0,,2.322222,0.133333,3.738889,0.592667,,0.361111,87.147145
US_OH_39161,2020-01-14,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.56,4.54,3.79,7.57,6.06,,4.04,12.36,7.32,5.05,7.82,,6.81,5.8,4.04,5.55,7.57,22.46,4.79,5.05,,5.3,8.33,34.82,4.29,5.05,5.05,4.79,4.29,2.305556,-0.594444,5.922222,0.0,,0.475309,88.054265
US_OH_39161,2020-01-15,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.34,6.63,8.67,6.89,6.63,7.4,6.63,16.07,7.65,5.36,7.91,,5.61,4.59,4.59,5.36,10.71,29.59,7.14,9.69,,5.36,7.4,34.43,5.1,8.93,6.89,5.36,4.34,2.511111,-0.583333,6.466667,0.0,,1.5,93.104498
US_OH_39161,2020-01-16,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.8,6.06,9.85,7.83,8.09,4.29,,14.65,6.82,4.29,8.59,3.79,4.29,5.56,,4.8,8.59,29.56,5.81,3.79,6.82,4.04,4.8,39.92,,6.32,6.06,5.05,,0.916667,-3.95,5.522222,0.141111,,-2.283333,79.391852
US_OH_39161,2020-01-17,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.86,7.13,6.11,5.35,4.33,6.11,5.09,15.03,9.94,5.09,9.68,4.08,4.08,,5.35,,11.21,28.79,4.33,9.17,3.82,4.59,3.57,33.63,5.61,8.15,4.59,,6.11,-4.772222,-7.766667,0.555556,0.0,,-9.0,72.642874
US_OH_39161,2020-01-18,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.31,7.49,7.49,5.62,4.37,4.68,5.0,11.86,8.74,7.49,7.18,5.0,,4.37,,,6.56,22.79,6.87,5.0,,,4.68,38.09,,6.56,7.18,,,0.488889,-5.266667,5.655556,7.62,30.48,-2.061111,83.457684
US_OH_39161,2020-01-19,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.87,8.34,5.87,5.87,,8.03,,16.05,9.88,5.25,7.1,6.17,4.94,,,,,25.93,,8.03,,6.17,5.87,39.83,,6.79,7.1,,,-8.816667,-12.7,2.355556,3.20675,30.48,-12.311111,76.002452
US_OH_39161,2020-01-20,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.1,8.1,13.81,4.5,5.4,6.9,4.5,18.61,12.31,,11.41,5.4,4.8,,5.4,,8.4,27.31,6.9,9.01,4.2,,,39.32,,10.81,7.8,4.2,5.7,-8.588889,-12.744444,-3.561111,0.0,,-11.746914,77.146599
US_OH_39161,2020-01-21,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.42,7.19,13.35,7.7,4.11,6.67,,19.77,8.21,7.19,7.7,6.16,7.19,6.16,4.62,8.21,7.44,31.83,5.9,7.96,3.59,5.39,6.16,44.41,5.13,11.81,8.47,6.16,5.13,-4.905556,-9.716667,-1.666667,0.0,,-8.67284,73.0619
US_OH_39161,2020-01-22,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,3.85,5.65,8.22,8.48,,5.65,,17.22,9.25,4.88,6.94,4.37,4.88,6.42,,7.96,7.71,29.29,4.11,4.37,5.14,6.42,,34.69,5.4,4.37,5.91,4.88,,-4.416667,-8.255556,0.983333,0.0,,-8.172222,75.559461
US_OH_39161,2020-01-23,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,3.78,9.57,7.56,8.31,5.29,5.29,,14.11,6.8,4.28,13.6,5.04,4.53,5.04,7.81,4.28,6.3,26.45,9.07,6.04,4.53,5.04,7.56,36.02,,8.82,4.79,6.04,3.78,1.122222,-5.005556,5.983333,0.0,,-5.666667,60.982161
US_OH_39161,2020-01-24,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.28,6.29,9.57,5.79,3.78,6.54,,20.39,6.54,5.79,12.08,5.54,4.78,6.54,,4.53,6.29,35.75,5.79,5.04,,5.54,5.54,39.02,4.03,7.8,5.29,4.53,7.3,3.544444,0.477778,5.638889,0.60325,,0.444444,81.140898
US_OH_39161,2020-01-25,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.61,8.9,10.88,6.26,5.61,11.54,,22.75,7.58,,11.87,5.61,,5.28,,5.28,4.95,23.08,5.93,5.61,,,4.95,37.59,,8.9,8.24,,,1.716667,0.061111,4.422222,5.36575,30.48,0.783951,93.309266
US_OH_39161,2020-01-26,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.8,8.1,8.4,10.5,5.4,8.4,,30.59,9.6,6.6,8.4,7.5,,4.5,,6.0,6.6,32.39,6.0,9.0,8.1,4.8,6.3,35.99,,6.6,4.5,4.5,,0.1,-0.319444,2.284722,0.85725,30.48,-1.049383,91.625823
US_OH_39161,2020-01-27,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,3.75,7.5,5.5,4.5,6.25,7.25,4.75,23.49,7.5,7.75,8.75,5.5,8.75,4.25,,6.5,9.0,32.74,5.0,6.0,3.75,5.0,6.0,42.48,4.5,7.25,4.5,5.5,5.5,-0.038889,-1.144444,1.266667,0.0,30.48,-1.376543,90.396593
US_OH_39161,2020-01-28,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.07,7.08,8.35,6.07,4.8,5.31,3.54,28.58,5.06,4.05,9.36,5.82,5.31,8.6,4.3,5.82,7.84,42.23,5.06,6.07,,4.3,7.33,35.91,,6.58,4.3,5.06,4.55,0.172222,-0.895062,1.037037,0.0,30.48,-1.487654,88.211002
US_OH_39161,2020-01-29,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,,6.09,11.42,9.9,5.58,7.87,5.33,34.26,7.87,5.84,15.48,3.81,6.09,3.81,3.81,,12.44,38.58,7.61,6.09,4.57,,4.31,34.77,,7.11,6.34,6.85,3.81,-0.194444,-0.808642,0.861111,0.03175,,-2.790123,81.946517
US_OH_39161,2020-01-30,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.63,6.95,9.01,6.44,9.79,6.18,,26.78,5.67,,13.13,4.89,4.12,5.41,5.15,5.67,7.98,32.7,5.67,9.53,5.67,5.41,,40.69,3.86,6.44,4.12,9.01,,-0.405556,-1.055556,0.533333,0.0,,-3.816667,78.158158
US_OH_39161,2020-01-31,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.21,3.88,9.06,5.17,4.4,4.14,3.88,27.94,8.02,4.66,4.92,7.25,,4.14,4.92,4.92,5.95,34.67,5.95,4.4,3.88,3.62,,32.08,,4.92,5.95,,4.4,0.044444,-0.844444,1.977778,0.0,,-3.016667,80.258487
US_OH_39161,2020-02-01,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.38,,6.65,6.02,4.43,6.02,,21.22,8.23,6.02,10.77,6.02,4.75,8.87,,6.02,5.7,29.45,6.97,,,,,37.37,,6.65,7.6,,,0.9,-0.911111,3.183333,0.0,,-0.969136,86.947636
US_OH_39161,2020-02-02,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.91,,6.75,7.68,5.22,6.14,4.91,23.64,7.98,,4.61,4.61,,9.21,4.91,5.83,,27.94,4.3,8.29,4.3,5.53,4.61,39.61,,6.75,4.61,5.22,,5.233333,-0.188889,14.316667,0.141111,,0.530864,71.134935
US_OH_39161,2020-02-03,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.68,5.72,11.71,8.85,5.46,9.63,4.42,20.82,6.76,3.64,6.76,5.46,4.16,5.72,6.25,5.46,9.37,32.26,4.68,7.81,4.42,4.42,5.2,36.69,5.72,7.55,6.5,,3.64,7.238889,-0.533333,14.544444,0.0,,2.811111,73.875687
US_OH_39161,2020-02-04,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.72,7.21,6.46,7.95,3.98,6.96,,21.37,12.92,4.97,9.19,6.21,,3.48,,3.73,6.96,27.33,4.97,3.98,7.21,,3.98,35.28,4.97,9.69,6.96,3.48,4.22,7.277778,-0.072222,14.027778,0.338667,,3.394444,76.72654
US_OH_39161,2020-02-05,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,,6.14,8.6,8.85,,3.69,,17.93,7.37,,11.79,,6.39,6.14,6.88,6.14,5.16,28.01,4.42,5.16,,6.88,6.39,38.82,4.18,6.63,5.16,7.86,4.67,-0.277778,-2.011111,1.305556,2.95275,30.48,-4.049383,75.260787
US_OH_39161,2020-02-06,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.22,9.07,7.42,8.79,3.85,7.97,,18.96,9.07,4.67,11.27,,5.5,6.32,,6.32,7.97,24.19,4.95,3.85,4.12,3.85,5.22,30.51,,,6.05,5.77,,-2.338889,-3.111111,-0.433333,3.01625,50.8,-3.814815,89.614812
US_OH_39161,2020-02-07,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.89,10.01,11.78,5.3,4.42,,,19.43,12.37,,6.48,7.95,5.3,5.3,4.12,4.42,5.3,25.03,,5.89,,4.42,,37.98,5.3,6.48,6.18,,,-2.405556,-4.105556,0.494444,0.471714,30.48,-5.314815,79.844165
US_OH_39161,2020-02-08,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.71,8.3,10.54,5.11,5.11,,4.47,24.91,8.94,,7.34,4.47,5.43,6.07,5.43,,6.07,28.1,6.39,8.62,,5.43,4.79,35.77,5.11,5.75,,,,-1.877778,-5.133333,0.777778,0.036286,30.48,-3.888889,84.934766
US_OH_39161,2020-02-09,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.96,7.43,12.7,6.19,,9.29,5.26,17.34,7.12,9.91,8.98,4.64,6.19,,,4.33,6.19,22.3,,4.33,5.26,,7.12,40.26,,7.74,6.19,,,-1.038889,-5.672222,1.594444,0.53975,30.48,-3.012346,85.753305
US_OH_39161,2020-02-10,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,,8.08,9.06,8.82,7.1,6.37,4.65,18.12,9.79,3.92,10.29,,6.61,4.41,3.43,7.59,7.35,36.98,8.33,6.37,5.14,5.63,8.08,37.22,5.39,14.45,4.65,5.88,5.63,2.094444,-1.627778,3.661111,8.73125,,0.617284,89.641474
US_OH_39161,2020-02-11,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.99,6.74,12.23,6.24,7.49,6.99,5.24,19.72,6.49,3.99,8.99,,4.74,6.24,,5.74,4.24,27.46,7.99,7.99,5.24,8.74,4.24,47.18,5.49,4.74,7.24,4.24,5.74,0.994444,-0.25,3.183333,1.5748,,-1.58642,82.563942
US_OH_39161,2020-02-12,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,7.63,5.91,8.12,5.91,,3.94,4.67,13.29,6.15,4.43,6.89,,5.91,3.44,3.44,4.43,11.32,22.64,5.17,5.17,3.94,3.44,,32.97,3.69,6.89,6.64,4.43,,-0.55,-3.333333,2.572222,0.3175,30.48,-3.851852,78.057693
US_OH_39161,2020-02-13,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,8.55,8.84,11.4,7.7,6.55,7.41,,19.1,7.98,,10.26,,5.99,4.28,4.56,,8.27,26.79,4.84,5.13,,,,44.46,,7.12,4.84,4.84,7.98,-0.622222,-4.688889,1.316667,4.0005,50.8,-1.993827,90.233508
