location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45029,2020-01-11,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,10.07,4.6,7.48,6.9,5.46,7.19,6.33,14.38,,11.22,,,10.35,4.31,,,4.31,4.6,,6.9,25.31,,,9.49,,5.18,5.46,41.7,5.75,7.48,5.75,4.89,5.75,19.641975,15.864198,23.425926,0.2032,17.548611,87.048691
US_SC_45029,2020-01-12,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.91,10.34,,8.94,9.78,7.83,4.75,6.15,18.17,5.03,7.83,5.31,6.43,13.7,6.43,6.71,,3.91,3.91,6.15,5.03,27.11,6.43,,10.34,,4.19,5.03,48.07,,9.5,7.27,6.15,,21.17284,19.104938,24.197531,1.5748,20.208333,94.319614
US_SC_45029,2020-01-13,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,8.5,6.8,4.37,9.95,5.58,4.13,,5.34,13.84,4.61,10.44,4.61,5.83,8.98,4.61,4.61,6.07,3.88,4.13,5.1,9.95,24.76,5.1,3.88,4.61,,5.34,5.58,38.35,4.86,7.28,13.11,4.37,5.83,20.5,18.240741,24.345679,4.106333,19.770833,94.067847
US_SC_45029,2020-01-14,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,6.25,8.0,5.0,8.5,6.25,7.75,6.5,4.75,16.75,4.5,9.75,4.25,6.0,10.5,4.0,4.0,7.25,5.25,4.75,5.0,8.5,28.49,5.75,,9.5,4.25,3.5,6.5,40.99,6.25,10.25,7.25,6.5,5.25,19.882716,16.148148,25.283951,0.310444,18.166667,89.532119
US_SC_45029,2020-01-15,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.5,8.0,4.0,13.5,9.75,6.25,8.0,4.25,11.25,,6.0,4.0,5.5,9.0,,5.75,5.25,3.75,8.5,4.25,9.5,26.01,7.5,3.75,11.0,5.25,4.0,7.25,40.01,3.5,12.75,7.0,4.0,7.75,19.777778,16.345679,24.450617,0.0,17.354167,85.883526
US_SC_45029,2020-01-16,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.65,5.62,,11.25,6.85,6.36,7.09,3.42,16.14,4.4,9.29,,5.38,11.49,4.16,4.89,4.65,4.65,,5.38,7.58,25.92,5.62,,8.31,4.4,3.91,3.67,44.51,,8.8,,4.4,5.38,19.728395,16.604938,24.969136,0.0,16.354167,81.659298
US_SC_45029,2020-01-17,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,7.79,,7.79,7.79,7.06,3.89,4.14,15.57,3.41,9.49,,4.62,8.03,3.89,4.62,5.6,4.62,5.6,4.62,10.71,23.12,4.14,,6.57,4.14,,5.35,36.01,4.62,3.41,3.89,4.62,5.6,11.975309,8.117284,19.734568,0.762,-2.569444,36.718616
US_SC_45029,2020-01-18,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.97,6.72,6.14,11.4,4.38,,6.72,4.38,13.15,,8.77,,,10.23,,6.14,8.77,5.26,9.06,8.18,10.23,23.96,5.55,,7.6,,6.14,4.68,40.03,7.01,6.14,,,4.38,9.796296,5.358025,18.777778,0.0,3.694444,66.359639
US_SC_45029,2020-01-19,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,10.43,,8.45,5.92,4.23,8.45,4.23,17.75,4.51,13.24,5.07,5.07,8.45,,5.35,6.48,5.92,7.61,4.51,9.58,26.49,5.35,,7.61,,6.48,5.35,40.3,4.51,5.35,,,5.07,16.246914,9.290123,18.277778,0.0,11.715278,75.08978
US_SC_45029,2020-01-20,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.97,9.92,5.1,11.34,7.08,10.77,6.52,6.8,16.15,5.67,8.5,6.8,4.53,11.34,5.95,4.25,5.95,,3.97,,9.63,27.49,8.5,,8.5,,5.95,6.52,47.61,4.53,8.22,4.82,7.08,6.23,5.604938,1.598765,10.493827,0.0,-4.409722,49.48664
US_SC_45029,2020-01-21,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,6.64,4.85,4.08,11.23,9.19,4.59,4.34,4.34,20.68,,10.98,7.15,8.68,10.72,4.59,4.85,,,4.85,5.87,12.0,27.32,8.17,,10.72,7.15,,3.57,39.57,4.34,6.38,6.64,5.11,4.85,1.938272,-0.858025,5.987654,0.0,-7.548611,50.500355
US_SC_45029,2020-01-22,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,6.56,6.3,,11.55,4.73,7.35,4.2,6.04,15.75,,10.24,4.73,6.04,9.19,6.04,6.56,9.71,6.3,7.09,8.14,12.08,35.45,8.66,,8.14,5.51,7.88,6.83,49.1,4.46,9.19,5.78,6.3,6.56,4.111111,-0.234568,12.191358,0.0,-6.361111,47.154901
US_SC_45029,2020-01-23,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.74,9.39,,13.3,3.91,5.48,4.7,,21.39,,7.57,5.48,,11.22,3.91,6.52,5.48,,7.04,,10.7,28.17,5.22,,9.13,4.43,,7.3,39.91,8.61,5.74,4.96,7.3,10.7,7.12963,2.722222,12.462963,0.0,1.618056,68.863854
US_SC_45029,2020-01-24,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,9.62,4.16,10.65,6.76,4.42,5.72,4.94,21.83,4.42,9.1,,3.9,9.36,3.9,5.46,7.54,6.5,,7.8,7.02,27.55,5.98,,8.06,4.42,5.2,4.16,38.2,3.9,7.54,5.72,5.46,5.46,12.574074,8.598765,17.981481,0.381,11.173611,91.608674
US_SC_45029,2020-01-25,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.75,10.99,,10.99,5.65,6.54,5.65,5.94,29.71,6.24,8.91,,,10.7,,7.43,,,5.05,5.05,5.35,31.2,5.94,,5.35,,,7.13,46.06,5.94,8.02,7.43,4.75,4.75,13.604938,8.407407,17.166667,1.27,9.444444,76.750467
US_SC_45029,2020-01-26,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.29,7.52,5.29,10.3,8.63,6.13,7.52,6.41,30.36,5.85,10.03,5.01,,11.7,,6.96,8.08,,7.24,4.46,5.01,28.96,7.24,4.73,10.03,,7.52,6.41,45.95,,6.13,9.19,8.63,5.29,8.660494,3.104938,15.018519,0.028222,2.069444,64.596757
US_SC_45029,2020-01-27,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.77,9.28,4.27,10.79,7.78,4.77,6.52,,29.11,7.03,12.29,3.51,4.77,9.79,5.52,4.77,8.03,4.01,5.02,5.02,10.04,35.13,8.28,,9.03,4.27,6.78,6.78,43.66,8.28,9.28,4.27,8.03,,10.598765,6.592593,14.858025,0.508,6.493056,76.662323
US_SC_45029,2020-01-28,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.64,7.55,3.64,12.23,6.25,8.07,5.73,6.51,29.93,3.9,12.75,,4.68,11.45,4.95,7.29,7.03,5.21,4.68,3.9,8.85,35.13,6.77,4.16,7.55,5.99,6.51,9.37,42.94,4.95,14.84,8.85,7.03,7.29,9.783951,3.975309,15.092593,0.423333,5.027778,72.979131
US_SC_45029,2020-01-29,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,6.33,6.58,,8.28,10.23,4.38,7.79,3.65,25.57,5.36,8.04,,6.09,7.79,,10.23,4.38,4.63,6.58,4.87,9.26,47.01,4.87,,7.79,6.33,5.6,7.55,46.03,5.36,17.54,5.6,4.63,5.36,7.401235,2.253086,13.67284,0.0,4.673611,85.178025
US_SC_45029,2020-01-30,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.31,7.79,3.78,8.03,5.9,8.03,6.85,,29.99,,9.68,6.14,5.9,9.68,4.25,4.96,6.14,3.78,4.96,4.72,7.08,40.86,9.45,,6.61,4.96,6.38,6.14,43.45,,9.21,4.01,4.96,4.49,9.796296,6.240741,13.91358,2.413,6.604167,81.220257
US_SC_45029,2020-01-31,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.97,7.24,3.97,10.51,5.37,5.61,4.67,4.44,32.24,,10.51,,3.97,7.94,,,4.44,,4.67,,7.01,37.62,5.37,,10.51,3.97,,4.21,31.77,4.21,8.88,3.97,3.74,7.01,7.54321,5.993827,10.5,1.7145,4.326389,81.053768
US_SC_45029,2020-02-01,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,8.86,4.57,14.86,6.29,4.29,5.14,,27.14,,10.29,5.14,,10.29,5.14,,6.57,6.0,,,5.71,31.43,8.0,6.0,10.86,,,4.29,44.0,4.86,7.71,7.14,6.29,6.29,6.944444,5.746914,9.197531,6.2865,6.180556,95.67865
US_SC_45029,2020-02-02,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.57,8.86,,13.43,7.43,8.29,6.86,6.29,29.16,4.0,11.72,,5.72,7.43,6.86,4.0,8.86,8.86,6.0,5.14,7.43,30.3,5.72,,8.29,,4.0,6.0,44.88,,6.0,8.57,6.86,7.15,9.574074,4.574074,16.944444,0.0,4.513889,71.379508
US_SC_45029,2020-02-03,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.21,7.1,4.97,9.0,6.39,7.34,5.45,6.63,24.86,3.31,10.66,3.31,6.39,7.1,3.31,7.34,6.87,5.21,5.68,4.97,5.45,38.84,6.63,3.55,7.34,4.5,,5.21,45.7,5.68,6.63,4.5,3.55,3.79,13.901235,6.753086,23.512346,0.0,4.527778,53.575671
US_SC_45029,2020-02-04,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,8.23,7.05,6.11,16.69,6.82,7.05,3.76,7.05,21.15,4.7,8.93,,4.7,8.93,,5.17,4.23,4.7,3.76,4.93,7.29,30.79,4.93,3.52,6.34,3.76,3.76,4.0,35.72,5.64,6.58,4.0,5.88,5.17,14.592593,8.95679,21.95679,0.0,9.472222,72.060402
US_SC_45029,2020-02-05,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,8.9,,11.07,6.74,5.78,8.18,6.98,20.21,,10.35,,5.78,11.55,3.85,4.09,4.33,6.02,5.05,3.85,10.11,30.8,8.42,,8.9,3.61,4.09,5.54,37.78,3.61,6.5,5.29,4.81,6.5,16.530864,11.746914,22.987654,0.0,12.875,79.541017
US_SC_45029,2020-02-06,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.41,9.01,,11.94,6.08,10.13,9.01,5.41,17.79,4.05,10.13,,4.95,8.56,4.28,3.38,6.53,3.38,4.73,4.28,7.43,28.15,6.98,4.73,8.56,4.95,5.18,4.5,39.41,3.6,5.63,4.28,4.05,,19.228395,15.148148,22.432099,0.0,16.965278,86.954906
US_SC_45029,2020-02-07,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.01,8.02,,8.73,7.31,5.19,5.19,3.77,20.05,,11.09,,4.95,6.84,5.19,,,5.19,4.95,4.48,8.73,25.47,6.37,4.72,5.66,5.42,3.3,4.48,37.03,3.54,5.66,5.66,,,15.04321,9.876543,21.185185,12.3825,9.083333,67.993708
US_SC_45029,2020-02-08,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,9.78,,9.19,5.93,4.74,5.93,,25.78,,12.44,,,7.7,5.93,8.0,6.52,6.22,,,9.78,27.26,4.74,,8.3,,,,43.55,,4.74,5.63,,5.63,7.018519,0.746914,13.882716,1.143,-0.020833,62.046502
US_SC_45029,2020-02-09,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.93,6.96,,11.01,6.96,4.06,6.09,6.96,28.11,5.51,13.62,,6.67,9.85,4.64,8.4,6.67,4.35,6.67,4.64,6.38,28.98,8.4,,10.43,4.64,6.38,4.64,40.86,5.22,7.53,7.25,4.93,9.56,8.253086,1.623457,14.91358,0.0,2.472222,67.937273
US_SC_45029,2020-02-10,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.32,5.23,,11.37,8.41,7.05,6.82,3.87,20.01,3.18,8.87,3.64,3.87,8.87,4.55,6.59,6.37,3.64,,3.87,7.28,31.38,7.05,,7.28,5.91,5.0,3.41,43.89,3.18,6.59,5.0,4.09,4.55,13.314815,5.765432,22.864198,0.0,9.055556,76.518411
