location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27115,2020-01-21,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.92,,7.56,5.4,,17.64,7.2,,10.08,28.8,,,6.48,36.0,9.0,6.12,-13.266667,-18.311111,-6.433333,0.042333,-16.783951,74.024602
US_MN_27115,2020-01-22,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.0,9.29,9.29,6.43,,16.45,7.51,,8.94,38.61,6.43,,6.43,35.39,6.79,5.72,-4.488889,-8.544444,0.922222,0.381,-7.635802,78.136839
US_MN_27115,2020-01-23,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.33,6.64,8.38,,5.24,15.72,10.13,8.38,10.13,37.02,5.94,9.08,5.24,34.92,5.94,,0.033333,-0.777778,0.822222,0.592667,-1.098765,92.28681
US_MN_27115,2020-01-24,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,5.58,,,,23.37,7.33,6.98,6.63,37.32,7.33,5.58,,35.23,5.93,,-1.722222,-3.388889,-0.077778,0.889,-3.635802,86.474836
US_MN_27115,2020-01-25,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.04,7.82,,,,18.77,7.04,,6.65,32.84,7.82,6.25,,32.45,,,-1.638889,-3.011111,0.433333,0.1524,-4.037037,83.209417
US_MN_27115,2020-01-26,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.39,8.98,,7.18,7.18,22.99,6.47,5.03,7.9,31.26,,5.03,,32.69,,6.83,-3.122222,-4.122222,-1.45,0.0,-5.290123,84.442417
US_MN_27115,2020-01-27,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.78,8.16,9.52,5.78,,21.09,6.46,,5.44,32.65,6.46,5.78,4.76,33.33,6.12,,-4.3,-6.355556,-3.1,0.0,-6.135802,86.740484
US_MN_27115,2020-01-28,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,9.85,11.25,,,21.45,11.25,4.92,6.68,34.81,4.92,5.27,,35.51,9.85,4.92,-8.366667,-9.977778,-6.172222,0.0,-11.246914,79.15956
US_MN_27115,2020-01-29,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.58,8.02,9.07,5.58,4.88,19.18,13.25,5.93,13.25,31.38,,6.28,,34.87,10.81,6.62,-7.833333,-10.033333,-4.444444,0.0,-11.037037,77.243809
US_MN_27115,2020-01-30,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,8.14,8.85,5.31,,27.96,9.2,6.37,7.79,37.16,,5.31,9.2,36.09,9.2,,-6.883333,-8.516667,-4.766667,0.0,-9.975309,78.07854
US_MN_27115,2020-01-31,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.96,7.71,12.62,,4.91,25.24,,,7.71,34.35,7.71,,,38.55,,,-4.033333,-6.211111,-0.061111,0.0,-5.950617,86.374098
