location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WY_56009,2020-01-25,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,11.96,23.93,34.49,36.6,1.763889,-4.875,8.9375,0.0,,-5.063492,59.570558
US_WY_56009,2020-01-26,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,24.01,30.96,22.75,0.986111,-4.736111,8.076389,0.0,,-6.047619,58.718918
US_WY_56009,2020-01-27,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,8.87,36.05,43.73,41.37,-1.013889,-5.895833,7.319444,0.0,,-4.97619,73.175477
US_WY_56009,2020-01-28,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,12.17,21.3,33.47,29.21,-1.805556,-8.868056,4.298611,2.0955,50.8,-6.579365,71.135762
US_WY_56009,2020-01-29,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,10.02,33.02,37.15,38.92,-0.743056,-8.6875,4.3125,0.127,50.8,-4.706349,73.648186
US_WY_56009,2020-01-30,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,37.19,34.33,36.05,-2.576389,-6.986111,2.479167,1.4605,78.74,-6.373016,76.095498
US_WY_56009,2020-01-31,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,28.58,36.16,36.16,-2.166667,-10.020833,6.118056,0.3175,78.74,-9.928571,56.028886
US_WY_56009,2020-02-01,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,14.72,26.1,26.77,28.78,4.361111,-3.111111,9.701389,0.0,78.74,-5.412698,49.495671
US_WY_56009,2020-02-02,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,22.87,27.44,33.98,6.291667,-0.368056,13.458333,0.0,50.8,-8.373016,36.747997
US_WY_56009,2020-02-03,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,19.22,23.49,27.76,-6.159722,-9.75,1.305556,1.93675,30.48,-9.920635,77.032033
