location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26061,2020-01-21,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,5.68,4.99,4.44,8.46,7.62,3.47,1.94,4.58,4.85,4.44,3.47,2.77,13.17,3.05,5.41,3.47,4.3,,8.18,5.96,2.63,4.71,4.71,2.36,2.63,4.16,5.13,2.08,5.41,24.82,3.74,3.74,5.13,3.33,4.44,6.38,1.94,7.35,36.74,3.19,6.1,2.22,3.6,6.24,5.54,4.3,3.05,3.74,4.85,2.63,-7.548611,-13.555556,-0.770833,0.0,-12.466667,68.602017
US_MI_26061,2020-01-22,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,3.34,5.01,6.12,3.34,9.46,8.07,5.29,,4.04,5.71,2.78,3.76,2.78,16.28,3.2,8.07,,4.87,3.06,12.25,4.17,1.95,2.78,5.57,2.5,3.2,4.17,6.4,3.62,5.15,30.2,7.79,2.78,6.4,2.64,4.17,7.24,,6.54,34.24,3.62,3.9,1.95,2.64,5.84,6.26,1.95,,3.2,5.57,,-2.8125,-6.111111,0.0,0.0,-7.977778,69.73471
US_MI_26061,2020-01-23,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,2.81,4.07,6.32,5.05,8.56,7.58,5.48,3.37,5.48,6.74,3.79,3.93,2.81,12.64,2.25,6.04,4.35,6.32,2.67,9.27,3.37,1.97,3.23,4.49,2.81,5.62,3.65,5.48,2.95,4.92,25.41,4.35,3.37,5.34,3.79,4.92,4.92,,6.88,39.03,3.51,4.35,2.53,3.23,4.77,4.07,3.37,2.39,3.93,5.9,,-0.493056,-1.833333,0.583333,0.1905,-1.7,90.810527
US_MI_26061,2020-01-24,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,3.78,5.9,4.84,8.16,7.26,2.87,,3.78,5.14,2.57,4.08,,22.07,3.17,5.14,,3.78,,3.93,4.99,2.87,4.23,3.17,,3.93,3.78,4.54,,5.75,32.21,4.54,3.33,4.08,2.72,3.02,2.72,,7.71,32.96,4.54,5.29,3.33,3.93,3.93,3.33,3.48,,3.93,4.08,,-0.125,-0.979167,0.847222,1.124857,-0.911111,93.410748
US_MI_26061,2020-01-25,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.78,8.65,5.15,9.57,8.83,3.86,,4.05,6.99,3.13,,,22.26,,7.54,3.13,5.33,,6.07,5.15,,4.97,6.25,3.68,2.76,3.68,5.15,2.76,4.6,32.75,5.7,,4.23,3.13,4.78,4.42,3.5,7.54,42.31,3.5,7.36,,,5.52,3.68,,,4.23,5.15,,0.194444,-0.576389,0.916667,1.04775,-0.6,93.677504
US_MI_26061,2020-01-26,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,5.04,7.73,4.7,7.56,6.89,3.36,,2.35,3.53,4.03,3.36,,29.9,3.36,6.72,2.35,4.87,,8.06,4.03,,5.54,6.89,3.53,5.04,3.02,6.72,2.35,8.4,36.96,7.22,3.02,8.57,3.02,2.52,4.37,3.19,4.87,38.13,3.36,5.71,,,5.88,3.19,4.37,,4.37,3.86,,-0.916667,-1.534722,0.013889,0.254,-2.488889,89.158214
US_MI_26061,2020-01-27,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,3.7,6.17,1.92,10.55,8.36,4.25,,4.11,9.05,3.7,3.7,2.6,22.89,,7.81,3.7,6.72,2.06,7.13,4.11,2.19,5.89,5.34,,3.7,2.19,3.98,1.92,5.21,34.27,5.89,3.15,5.76,2.74,6.72,3.98,2.06,6.03,39.75,2.47,5.48,3.84,3.7,6.03,4.8,4.25,3.43,3.15,2.88,,-2.4375,-4.25,-0.756944,0.036286,-4.1,86.986545
US_MI_26061,2020-01-28,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,3.48,6.55,3.2,8.63,7.94,4.6,3.06,3.76,5.99,2.37,3.34,3.06,27.57,3.9,8.36,3.62,,,6.96,6.27,2.37,4.04,7.38,1.95,2.79,3.62,5.15,2.09,6.68,39.97,4.74,3.48,5.01,2.92,4.18,4.46,4.04,6.55,36.77,4.04,4.87,,3.06,4.74,2.37,2.92,3.48,3.34,2.51,,-4.763889,-6.097222,-3.020833,0.108857,-7.244444,82.14386
US_MI_26061,2020-01-29,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.14,5.52,3.17,6.76,9.79,4.28,,3.72,4.83,3.17,3.17,2.48,25.66,3.45,9.24,2.62,6.07,2.62,9.66,5.79,,3.86,4.83,3.31,2.35,,3.59,,6.76,35.73,3.59,2.21,4.97,2.62,4.41,3.72,2.35,7.31,36.97,2.48,5.93,2.07,4.55,5.38,5.1,3.31,,3.17,3.86,,-5.020833,-6.993056,-3.388889,0.0,-8.577778,77.265015
US_MI_26061,2020-01-30,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.76,7.0,3.36,9.38,11.34,3.64,2.24,2.94,4.76,1.96,4.34,2.38,30.24,3.08,9.94,,5.18,2.1,9.94,3.22,2.24,5.74,5.74,3.64,3.36,3.92,5.46,2.1,4.76,34.44,7.28,3.78,4.34,,6.58,3.64,2.38,6.86,33.88,4.62,3.5,1.96,3.78,6.44,7.14,3.78,2.24,2.94,2.8,3.08,-4.548611,-6.965278,-2.972222,0.0,-8.211111,76.880408
