location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13241,2020-01-21,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,13.43,13.96,26.31,8.05,41.35,,48.33,,-0.583333,-3.8,4.316667,0.0,-9.555556,51.36976
US_GA_13241,2020-01-22,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,8.63,,16.19,9.71,35.07,10.79,43.7,10.25,-0.511111,-7.405556,9.477778,0.0,-10.25,48.395503
US_GA_13241,2020-01-23,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,10.95,11.5,,24.64,12.04,45.99,9.31,50.92,13.14,3.877778,-2.527778,10.161111,0.0,-7.011111,46.187984
US_GA_13241,2020-01-24,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,12.11,8.95,,24.75,12.11,32.12,,30.54,,6.177778,3.194444,9.272222,13.038667,4.005556,86.069224
US_GA_13241,2020-01-25,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,14.12,14.12,18.16,24.89,,42.38,11.44,45.07,12.78,5.166667,1.777778,8.583333,9.906,1.644444,78.100134
US_GA_13241,2020-01-26,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,11.56,11.56,36.6,,34.68,,43.67,12.84,4.011111,-1.944444,11.777778,0.0,-2.005556,65.555515
US_GA_13241,2020-01-27,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,9.81,10.35,34.32,,41.95,12.53,43.59,10.9,7.277778,3.194444,12.016667,1.0668,3.105556,75.492339
US_GA_13241,2020-01-28,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,9.23,11.4,11.4,30.39,8.68,45.59,,47.76,22.8,6.227778,-0.905556,14.216667,0.1778,0.283333,66.124198
US_GA_13241,2020-01-29,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,8.54,9.07,11.21,39.5,,44.3,8.54,46.44,14.95,4.988889,-0.366667,11.738889,0.0254,-0.261111,69.329472
US_GA_13241,2020-01-30,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,11.91,10.83,43.31,9.2,48.72,14.62,36.27,15.16,6.544444,0.911111,12.711111,0.0,1.755556,71.620406
