location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VT_50017,2020-02-01,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,7.44,6.57,8.32,7.0,22.76,13.13,6.57,9.63,31.08,,7.88,42.46,8.32,9.63,-1.155556,-3.794444,0.988889,0.0,-5.094444,74.689228
US_VT_50017,2020-02-02,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,10.13,,6.48,,24.72,13.37,10.13,7.29,35.25,9.32,6.48,33.63,6.08,9.32,-1.916667,-3.816667,1.15,0.0,-5.366667,77.519358
US_VT_50017,2020-02-03,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,4.91,12.27,7.01,7.01,5.26,22.79,7.01,5.61,10.87,25.94,6.66,5.61,35.41,9.47,8.77,-0.655556,-4.911111,4.005556,0.028222,-4.094444,77.647503
US_VT_50017,2020-02-04,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.73,7.09,8.15,,7.44,18.08,,5.32,5.67,32.96,7.09,6.03,33.67,9.22,,-0.655556,-5.227778,4.083333,0.0,-3.727778,79.768392
US_VT_50017,2020-02-05,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,6.23,10.26,5.13,,15.02,6.23,,,33.33,6.59,6.59,36.99,8.42,9.52,-1.572222,-6.733333,2.477778,0.0,-7.883333,62.279067
US_VT_50017,2020-02-06,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.82,7.96,7.96,,5.31,19.33,10.61,8.72,10.23,26.53,5.69,5.69,35.63,9.1,,-5.511111,-8.422222,-0.238889,4.572,-8.388889,80.302802
US_VT_50017,2020-02-07,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,6.04,7.25,,6.44,19.73,,6.44,6.44,33.43,7.25,,37.05,,7.25,-2.011111,-7.722222,-0.016667,4.826,-2.905556,93.649229
US_VT_50017,2020-02-08,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,8.34,7.42,,,21.32,7.42,,,25.95,,7.88,37.08,,,-9.822222,-14.905556,-2.794444,14.9225,-14.038889,71.580544
US_VT_50017,2020-02-09,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,7.98,8.82,10.5,6.72,7.56,24.78,7.14,7.98,,32.77,8.4,,39.07,7.98,8.4,-15.855556,-24.561111,-4.811111,0.0,-18.477778,80.286525
US_VT_50017,2020-02-10,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.61,7.35,7.71,10.28,5.88,18.73,11.39,6.24,9.55,29.75,11.39,9.18,35.26,7.71,9.92,-1.772222,-6.111111,2.127778,0.907143,-3.016667,91.249279
