location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NH_33007,2020-01-11,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,7.62,8.61,6.29,,,19.2,7.62,,9.6,5.96,8.28,5.96,,7.28,8.94,22.84,4.63,6.62,,5.3,,37.08,6.62,8.61,4.63,,6.29,4.338889,-1.061111,11.855556,2.685143,279.4,2.592593,86.725527
US_NH_33007,2020-01-12,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.16,10.64,9.03,7.42,7.42,,13.54,8.71,9.35,4.51,5.48,,5.8,,5.48,,23.54,5.8,8.06,,5.48,5.16,41.92,,6.13,5.48,,,2.3,-6.688889,9.494444,23.658286,78.74,1.055556,91.678492
US_NH_33007,2020-01-13,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.82,5.73,10.85,12.36,6.63,6.33,14.77,11.45,11.15,9.04,6.63,6.33,5.12,5.73,7.84,5.73,28.03,9.04,6.63,,,,37.37,,8.74,4.22,,4.82,-6.661111,-9.116667,-1.244444,6.567714,78.74,-9.383333,81.268599
US_NH_33007,2020-01-14,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.92,8.6,8.91,9.53,6.14,5.53,13.21,8.91,4.3,12.6,4.3,6.45,,,,11.68,25.5,4.3,7.07,7.37,6.45,5.53,37.18,6.45,7.99,7.68,4.92,4.3,-3.994444,-7.677778,-1.794444,0.399143,59.69,-5.583333,88.885039
US_NH_33007,2020-01-15,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.71,5.96,8.16,5.34,5.65,7.85,13.81,9.42,6.28,9.42,,5.34,6.28,,,8.16,22.29,4.71,5.02,,,6.59,40.49,,6.91,5.65,,,-1.738889,-5.433333,0.5,1.778,99.06,-3.55,87.853092
US_NH_33007,2020-01-16,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,6.91,7.23,11.62,7.85,5.03,15.71,7.85,,9.74,,7.54,6.6,,,7.23,29.53,5.66,,6.6,,6.6,45.24,,4.4,6.91,4.4,,-2.922222,-7.188889,-0.222222,2.975429,100.33,-4.694444,87.82804
US_NH_33007,2020-01-17,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,8.31,13.42,6.07,5.11,4.47,9.91,6.39,4.79,7.99,,,6.71,4.47,,9.91,21.09,7.99,8.95,,,6.07,31.64,,6.39,6.71,5.11,7.03,-16.116667,-21.966667,-4.655556,4.717143,74.93,-20.733333,68.204644
US_NH_33007,2020-01-18,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.47,6.39,10.95,10.95,5.78,7.0,12.47,7.0,6.39,10.04,5.47,,,,4.56,5.17,17.64,6.39,,,7.6,,34.98,,,5.17,,4.87,-18.222222,-23.127778,-11.455556,0.108857,74.93,-22.522222,69.929811
US_NH_33007,2020-01-19,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,6.72,7.63,10.69,10.69,7.02,,16.48,7.33,4.88,8.85,4.88,6.72,5.19,4.58,,6.41,14.35,6.41,4.88,,4.58,,47.62,,6.11,4.27,,,-9.65,-13.75,-4.5,8.454571,129.54,-11.822222,84.42996
US_NH_33007,2020-01-20,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,6.22,10.26,10.57,10.26,8.71,19.91,7.78,,10.57,,8.4,6.53,,4.67,6.84,26.44,6.84,5.91,5.91,,4.98,49.76,,4.98,5.6,4.35,5.91,-13.711111,-18.222222,-6.283333,1.632857,160.02,-18.322222,68.911731
US_NH_33007,2020-01-21,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.73,6.05,9.56,8.92,7.64,6.37,15.93,9.56,8.6,10.83,7.64,7.96,7.64,,7.64,9.88,33.13,7.64,9.24,7.64,9.24,5.1,52.24,,10.19,,,4.78,-16.083333,-24.027778,-8.9375,0.0,180.34,-20.291667,70.166899
US_NH_33007,2020-01-22,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,4.51,12.24,13.21,5.8,8.06,14.18,9.99,,8.38,,6.77,5.16,,8.38,6.12,27.71,9.35,4.51,,8.06,5.8,36.09,6.12,6.77,6.77,,,-8.592593,-14.308642,-1.111111,0.1905,149.86,-12.753086,72.05662
US_NH_33007,2020-01-23,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,6.89,7.2,9.7,8.14,7.2,6.89,23.47,8.76,5.01,12.21,7.51,8.14,6.57,,4.38,5.95,33.18,9.39,8.14,5.63,5.32,,39.12,6.26,7.83,5.63,,,-6.616667,-13.777778,1.344444,0.0,139.7,-12.061111,67.156055
US_NH_33007,2020-01-24,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,13.14,9.08,7.51,8.14,5.32,15.65,7.2,,6.88,,5.63,4.38,5.01,,10.33,32.23,6.57,6.26,,4.38,7.82,35.68,9.08,4.69,7.2,,4.38,-3.882716,-11.271605,3.759259,0.0,,-7.574074,75.579785
US_NH_33007,2020-01-25,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,7.17,8.41,9.97,7.48,5.92,4.99,22.74,8.1,,8.1,4.67,,,,5.61,6.85,38.32,8.41,8.41,7.48,4.36,4.67,40.5,4.99,8.41,7.48,,,-3.016667,-9.716667,3.1,0.0,134.62,-6.105556,79.607873
US_NH_33007,2020-01-26,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.41,4.81,9.31,6.61,6.91,4.51,27.04,6.61,4.21,9.31,6.91,6.01,,7.81,5.11,5.71,28.24,7.81,7.21,,,,39.96,6.31,,7.21,4.51,,0.655556,-1.133333,3.194444,7.765143,200.66,-0.666667,91.056699
US_NH_33007,2020-01-27,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,7.2,5.1,8.7,10.8,6.6,6.0,36.9,10.8,9.0,7.5,4.5,7.5,4.8,4.8,5.1,9.0,46.8,5.1,6.6,,6.6,4.2,47.1,5.7,6.3,4.5,4.8,,-0.261111,-1.35,2.105556,2.140857,160.02,-2.083333,88.409605
US_NH_33007,2020-01-28,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.86,7.4,8.32,7.4,7.4,8.02,56.73,12.33,5.24,10.79,5.24,4.93,5.24,,,5.55,57.65,7.4,7.71,6.17,8.02,6.47,47.48,,10.79,7.4,6.17,,-2.788889,-5.261111,0.144444,1.124857,154.94,-5.488889,82.419424
US_NH_33007,2020-01-29,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,4.97,10.88,10.57,7.77,5.6,28.61,15.55,4.66,11.82,6.84,4.97,6.22,,,8.71,43.53,10.57,10.57,4.35,5.29,5.91,41.98,6.22,13.99,7.77,6.22,,-7.975309,-13.703704,-1.783951,0.0,,-12.253086,71.846797
US_NH_33007,2020-01-30,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.98,5.6,12.77,7.78,4.67,8.41,29.58,13.08,5.29,8.1,,4.67,4.67,6.23,6.54,13.39,32.07,6.54,7.47,7.16,4.67,,33.94,4.67,7.47,4.67,4.98,,-13.512346,-21.37037,-3.246914,0.0,119.38,-18.419753,66.974312
US_NH_33007,2020-01-31,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.0,6.56,8.12,10.31,5.0,6.25,30.0,10.31,5.0,10.0,7.5,5.0,6.25,,5.0,10.0,30.93,7.81,7.81,,5.62,7.5,33.75,5.62,10.0,,6.87,,-9.316667,-19.133333,0.2,0.0,149.86,-14.444444,66.618864
US_NH_33007,2020-02-01,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,6.88,9.06,8.75,,7.5,18.75,12.5,,,,,5.31,4.38,7.81,8.44,34.07,5.31,9.38,5.31,5.63,6.56,38.76,6.56,5.94,6.25,,5.0,-3.844444,-6.45,-1.111111,0.145143,144.78,-7.744444,75.311246
US_NH_33007,2020-02-02,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,8.04,7.73,9.9,8.35,,6.5,21.66,9.59,5.57,10.21,4.95,4.33,5.57,5.26,4.64,5.88,30.01,4.95,5.88,4.33,,4.95,43.62,4.95,6.81,4.64,,,-4.427778,-7.438889,-1.294444,0.072571,180.34,-7.594444,79.230557
US_NH_33007,2020-02-03,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.37,4.47,10.44,10.74,5.67,5.37,17.9,13.72,5.37,9.84,,5.37,5.07,,7.75,8.35,33.11,8.65,9.25,5.97,10.14,6.86,41.16,5.07,8.65,7.16,5.37,5.67,-3.55,-8.288889,1.444444,0.399143,154.94,-6.294444,81.886032
US_NH_33007,2020-02-04,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.58,,9.61,11.46,5.27,6.51,18.28,10.85,5.89,7.44,5.58,,5.89,8.06,,9.3,31.61,,4.65,6.2,4.65,10.85,41.83,,7.75,,,,-2.85,-8.255556,1.811111,0.471714,154.94,-6.022222,79.297133
US_NH_33007,2020-02-05,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,,9.18,10.4,5.2,4.89,20.19,11.62,7.04,6.73,5.81,6.42,,,5.51,9.79,29.06,5.2,6.12,4.89,5.81,6.73,41.29,5.51,7.04,,6.42,5.51,-4.983333,-11.211111,-0.961111,0.435429,231.14,-10.072222,68.640458
US_NH_33007,2020-02-06,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,6.52,8.89,5.92,,5.63,19.85,11.55,5.33,10.96,5.92,,,,5.33,7.7,29.33,4.74,9.18,6.22,9.18,4.15,37.03,5.92,7.7,,4.15,4.44,-8.416667,-13.211111,-1.677778,2.866571,194.31,-10.727778,83.491267
US_NH_33007,2020-02-07,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.58,6.24,9.85,6.57,7.22,,17.41,7.55,4.6,5.91,,9.2,5.25,4.93,4.93,10.51,27.91,6.9,7.88,,6.24,,37.77,5.25,,4.93,,,-2.805556,-11.233333,-0.75,6.495143,224.79,-3.811111,92.902028
US_NH_33007,2020-02-08,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,,9.57,6.06,6.7,4.79,23.29,11.8,7.34,5.74,,,4.79,5.74,,7.34,34.13,6.7,13.08,5.74,,5.1,35.41,6.06,9.57,,,,-13.105556,-18.433333,-6.066667,12.264571,231.14,-16.772222,74.85111
US_NH_33007,2020-02-09,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.33,6.19,8.05,,7.43,5.88,21.36,6.5,,8.36,7.43,4.64,5.26,,,6.81,28.78,10.52,8.97,,,,43.02,,7.12,5.57,4.64,7.12,-18.016667,-28.077778,-6.744444,0.15875,290.83,-21.494444,74.659333
US_NH_33007,2020-02-10,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.74,,10.88,10.27,4.53,7.25,22.06,11.18,6.34,12.39,,6.04,6.95,,5.74,10.27,28.1,5.14,7.86,,5.14,,36.86,,6.34,,6.65,,-4.122222,-8.944444,0.683333,3.048,334.01,-5.394444,91.001871
US_NH_33007,2020-02-11,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,6.15,7.03,12.59,7.32,5.56,,20.79,11.71,4.98,7.91,,8.2,5.56,4.98,,8.79,28.41,4.69,5.86,4.98,4.39,7.91,35.14,,6.74,,,,-3.161111,-8.261111,0.883333,2.19075,248.92,-4.594444,89.945259
US_NH_33007,2020-02-12,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,4.83,4.53,14.2,4.53,7.55,11.48,9.37,6.65,7.55,5.44,5.14,5.44,6.04,5.44,7.86,22.97,7.86,6.65,5.14,7.25,,36.87,7.25,10.88,6.35,4.23,,-2.6,-8.088889,0.3,1.088571,279.4,-6.455556,75.514302
US_NH_33007,2020-02-13,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.09,6.14,6.43,9.06,7.02,10.53,16.08,9.94,5.26,10.53,,4.39,9.06,,,7.6,28.95,7.89,7.02,,8.77,,39.18,4.09,5.56,7.89,7.89,6.73,-3.061111,-6.672222,-0.255556,1.124857,345.44,-5.35,84.438958
