location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05071,2020-01-23,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,5.91,7.49,10.25,27.59,10.64,11.04,44.94,6.31,33.11,,2.516667,1.055556,4.977778,10.994571,,1.788889,95.031763
US_AR_05071,2020-01-24,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,9.75,10.97,8.13,30.47,15.85,,33.32,9.35,42.66,,2.394444,0.433333,5.022222,2.4765,,0.788889,89.502711
US_AR_05071,2020-01-25,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,10.48,,20.44,,9.43,40.88,,48.22,,3.111111,-2.916667,11.75,0.1016,,-1.266667,73.133072
US_AR_05071,2020-01-26,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,10.49,8.0,37.98,9.99,14.49,36.48,13.99,44.48,8.49,7.983333,2.127778,13.822222,0.959556,,4.555556,79.083061
US_AR_05071,2020-01-27,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,6.05,8.87,7.66,40.3,11.29,13.3,39.09,,40.71,6.45,7.572222,0.338889,16.266667,0.254,,3.177778,74.085256
US_AR_05071,2020-01-28,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,6.94,12.66,6.53,41.65,13.88,6.53,45.33,10.21,40.42,10.62,4.877778,1.738889,10.811111,0.0,,3.416667,90.32521
US_AR_05071,2020-01-29,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,6.99,11.09,65.33,8.22,9.45,58.76,6.16,36.16,8.63,4.205556,2.883333,5.6,11.357429,,3.361111,94.347998
US_AR_05071,2020-01-30,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.59,10.54,9.7,72.93,8.43,12.65,57.75,9.27,34.57,7.59,3.361111,1.972222,5.422222,1.27,,2.1,91.616869
US_AR_05071,2020-01-31,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,6.14,8.59,9.82,45.83,13.09,10.23,43.78,,40.91,,5.011111,3.1,7.922222,0.028222,,2.922222,86.46843
US_AR_05071,2020-02-01,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,12.77,10.11,38.31,,,44.69,,46.29,,5.311111,-1.311111,13.094444,0.0,,-0.344444,67.122947
