location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55049,2020-01-21,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,5.13,5.13,6.03,14.18,,5.73,17.19,6.94,8.14,,,5.43,30.77,9.05,4.83,4.83,31.97,8.14,4.53,-11.583333,-17.377778,-5.3,0.0,129.54,-14.061111,82.059109
US_WI_55049,2020-01-22,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,10.32,6.31,6.31,4.59,16.92,6.6,8.03,4.3,4.88,5.74,22.94,5.45,6.02,4.01,28.96,6.02,6.31,-4.188889,-7.755556,-0.327778,0.0,129.54,-7.083333,80.536774
US_WI_55049,2020-01-23,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,4.36,7.27,6.11,8.73,,,21.82,7.86,5.82,,4.66,,44.23,5.53,6.69,,35.21,4.36,,-1.161111,-2.888889,0.122222,1.49225,139.7,-2.316667,91.982292
US_WI_55049,2020-01-24,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.74,8.79,4.39,,6.15,24.6,4.39,4.69,,4.98,6.74,26.94,5.86,4.98,,29.87,4.39,,0.188889,-0.95,1.4,1.721556,165.1,-0.561111,94.847771
US_WI_55049,2020-01-25,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,6.86,8.0,,,18.66,10.66,7.24,,,7.62,25.52,,,,31.99,,,0.644444,0.111111,1.271605,2.427111,215.9,-0.422222,92.797203
US_WI_55049,2020-01-26,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,6.79,5.77,6.45,4.75,4.75,5.77,25.45,9.84,7.47,,,,30.54,,6.11,6.79,33.6,7.81,,-1.272222,-2.977778,0.75,0.338667,190.5,-2.705556,90.269865
US_WI_55049,2020-01-27,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,6.31,,6.6,7.75,6.31,5.17,21.52,7.46,7.75,,5.74,6.6,30.13,7.46,4.3,4.3,36.45,,4.3,-2.094444,-3.394444,-0.144444,0.0,190.5,-3.777778,88.528706
US_WI_55049,2020-01-28,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.66,6.37,10.14,6.37,,25.2,8.4,4.34,5.21,5.21,5.21,33.31,7.53,,,33.89,5.79,5.21,-2.816667,-4.444444,-0.6,0.0,175.26,-5.05,84.904413
US_WI_55049,2020-01-29,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,6.84,9.51,5.65,,25.27,7.13,5.65,,,,28.83,,,5.05,31.21,5.35,,-4.477778,-5.438889,-2.633333,0.0,175.26,-6.972222,83.049581
US_WI_55049,2020-01-30,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,4.47,7.46,5.96,6.56,5.67,4.47,26.84,5.37,9.24,,4.47,5.67,32.8,,5.96,,30.71,10.14,9.84,-3.177778,-4.288889,-1.216667,0.0,175.26,-5.855556,82.001758
US_WI_55049,2020-01-31,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,5.21,6.75,8.28,6.44,,22.39,9.2,5.21,4.91,6.44,,30.98,9.81,4.91,5.21,32.82,6.44,4.91,-1.544444,-2.972222,0.55,0.036286,175.26,-2.994444,90.029067
US_WI_55049,2020-02-01,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,6.52,10.35,5.75,,21.08,7.28,6.52,,10.35,,33.73,,6.52,,29.52,8.05,,0.616667,-0.905556,2.733333,0.471714,175.26,-1.094444,88.516462
US_WI_55049,2020-02-02,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,5.77,5.41,,5.05,15.14,7.21,6.13,,,5.05,24.16,,,,34.61,5.77,5.77,4.155556,0.522222,8.455556,0.0,165.1,-0.655556,71.188066
US_WI_55049,2020-02-03,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,5.98,6.57,6.57,,5.08,21.81,9.56,8.37,,4.48,6.28,25.4,,4.48,,34.06,4.18,5.38,0.7,-4.361111,5.511111,0.0,154.94,-2.127778,81.567331
US_WI_55049,2020-02-04,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,8.57,10.64,8.28,5.02,,13.6,5.02,5.32,4.14,,7.39,21.28,,,4.73,30.44,4.43,4.43,-1.333333,-4.427778,2.9,0.0,129.54,-9.133333,55.918247
US_WI_55049,2020-02-05,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,6.63,5.12,,5.72,28.62,7.23,10.84,,,4.52,32.53,5.12,5.12,5.12,32.23,5.12,,-6.05,-9.416667,-1.927778,0.0,114.3,-13.111111,57.754121
US_WI_55049,2020-02-06,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,7.59,4.55,5.16,6.68,,5.16,24.28,9.1,10.01,5.46,,5.76,29.13,4.55,5.76,4.55,29.43,9.1,4.25,-4.716667,-9.816667,0.244444,0.0,114.3,-11.377778,59.754262
US_WI_55049,2020-02-07,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,10.43,4.91,4.91,6.75,17.17,,4.91,4.29,,6.44,22.08,,4.6,4.91,32.2,5.52,5.21,-4.744444,-9.116667,0.255556,0.0,114.3,-10.544444,64.106373
US_WI_55049,2020-02-08,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.72,8.22,5.6,7.84,,19.05,10.09,5.98,,5.98,7.47,22.79,5.6,6.35,,40.72,,,-3.877778,-7.655556,-1.122222,0.0,104.14,-8.166667,72.331415
US_WI_55049,2020-02-09,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,5.86,7.24,7.24,,4.83,,18.28,12.41,6.55,5.17,6.9,,22.76,5.86,5.17,5.52,31.73,5.86,8.28,-4.85,-9.75,-0.272222,0.73025,163.83,-7.605556,81.143606
US_WI_55049,2020-02-10,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.64,6.06,7.21,4.33,,17.6,6.93,7.5,4.91,6.35,7.5,28.57,4.33,6.06,8.66,28.28,6.93,,-7.083333,-15.833333,-1.077778,4.318,154.94,-9.283333,84.494637
US_WI_55049,2020-02-11,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,5.83,,,7.58,9.33,5.54,14.87,8.16,6.71,4.96,4.67,6.41,25.66,,,4.08,34.11,,,-6.316667,-11.522222,-1.85,0.0,165.1,-9.194444,80.237228
US_WI_55049,2020-02-12,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,5.81,5.81,8.13,6.1,6.97,5.81,12.78,6.97,7.84,4.65,6.97,4.07,33.11,,6.1,5.52,26.14,6.39,5.52,-4.438889,-10.855556,1.944444,0.0,149.86,-8.461111,73.760127
US_WI_55049,2020-02-13,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,6.09,5.22,5.8,4.93,5.8,9.57,19.43,8.12,5.51,4.93,4.64,5.8,29.0,4.35,,4.35,27.26,,5.22,-9.133333,-16.488889,0.122222,1.161143,149.86,-13.177778,72.674657
US_WI_55049,2020-02-14,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.45,7.32,4.1,,6.15,21.09,7.62,5.86,4.1,,4.98,25.78,,,,34.86,4.98,4.98,-19.622222,-26.311111,-11.8,0.2286,190.5,-25.511111,59.749002
US_WI_55049,2020-02-15,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,5,0,,8,,,8.2,,,,,10.81,11.93,,5.96,5.59,,24.23,8.95,,,29.07,,,-7.05,-15.772222,1.227778,0.0,175.26,-12.05,67.76667
US_WI_55049,2020-02-16,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,5,4,,4,,,10.11,12.9,5.93,,,24.05,,8.37,4.88,,7.67,25.8,5.93,6.28,5.23,34.86,8.02,5.23,-3.733333,-10.311111,0.305556,0.0,165.1,-7.061111,77.891714
US_WI_55049,2020-02-17,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,-28,-5,,-4,5,5.89,6.17,7.29,7.29,4.21,5.05,17.67,9.54,5.05,,5.33,5.61,25.8,5.89,4.49,,29.73,4.77,6.17,-1.438889,-5.3,1.027778,0.874889,199.39,-4.716667,78.510504
US_WI_55049,2020-02-18,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,12,14,,0,-1,4.88,4.31,11.21,6.9,,6.61,18.68,8.62,,6.04,7.18,6.9,25.0,7.47,,,31.04,4.02,8.05,-1.216667,-4.961111,0.844444,6.773333,199.39,-3.955556,81.835288
