location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NH_33019,2020-01-21,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,2.83,4.25,6.88,3.03,9.3,9.71,4.85,3.03,3.64,9.51,4.45,5.66,,22.25,4.25,9.1,4.04,6.67,10.72,6.07,2.83,5.06,9.1,5.26,,5.66,,6.67,26.49,5.66,2.83,9.51,3.03,7.28,7.28,5.06,44.69,4.04,9.71,2.83,6.47,3.64,5.26,,,,3.03,-11.65,-19.227778,-4.755556,0.0,149.86,-18.538889,57.587833
US_NH_33019,2020-01-22,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,,4.0,3.2,10.41,8.81,6.81,,4.8,5.41,5.0,3.6,,21.02,4.2,12.41,,6.21,12.01,5.21,3.2,4.8,6.61,4.0,3.8,8.01,2.8,6.61,27.82,6.41,5.41,8.01,,,7.61,6.0,39.63,3.6,8.21,4.6,6.21,4.6,5.8,4.6,3.2,4.0,,-8.472222,-18.505556,1.6,0.0254,149.86,-13.316667,68.148653
US_NH_33019,2020-01-23,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.46,5.07,5.07,11.35,8.31,7.7,3.65,4.46,5.67,3.04,3.24,,21.89,,10.13,5.27,6.28,7.3,9.32,,7.5,3.85,3.24,5.47,4.05,,4.05,29.99,9.12,,5.47,,7.3,5.47,7.5,43.98,4.66,7.9,,5.67,,5.27,,4.66,,,-6.633333,-16.411111,4.122222,0.0,149.86,-11.038889,71.031406
US_NH_33019,2020-01-24,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,6.22,4.97,5.18,10.98,7.87,5.18,,,4.97,,2.9,,20.31,4.35,10.15,4.97,3.73,8.08,5.18,,,5.59,3.52,2.9,3.73,,7.67,30.05,6.63,3.11,7.46,,7.25,3.94,5.8,39.16,4.77,6.22,4.14,6.42,2.9,4.14,,,2.9,3.73,-2.172222,-13.005556,6.205556,0.0,139.7,-7.266667,68.528191
US_NH_33019,2020-01-25,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,3.41,8.32,4.05,10.02,8.74,5.54,2.99,,6.61,,4.05,,24.53,5.33,8.11,,4.05,7.46,7.04,4.05,6.83,4.48,3.63,3.63,3.41,,6.4,31.14,7.68,5.33,8.96,,4.69,4.48,,35.83,5.54,7.04,,6.18,3.84,3.2,,4.48,,,0.822222,-6.372222,5.344444,0.03175,115.57,-1.383333,85.32775
US_NH_33019,2020-01-26,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.85,3.04,8.32,6.7,9.54,4.26,6.7,,3.45,5.88,3.25,6.09,,31.25,7.1,12.18,,6.49,8.52,5.07,4.06,7.71,7.91,3.25,4.26,4.46,3.85,6.7,37.74,7.91,,6.29,,4.67,5.88,8.12,42.21,3.25,7.3,3.04,7.91,,5.07,3.04,4.26,4.26,3.04,3.288889,-0.966667,6.388889,13.151556,129.54,0.444444,81.716877
US_NH_33019,2020-01-27,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,2.96,5.91,8.08,4.33,10.25,7.68,4.93,,3.55,3.94,3.35,4.33,,35.47,3.94,13.01,,7.29,9.06,4.93,,5.52,6.9,5.12,2.96,4.33,,7.09,47.89,6.5,3.35,6.31,,5.32,3.74,5.12,35.87,4.93,6.9,,6.5,4.53,,,4.14,3.55,,2.672222,-0.583333,6.438889,0.1778,129.54,-1.983333,71.708815
US_NH_33019,2020-01-28,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.15,,7.68,6.5,9.85,6.11,6.7,,3.35,3.94,2.96,,4.53,34.29,3.74,8.67,3.55,6.11,11.23,5.12,,6.11,8.28,4.33,,4.73,3.94,11.43,40.0,6.11,3.15,3.35,,,,7.29,40.79,4.93,5.91,4.14,5.32,5.12,4.33,2.76,4.93,4.33,,1.166667,-1.133333,5.138889,0.0,129.54,-3.961111,69.104928
US_NH_33019,2020-01-29,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,2.99,4.58,7.37,4.58,11.36,10.76,7.97,3.79,5.18,5.58,3.98,5.58,,28.69,,10.76,,5.98,8.57,4.78,,5.98,5.78,3.79,4.98,5.38,3.39,7.17,45.82,7.17,3.79,5.38,3.39,7.37,3.98,5.38,40.84,3.98,11.55,4.98,7.17,4.98,3.59,,3.19,4.78,,-1.738889,-4.633333,2.016667,0.0,99.06,-10.077778,53.458107
US_NH_33019,2020-01-30,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.59,5.59,5.59,10.58,10.78,8.38,,2.99,4.79,4.59,4.19,,26.95,7.38,10.98,,5.99,9.18,6.19,,7.19,6.39,3.99,5.19,3.99,2.99,8.98,34.13,6.59,5.19,6.79,,4.19,4.79,5.59,36.13,3.39,7.58,3.99,4.19,6.59,3.99,,6.19,,,-6.405556,-12.388889,1.283333,0.0,99.06,-14.911111,51.477726
