location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13147,2020-01-21,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,,8.36,9.76,6.27,5.58,,15.68,9.76,7.67,5.92,,10.1,25.09,5.92,5.92,,43.9,,,0.685185,-2.58642,5.203704,0.0,,-9.236111,47.394737
US_GA_13147,2020-01-22,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,7.63,7.63,6.9,7.63,,6.54,21.07,10.17,8.36,5.08,5.45,7.99,29.42,,10.9,5.08,44.68,7.26,5.81,0.703704,-5.82716,9.580247,0.0,,-10.159722,44.23646
US_GA_13147,2020-01-23,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,,9.28,9.99,9.99,5.71,7.85,21.41,11.06,8.92,5.35,5.0,8.21,28.19,7.49,10.35,7.14,42.47,7.49,7.49,4.302469,-1.95679,9.820988,0.0,,-7.840278,41.161057
US_GA_13147,2020-01-24,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,7.96,,10.39,5.54,,,21.12,6.93,,,,9.7,29.09,,10.39,4.85,36.71,8.31,6.23,6.030864,3.08642,9.160494,7.1628,,3.5625,84.816902
US_GA_13147,2020-01-25,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,8.14,13.12,11.31,6.79,9.95,9.05,25.34,13.12,13.12,,7.24,9.05,37.55,,10.86,,48.41,13.12,9.05,6.364198,2.5,10.111111,13.462,,2.569444,76.823098
US_GA_13147,2020-01-26,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,,10.04,,10.48,7.86,,32.32,13.97,8.73,9.17,,11.79,40.62,10.04,12.23,6.11,39.74,7.42,10.48,5.537037,-0.234568,13.5,0.0,,-1.423611,61.075761
US_GA_13147,2020-01-27,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,6.36,5.02,10.04,10.71,8.04,7.03,25.11,7.7,9.71,,,8.71,38.84,7.7,9.04,4.69,40.18,8.37,,8.722222,4.160494,13.487654,0.3175,,3.048611,67.641532
US_GA_13147,2020-01-28,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,5.26,4.91,11.56,7.36,,5.96,22.43,10.86,5.26,7.01,,7.01,29.09,8.41,8.06,,36.09,5.96,,7.635802,0.709877,15.271605,0.0,,0.9375,62.834388
US_GA_13147,2020-01-29,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,6.68,9.5,10.91,10.91,8.09,6.68,30.26,9.15,9.15,5.28,7.39,5.98,38.7,7.04,7.39,,40.81,11.96,9.5,6.333333,0.981481,12.320988,0.0,,0.104167,65.197701
US_GA_13147,2020-01-30,ChIJZfe6VZ2BWIgRncSbJzFzsL4,Q491301,geoId/13147,US,United States of America,GA,Georgia,13147,Hart County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,12753,12957,2858,3073,2976,2693,3113,3640,3540,2538,1279,448597,34.35,-82.96,664,77.02,,,,,6.3,5.6,8.06,8.41,,6.3,32.57,8.76,6.3,4.9,,6.66,38.88,6.3,10.16,4.9,39.23,6.3,4.9,7.049383,1.018519,12.91358,0.0,,1.958333,70.088724
