location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13137,2020-01-11,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.88,11.03,5.94,11.24,9.54,4.88,,6.15,5.51,5.94,,20.15,,9.54,,5.51,8.91,3.61,,4.67,4.03,,5.94,2.97,10.82,25.45,7.21,,6.36,3.82,3.82,4.45,6.58,47.3,4.03,7.64,4.24,,5.09,4.45,3.82,16.461111,11.272222,20.2,1.161143,,14.533333,88.485578
US_GA_13137,2020-01-12,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.87,10.63,,10.86,5.54,7.75,,3.54,,7.53,,18.17,4.43,11.3,3.54,5.98,7.75,6.87,6.2,3.99,4.87,5.54,4.21,,8.2,21.93,6.65,4.21,7.09,,5.09,4.43,4.43,47.63,4.65,6.42,5.98,4.87,5.32,3.54,5.54,14.783333,6.933333,20.216667,25.508857,,10.311111,74.713738
US_GA_13137,2020-01-13,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.93,7.91,5.76,14.39,8.09,5.04,4.32,8.99,4.14,4.5,2.88,17.45,3.96,11.69,,5.58,9.17,4.5,6.66,7.73,4.32,4.5,4.68,,10.79,29.14,6.83,3.24,10.07,3.6,6.12,6.66,5.4,46.4,6.83,7.01,6.47,6.47,5.4,2.52,3.78,13.005556,9.111111,17.633333,6.567714,,11.261111,89.171685
US_GA_13137,2020-01-14,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,8.29,9.61,4.71,14.31,10.17,7.72,3.01,6.97,3.58,4.14,,17.14,,8.66,3.58,6.78,9.04,3.58,6.03,6.78,6.21,4.14,5.08,3.77,11.3,29.76,6.59,5.27,7.72,3.96,3.77,4.33,9.04,43.88,5.27,6.59,6.59,3.01,5.27,4.14,2.83,14.683333,12.8,16.805556,16.618857,,14.022222,95.846124
US_GA_13137,2020-01-15,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.73,7.95,4.17,14.77,7.95,5.3,4.54,7.57,5.87,,4.73,17.8,5.87,9.47,4.73,4.92,10.22,6.25,7.38,4.92,3.41,3.6,3.22,3.41,9.09,30.3,6.06,3.79,10.6,,6.63,3.03,3.6,45.63,2.65,6.82,4.36,4.73,7.01,3.41,3.22,14.955556,11.394444,20.272222,8.962571,,13.405556,90.639788
US_GA_13137,2020-01-16,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.78,9.44,3.85,11.18,6.17,8.29,6.55,6.94,5.01,3.47,5.01,14.65,3.66,5.59,4.82,4.82,12.72,5.01,4.82,5.97,4.82,4.62,4.82,,8.48,34.31,8.29,3.47,10.41,5.59,4.62,5.78,7.13,44.71,5.01,6.36,6.94,5.97,7.13,,4.24,16.177778,11.244444,19.9,4.245429,,8.966667,62.926622
US_GA_13137,2020-01-17,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,6.67,9.9,4.65,10.91,9.29,6.06,4.04,4.04,4.65,,3.23,19.6,,8.28,3.84,5.05,8.69,3.84,4.85,,6.46,4.04,5.66,3.03,4.85,28.49,5.05,,7.68,2.83,3.64,5.46,3.84,38.99,4.04,8.08,,,3.84,3.44,3.44,6.75,2.355556,13.394444,0.7874,,-4.983333,44.018671
US_GA_13137,2020-01-18,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,7.24,7.46,3.51,9.43,9.43,5.04,3.07,4.61,4.82,3.07,3.73,16.45,3.95,10.74,5.26,4.61,9.87,6.36,5.7,5.7,,4.82,5.92,,7.46,24.34,7.02,5.92,9.43,,,6.14,7.02,42.54,4.39,5.92,5.7,5.48,4.39,4.39,4.39,4.577778,2.45,8.688889,4.572,,-2.316667,61.138124
US_GA_13137,2020-01-19,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.14,6.7,3.8,12.95,6.03,7.82,,8.26,,,,16.97,5.81,7.37,5.58,4.02,10.72,4.91,5.81,4.24,4.24,5.58,5.14,,4.47,21.88,5.36,,4.24,4.24,3.57,6.48,4.91,43.99,,4.69,6.7,4.47,5.81,3.13,4.91,6.761111,2.155556,10.544444,6.35,,0.522222,64.713927
US_GA_13137,2020-01-20,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.87,11.87,5.51,13.14,8.9,4.24,,8.69,4.03,4.87,4.24,14.62,5.08,8.47,5.08,5.08,7.84,5.3,6.57,7.63,5.93,4.45,3.81,4.03,9.11,28.18,6.78,3.81,7.42,7.2,4.87,4.45,6.78,45.13,5.93,8.47,8.47,3.81,8.47,4.45,4.66,-0.227778,-4.683333,6.405556,0.127,,-8.533333,53.975244
US_GA_13137,2020-01-21,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.03,8.52,5.03,13.55,12.39,6.97,6.97,6.97,4.45,2.9,3.29,19.56,2.71,8.91,2.71,4.45,9.88,4.65,7.75,5.62,,5.23,7.16,,11.42,32.72,7.94,3.29,10.84,4.26,5.03,5.81,6.2,49.18,5.81,7.36,6.2,5.23,6.78,4.07,3.87,-0.583333,-4.155556,4.8,0.0,,-9.238889,52.541984
US_GA_13137,2020-01-22,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.42,10.66,3.88,8.91,9.11,5.04,,6.59,5.62,5.81,4.65,21.12,4.07,8.53,2.71,6.2,9.49,3.49,6.39,7.36,3.49,5.81,9.49,3.88,8.53,32.94,7.17,3.88,8.91,3.68,6.78,7.36,5.81,43.01,6.97,9.11,4.65,5.04,5.81,2.91,5.23,-0.488889,-7.244444,9.538889,0.0,,-10.044444,49.014406
US_GA_13137,2020-01-23,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,3.78,9.84,5.67,13.62,8.89,5.49,6.05,7.0,5.49,,4.54,24.78,3.97,9.84,,6.62,11.54,3.4,6.24,6.81,4.54,4.35,4.73,2.84,7.57,36.7,6.24,3.4,7.0,,4.92,4.54,2.65,37.64,4.35,7.94,5.11,4.92,5.3,5.3,2.65,3.983333,-2.738889,9.961111,0.0,,-6.866667,46.340698
US_GA_13137,2020-01-24,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,3.29,8.14,5.42,10.27,10.46,6.39,3.1,3.87,5.62,4.65,3.87,27.12,2.91,10.27,4.07,3.1,6.78,4.26,5.81,5.81,3.68,3.49,3.49,2.91,8.52,32.74,5.42,4.84,10.46,3.1,6.39,4.07,6.2,36.8,5.04,7.36,5.81,4.46,3.68,3.87,3.87,6.305556,3.166667,9.472222,12.663714,,4.116667,85.990135
US_GA_13137,2020-01-25,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,7.68,8.58,,15.59,7.91,6.33,3.61,4.97,4.07,4.07,3.16,27.11,,9.71,3.84,3.39,7.91,5.2,4.29,4.07,5.65,5.42,3.61,,9.26,26.43,4.74,,8.36,,4.29,5.2,6.1,44.05,6.55,11.07,7.0,,,4.52,4.07,5.227778,2.316667,8.216667,12.3825,,1.505556,77.01663
US_GA_13137,2020-01-26,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.78,9.55,6.02,12.26,7.69,7.69,3.12,5.82,3.95,3.32,5.19,28.87,,12.05,3.32,5.19,11.84,4.15,4.36,8.1,4.36,4.57,,3.32,8.31,35.73,5.19,3.53,7.27,3.32,3.74,,4.99,39.05,5.4,5.61,6.65,6.65,2.91,3.32,4.78,4.255556,-1.211111,11.655556,0.0,,-2.116667,63.931845
