location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48401,2020-01-21,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.14,6.67,3.24,9.01,6.13,5.59,5.41,4.33,19.1,3.42,9.01,3.06,,11.89,3.96,3.96,5.41,3.24,4.5,6.49,,7.75,24.51,6.31,3.96,6.67,3.24,4.87,5.59,33.7,2.88,8.47,4.14,5.95,4.14,3.24,3.527778,-1.411111,9.572222,0.0,,-2.094444,66.873312
US_TX_48401,2020-01-22,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.52,5.98,2.99,10.02,6.33,5.98,5.62,5.1,18.45,3.16,8.44,,3.52,10.02,4.57,,3.87,2.64,5.98,5.45,3.69,8.44,29.18,3.52,2.81,6.5,3.52,5.27,5.45,38.14,3.52,5.1,3.16,5.27,4.57,4.04,3.783333,1.316667,7.094444,2.765778,,0.644444,80.040893
US_TX_48401,2020-01-23,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,5.78,8.93,2.8,6.31,8.93,4.38,5.96,4.2,19.44,4.91,9.63,,3.15,8.76,4.03,6.66,4.2,3.33,3.68,4.38,2.98,9.11,28.38,5.43,3.15,6.48,2.63,5.43,4.38,34.68,4.91,6.13,4.03,3.33,3.85,3.15,7.716667,5.166667,10.788889,26.726444,,6.711111,93.42224
US_TX_48401,2020-01-24,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.08,7.09,,6.92,4.79,3.72,4.79,2.66,17.38,4.43,7.45,,4.26,9.4,3.19,3.72,4.26,,3.9,3.9,2.84,7.27,25.0,3.9,3.55,4.79,,2.48,4.79,29.44,,6.21,4.79,4.26,3.9,,6.738889,1.488889,13.877778,0.4826,,2.15,72.970479
US_TX_48401,2020-01-25,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.87,7.31,,10.96,6.82,3.65,4.14,4.14,26.07,6.58,7.55,,,7.31,3.65,3.65,5.36,,4.38,,,8.77,37.03,4.63,3.65,6.82,,3.9,3.65,36.79,4.87,7.07,7.31,4.87,3.65,,7.481481,0.333333,17.802469,0.0,,1.191358,64.786618
US_TX_48401,2020-01-26,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,6.37,6.59,5.27,9.66,8.57,7.91,5.71,3.95,27.46,,10.32,7.91,6.15,7.91,,5.05,8.35,4.17,4.39,3.51,,7.03,32.07,6.15,3.51,7.03,5.05,4.61,6.81,42.39,3.08,6.81,5.49,5.27,5.49,,12.253086,9.765432,16.222222,1.87325,,8.691358,79.035259
US_TX_48401,2020-01-27,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,5.29,6.35,3.7,9.17,5.12,3.53,4.94,,25.05,,9.35,4.23,4.59,7.58,3.53,5.29,6.0,3.53,,5.47,,7.94,31.4,3.7,3.0,5.47,3.7,5.82,4.76,32.98,4.41,3.53,4.76,5.12,5.64,3.35,12.65,9.322222,18.266667,0.1524,,9.127778,80.024594
US_TX_48401,2020-01-28,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.14,6.99,3.67,10.65,6.29,6.81,5.59,3.49,20.26,,6.99,3.49,2.97,10.65,3.32,4.02,5.59,4.89,3.84,4.71,2.44,8.03,32.83,5.94,2.79,6.81,5.94,4.37,6.11,28.11,4.54,8.73,5.59,5.76,5.94,,10.683333,8.472222,15.0,0.169333,,9.2,90.660027
US_TX_48401,2020-01-29,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,5.22,6.34,,10.26,8.96,4.85,4.11,4.85,19.22,3.92,8.96,,5.04,10.08,5.41,4.29,5.79,3.55,4.29,5.6,4.29,11.38,30.98,6.72,3.17,7.84,,4.85,5.04,35.46,3.92,9.52,4.48,5.97,4.29,2.61,8.033333,6.0,11.972222,13.490222,,6.516667,90.230347
US_TX_48401,2020-01-30,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.8,6.28,3.33,8.13,7.21,3.14,4.43,4.07,24.2,4.43,9.05,3.33,2.59,16.07,3.51,5.54,5.17,4.43,2.96,4.62,3.51,7.02,34.92,6.47,,6.47,3.69,3.88,6.47,34.18,4.43,5.91,6.65,4.62,3.88,3.69,7.294444,6.044444,9.583333,0.0254,,5.788889,90.260779
