location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13169,2020-01-11,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,,11.34,6.89,6.08,7.29,14.18,10.53,5.67,10.53,32.41,5.67,8.1,8.51,37.68,8.1,6.89,18.683333,14.972222,21.755556,2.3876,16.938272,89.074429
US_GA_13169,2020-01-12,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,11.41,12.22,5.7,6.52,6.92,15.89,10.59,,9.37,24.85,9.78,10.18,6.52,44.0,,,16.688889,11.027778,21.538889,24.892,14.58642,87.342985
US_GA_13169,2020-01-13,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,8.79,8.79,7.22,,5.65,11.94,8.17,,8.17,21.04,5.34,,5.03,39.57,,4.71,17.511111,15.683333,19.838889,7.366,17.012346,95.990714
US_GA_13169,2020-01-14,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,5.88,8.49,5.88,6.53,4.9,11.76,11.1,6.2,9.47,27.1,8.82,4.57,10.12,47.68,5.22,5.88,17.427778,15.211111,20.233333,26.7208,16.986111,95.322727
US_GA_13169,2020-01-15,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,4.69,11.71,,,,11.04,8.7,,7.36,30.79,8.03,9.04,5.36,32.13,8.37,5.02,17.111111,13.333333,22.95,11.049,15.805556,90.307882
US_GA_13169,2020-01-16,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,6.13,11.61,,4.51,4.51,9.68,8.06,4.51,6.13,22.9,8.71,6.45,6.77,34.83,,5.8,18.211111,14.866667,22.172222,5.545667,13.401235,73.393756
US_GA_13169,2020-01-17,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,7.7,13.38,8.51,7.7,,11.76,14.19,,8.11,25.14,5.68,5.68,,34.06,7.7,,11.166667,6.85,17.416667,1.27,-1.987654,39.447586
US_GA_13169,2020-01-18,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,9.41,8.56,12.41,8.13,7.28,14.12,6.42,,6.85,27.82,7.7,12.41,,39.8,8.56,8.99,8.722222,5.561111,14.488889,0.127,1.135802,57.776552
US_GA_13169,2020-01-19,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,10.71,9.47,6.59,,5.76,13.59,10.71,6.18,9.06,21.41,7.0,13.59,,38.3,11.12,5.76,10.85,5.766667,14.716667,6.604,5.117284,66.181504
US_GA_13169,2020-01-20,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,12.12,15.46,8.36,,6.27,13.38,6.69,8.78,9.61,33.86,9.61,7.11,6.69,41.8,8.36,,2.466667,-1.961111,7.661111,0.6858,-6.709877,50.395222
US_GA_13169,2020-01-21,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,11.8,10.17,10.17,,6.92,18.72,12.61,6.1,9.36,25.63,8.14,9.77,,49.64,,7.32,0.544444,-3.355556,6.022222,0.0,-7.320988,55.453195
US_GA_13169,2020-01-22,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,6.38,15.74,10.64,6.38,10.64,25.1,11.91,,9.79,31.06,8.08,11.06,6.38,50.63,7.66,8.94,1.705556,-4.083333,10.677778,0.0,-8.623457,46.016276
US_GA_13169,2020-01-23,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,12.79,12.38,9.08,11.56,7.02,21.46,12.38,10.32,11.14,37.97,5.78,6.6,7.43,58.19,13.21,7.84,5.933333,1.755556,11.3,0.0,-3.845679,49.022281
US_GA_13169,2020-01-24,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,6.57,13.56,5.75,7.4,8.63,23.83,14.38,,9.86,42.32,8.63,7.4,6.16,46.43,6.57,6.57,9.605556,5.666667,14.711111,5.461,7.493827,85.005681
US_GA_13169,2020-01-25,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,6.87,12.88,6.44,,,16.75,9.02,7.73,,44.23,6.44,10.73,7.73,56.68,6.87,,7.105556,2.422222,12.8,4.2926,2.888889,74.292981
US_GA_13169,2020-01-26,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,7.87,12.19,,14.16,6.29,22.42,14.55,8.26,10.23,34.22,9.83,8.26,7.47,57.03,10.23,9.83,5.983333,0.972222,13.022222,0.0,0.277778,66.58388
US_GA_13169,2020-01-27,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,9.14,13.29,9.14,5.82,8.72,29.49,14.12,6.65,16.61,36.97,,8.72,10.38,51.09,8.31,9.14,9.283333,4.961111,12.972222,0.508,5.450617,76.579811
US_GA_13169,2020-01-28,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,5.92,11.0,,5.92,8.88,29.62,9.31,,8.46,35.12,,6.77,8.88,52.89,,7.19,7.966667,1.35,16.144444,0.0,2.345679,67.619096
US_GA_13169,2020-01-29,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,7.89,14.12,6.65,9.55,,26.17,14.12,7.06,12.04,40.7,7.89,7.06,10.8,48.6,10.8,,6.488889,1.711111,12.983333,0.0,1.882716,73.162663
US_GA_13169,2020-01-30,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,10.85,13.26,7.63,7.63,9.64,34.15,11.65,,11.25,34.55,7.63,6.03,,51.03,7.23,8.04,7.644444,1.661111,15.183333,0.1905,4.098765,77.988652
US_GA_13169,2020-01-31,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,8.99,11.62,11.62,,,30.36,12.74,7.5,8.62,27.73,5.25,10.49,,41.6,,8.24,6.127778,3.277778,10.966667,0.931333,4.037037,85.801153
US_GA_13169,2020-02-01,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,9.22,12.99,9.64,,,24.3,12.57,,11.31,31.84,,8.8,,40.64,,7.12,6.133333,4.272222,10.733333,6.204857,4.882716,91.30775
US_GA_13169,2020-02-02,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,,8.27,7.88,,,23.24,8.27,9.85,11.42,38.99,,13.39,,44.11,7.48,,8.755556,2.472222,17.527778,0.0254,2.487654,64.522044
US_GA_13169,2020-02-03,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,6.38,9.16,9.96,7.57,,29.48,13.15,8.37,12.35,31.88,5.58,9.16,9.16,47.41,8.37,9.16,11.822222,2.477778,24.133333,0.0,2.95679,54.998027
US_GA_13169,2020-02-04,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,8.03,6.02,6.82,7.63,,25.69,8.43,7.23,12.44,34.92,9.23,9.23,5.62,42.55,7.63,6.82,15.277778,8.788889,21.6,0.0,9.592593,68.63359
US_GA_13169,2020-02-05,ChIJBxtGfOKY9ogRT8pEzZE5jj4,Q493040,geoId/13169,US,United States of America,GA,Georgia,13169,Jones County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28466,13812,14654,3294,4047,3219,3368,3714,4117,3553,2128,1026,1029451,33.03,-83.57,1024,75.133333,,,,,7.51,12.64,8.3,5.93,5.53,21.34,11.85,6.32,9.48,27.26,5.53,7.51,,50.18,8.69,6.72,17.355556,13.822222,21.194444,0.3556,15.228395,86.709591
