location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28029,2020-01-22,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,10.88,10.55,4.95,12.2,5.28,25.4,5.94,31.0,8.57,2.654321,-1.537037,8.802469,0.0,,-4.419753,59.931299
US_MS_28029,2020-01-23,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.24,8.52,,13.77,8.85,13.11,7.54,22.62,5.24,7.716049,3.12963,13.518519,1.886857,,3.87037,77.202023
US_MS_28029,2020-01-24,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,5.27,10.88,10.18,5.27,24.58,10.88,33.35,,9.783333,4.033333,14.277778,4.543778,,5.633333,76.652755
US_MS_28029,2020-01-25,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,7.64,10.79,,20.68,10.79,25.63,,29.23,,6.461111,-0.433333,15.138889,0.0254,,1.766667,72.128993
US_MS_28029,2020-01-26,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,7.89,8.68,7.1,15.39,,24.86,7.89,33.15,5.92,8.505556,4.838889,11.477778,0.635,,6.583333,87.891006
US_MS_28029,2020-01-27,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,12.53,8.13,12.87,6.1,24.39,7.79,26.76,,10.961111,9.116667,14.561111,4.699,,9.377778,90.142314
US_MS_28029,2020-01-28,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,8.59,,10.31,10.99,43.98,8.25,28.52,27.14,7.977778,1.688889,15.888889,0.056444,,5.672222,85.598271
US_MS_28029,2020-01-29,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,8.45,,5.85,18.86,10.4,39.34,5.85,30.56,22.11,10.794444,8.727778,13.722222,1.7145,,8.794444,87.631273
US_MS_28029,2020-01-30,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,6.42,9.47,7.1,24.35,,21.64,,22.66,,8.811111,4.477778,14.022222,5.9436,,6.638889,86.463676
US_MS_28029,2020-01-31,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,7.6,8.64,18.32,6.22,30.41,6.91,27.99,6.57,9.272222,7.277778,12.3,0.4445,,7.444444,88.495359
US_MS_28029,2020-02-01,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,6.5,,7.79,24.68,,26.85,,28.58,6.5,9.327778,5.111111,14.366667,0.0254,,4.8,73.51197
US_MS_28029,2020-02-02,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,7.31,,18.93,,22.8,9.46,26.24,6.88,10.216667,2.0,22.777778,0.0,,2.438889,58.795694
