location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48171,2020-01-21,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,8.64,19.19,,5.12,7.36,20.47,6.08,,10.55,7.04,12.15,,5.12,8.96,22.39,8.64,5.76,6.4,5.76,37.1,,5.44,4.48,,9.25,4.488889,15.155556,0.0,,-1.537037,47.04253
US_TX_48171,2020-01-22,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,8.65,13.77,,8.01,5.76,17.61,8.01,8.97,11.53,4.8,4.8,6.08,6.72,8.33,30.74,6.72,5.76,8.33,5.76,42.27,4.8,11.53,6.72,,10.561111,7.127778,14.366667,1.6256,,7.598765,81.074668
US_TX_48171,2020-01-23,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,9.43,16.34,8.48,6.91,8.48,18.54,7.86,7.86,11.62,6.28,5.66,5.34,5.66,9.11,34.25,5.97,6.91,5.34,5.03,40.84,6.28,5.03,6.91,,12.383333,7.544444,18.494444,4.2418,,8.222222,75.802681
US_TX_48171,2020-01-24,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.02,9.73,15.07,5.97,5.97,5.34,28.57,12.87,4.71,6.91,4.4,,,,5.97,38.31,,7.22,,5.65,40.82,,9.42,4.71,5.02,9.866667,2.327778,19.05,0.0,,1.987654,58.738847
US_TX_48171,2020-01-25,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,9.08,21.06,7.99,7.26,6.54,25.05,6.17,,7.99,,,5.81,,10.89,33.04,9.08,7.62,,,35.22,5.45,7.26,,,11.127778,5.044444,17.544444,0.0,,4.882716,65.857517
US_TX_48171,2020-01-26,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,6.06,14.27,16.76,9.27,9.63,9.27,31.03,8.92,,10.7,6.42,5.71,,,,34.24,6.42,,,,47.79,,,,6.42,15.233333,8.072222,23.633333,0.1016,,10.080247,71.568933
US_TX_48171,2020-01-27,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,10.08,19.84,8.19,8.82,5.99,25.52,11.34,5.99,10.08,,5.67,5.36,,11.65,35.28,4.41,6.3,5.04,5.04,44.42,4.72,8.82,5.36,,13.455556,5.65,23.45,0.0,,7.0,65.529927
US_TX_48171,2020-01-28,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.36,8.2,16.07,9.14,8.2,10.4,25.84,8.2,5.99,9.77,5.04,7.25,6.62,,8.2,33.09,9.14,7.88,5.04,6.62,42.23,5.99,8.2,5.67,6.3,14.211111,8.816667,20.644444,7.817556,,9.203704,71.777145
US_TX_48171,2020-01-29,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,4.34,5.58,13.02,4.96,8.68,6.51,24.48,8.37,,9.3,,,8.37,,11.47,28.51,8.37,9.3,5.27,6.82,45.55,5.27,11.78,,5.89,8.766667,3.183333,15.383333,2.4384,,1.549383,60.651801
US_TX_48171,2020-01-30,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.78,5.78,14.14,5.78,5.78,9.0,24.74,8.68,4.5,10.61,,5.14,4.82,,9.0,35.99,8.03,4.82,,4.82,40.17,5.46,4.82,4.5,,5.691358,3.351852,12.808642,0.0,,2.569444,80.231928
