location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51173,2020-01-30,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,7.54,8.45,12.06,11.16,7.24,7.24,34.99,15.99,8.75,7.24,8.14,9.35,37.4,4.52,5.13,5.73,40.72,9.65,6.94,1.605556,-0.761111,4.955556,0.6985,,-0.577778,85.696399
US_VA_51173,2020-01-31,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.15,8.9,9.79,8.9,6.53,7.71,36.2,13.65,5.34,5.93,7.71,10.68,33.23,9.2,6.53,5.93,43.91,4.15,8.31,2.155556,0.233333,4.472222,0.677333,,0.172222,86.899028
US_VA_51173,2020-02-01,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.54,8.11,8.43,9.08,,,30.8,13.94,8.76,,6.81,8.43,35.02,6.81,,7.13,32.75,5.19,6.81,2.35,0.072222,5.572222,0.3556,,1.544444,94.488214
US_VA_51173,2020-02-02,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.85,7.44,9.7,8.73,6.47,5.82,30.71,14.23,9.38,5.17,8.73,6.79,35.56,6.47,7.44,6.47,42.68,7.76,4.85,4.922222,0.277778,13.177778,0.5715,,-0.933333,66.240278
US_VA_51173,2020-02-03,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,,6.61,12.92,8.11,8.71,7.51,31.55,14.72,9.61,5.41,8.71,9.91,42.06,7.51,7.81,4.81,45.37,6.61,10.82,10.65,2.411111,17.894444,0.0254,,0.127778,48.691174
US_VA_51173,2020-02-04,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.59,4.79,7.79,9.59,6.29,5.39,34.45,14.98,10.48,7.49,4.49,7.79,37.14,9.29,5.99,4.79,37.74,6.59,5.69,12.355556,8.227778,16.627778,1.397,,4.811111,60.772117
US_VA_51173,2020-02-05,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.94,9.8,10.99,7.72,,4.45,24.35,10.39,10.99,6.83,8.91,9.2,33.85,7.42,8.02,5.94,40.68,4.45,8.02,11.933333,9.372222,14.4,6.785429,,11.072222,94.615397
US_VA_51173,2020-02-06,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.53,7.42,11.28,4.75,5.64,,27.0,12.76,7.72,7.12,7.12,7.12,31.75,4.45,6.53,7.42,32.94,6.53,7.42,11.594444,9.838889,14.227778,28.194,,11.277778,97.949548
US_VA_51173,2020-02-07,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.64,10.34,10.66,5.96,,5.64,20.06,6.58,8.15,4.39,,9.4,28.52,7.21,6.89,6.58,35.73,5.01,,4.088889,-2.605556,11.455556,19.993429,,2.25,88.007953
US_VA_51173,2020-02-08,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.88,6.82,11.37,4.88,8.45,5.85,24.7,13.32,7.8,5.53,,7.8,29.25,6.5,10.07,,35.42,,6.17,-1.644444,-4.305556,2.227778,1.2192,30.48,-5.661111,74.16916
US_VA_51173,2020-02-09,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,9.27,7.28,12.57,9.27,,,21.18,13.57,7.94,8.93,5.29,6.29,30.77,5.96,6.62,4.63,39.37,4.96,7.28,2.344444,-3.155556,9.388889,0.0,,-2.944444,68.282393
US_VA_51173,2020-02-10,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,8.13,8.42,12.78,9.59,6.68,7.84,20.04,11.04,9.29,,7.55,10.17,33.11,7.84,8.42,6.1,43.28,7.55,,5.816667,-0.011111,8.711111,2.757714,,1.405556,74.29912
US_VA_51173,2020-02-11,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.1,6.35,12.71,7.37,4.83,4.83,18.3,8.39,7.62,4.83,7.37,5.08,26.68,5.08,,4.32,39.9,5.34,7.88,11.077778,6.211111,13.827778,10.595429,,10.416667,95.751653
US_VA_51173,2020-02-12,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,7.41,5.56,9.26,8.73,4.5,7.41,14.82,9.53,9.79,6.09,,7.94,25.68,4.5,8.73,9.0,36.0,7.68,,5.911111,3.183333,12.105556,5.334,,3.966667,87.664775
US_VA_51173,2020-02-13,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.04,4.25,10.08,10.88,6.63,5.04,15.65,8.49,7.69,4.25,3.98,10.61,30.77,5.84,5.57,6.63,33.69,7.69,5.31,10.211111,3.416667,14.788889,10.087429,,8.522222,89.343371
US_VA_51173,2020-02-14,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.9,7.2,9.3,9.3,5.4,,17.4,9.9,9.0,5.1,,8.7,28.81,5.4,6.9,6.9,42.31,,4.2,-0.188889,-3.066667,2.777778,3.65125,,-6.488889,63.276166
US_VA_51173,2020-02-15,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,5,-1,,2,,9.78,8.09,9.78,5.39,10.79,,19.89,8.77,11.8,5.06,,7.08,26.64,7.08,,7.08,39.45,6.41,,-2.816667,-9.266667,5.283333,0.0,,-9.5,60.295837
US_VA_51173,2020-02-16,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,4,4,,-1,,,10.36,11.01,12.95,6.47,9.71,21.69,10.04,10.36,6.8,7.77,4.86,30.43,,11.33,6.15,42.74,5.5,4.86,3.811111,-2.744444,10.6,0.0,,-3.583333,58.993523
