location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47029,2020-01-28,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,,10.05,9.8,7.29,5.03,,22.87,9.8,5.78,9.3,5.53,5.03,6.54,11.06,33.93,7.04,6.79,7.79,6.03,39.21,3.77,7.54,7.29,,4.483333,-1.027778,10.966667,2.5146,,0.222222,74.07469
US_TN_47029,2020-01-29,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,6.19,4.46,6.93,5.2,5.94,,24.27,10.65,,8.92,4.46,6.19,6.69,7.18,35.42,5.94,7.43,4.21,6.69,37.15,5.2,9.41,7.18,5.45,3.9,-1.127778,9.927778,0.0,,0.0625,73.850869
US_TN_47029,2020-01-30,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.75,4.75,10.01,6.5,6.0,3.75,31.52,9.0,5.25,10.01,5.5,5.25,3.5,8.25,31.77,6.25,7.25,5.0,,39.27,6.0,6.25,5.0,,5.933333,1.472222,10.994444,0.217714,,2.729167,78.971939
US_TN_47029,2020-01-31,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.85,6.12,8.42,7.4,8.16,,34.45,9.95,5.1,9.44,,6.63,4.85,8.93,31.9,3.57,7.91,3.57,6.63,38.02,4.08,6.89,6.63,3.83,5.85,2.944444,10.105556,0.056444,,2.979167,78.425891
US_TN_47029,2020-02-01,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,,8.87,8.59,6.87,6.87,,22.61,9.45,,5.15,8.3,4.01,4.29,6.01,29.19,4.01,7.73,,4.58,37.49,6.87,10.3,8.01,6.3,4.361111,1.522222,9.294444,2.00025,,2.791667,88.013065
US_TN_47029,2020-02-02,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,7.88,8.16,10.97,6.75,6.19,7.59,23.06,7.59,4.78,5.91,,7.03,5.34,6.75,27.28,5.91,7.31,,5.62,42.75,,9.56,5.06,,6.955556,-0.038889,17.511111,0.907143,,0.284722,61.489094
US_TN_47029,2020-02-03,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,6.57,6.0,11.99,6.28,5.71,8.28,15.7,8.0,,11.14,5.14,6.57,4.85,9.71,31.98,7.14,10.56,4.0,6.0,41.12,,6.57,8.57,5.71,9.027778,0.222222,20.777778,0.0,,1.326389,58.03774
US_TN_47029,2020-02-04,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,,8.15,10.6,8.43,5.71,6.52,20.65,8.43,,13.32,4.62,,4.08,8.15,26.63,5.98,7.61,,4.89,36.96,,5.98,6.52,6.25,13.288889,7.822222,18.605556,0.60325,,7.409722,67.722013
US_TN_47029,2020-02-05,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.04,6.24,9.6,4.8,3.84,4.8,19.45,9.36,4.8,7.2,6.24,3.6,,6.72,33.85,6.48,6.24,6.24,5.52,36.73,3.84,5.28,5.52,5.28,14.05,11.372222,16.494444,8.8265,,13.034722,91.009553
US_TN_47029,2020-02-06,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,6.24,7.05,8.95,6.51,5.15,,17.35,10.85,6.24,5.96,,3.8,6.51,8.95,25.21,5.42,5.42,4.61,5.96,38.5,,7.05,,7.05,14.011111,11.377778,16.127778,54.13375,,13.111111,94.29052
US_TN_47029,2020-02-07,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.11,6.82,9.09,10.22,4.54,,16.75,8.23,7.67,9.37,5.11,,,5.96,25.56,7.95,5.68,,,36.91,,5.39,6.25,7.67,4.916667,-0.677778,13.372222,43.18,,1.215278,80.006015
US_TN_47029,2020-02-08,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,7.15,8.87,11.16,8.01,5.43,8.58,17.73,12.01,,8.29,6.01,,4.58,6.01,22.02,5.72,5.43,4.0,5.15,36.61,,7.15,6.01,7.15,-0.516667,-3.816667,3.411111,3.556,30.48,-3.666667,77.277171
US_TN_47029,2020-02-09,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.08,6.49,9.31,6.77,,,20.32,11.29,,8.75,4.23,6.77,5.93,4.8,26.25,5.08,4.8,4.8,,39.8,3.95,5.08,5.08,3.95,2.727778,-2.655556,11.072222,0.9906,,-0.604167,75.918633
US_TN_47029,2020-02-10,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.16,7.79,11.43,9.35,,7.27,12.99,7.01,4.94,7.27,,4.94,4.94,8.31,27.8,6.24,8.57,,7.01,35.85,4.68,9.35,5.46,9.35,6.033333,0.738889,10.872222,0.22225,,3.583333,84.316554
US_TN_47029,2020-02-11,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.21,,8.92,6.94,5.7,6.45,14.62,6.94,4.71,11.65,4.71,6.94,5.21,3.72,24.04,4.71,6.69,6.45,6.69,37.68,6.2,5.95,4.71,7.44,12.15,7.605556,16.572222,19.685,,10.347222,90.896789
US_TN_47029,2020-02-12,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,3.46,6.67,9.64,9.89,5.44,5.44,11.62,4.95,5.19,8.9,5.19,,5.93,11.37,24.23,7.17,5.19,3.71,9.39,34.86,4.2,6.43,4.2,5.69,8.827778,6.383333,13.927778,7.08025,,6.013889,83.909357
US_TN_47029,2020-02-13,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,6.34,8.98,7.66,5.55,7.4,6.61,13.48,6.87,,10.83,4.23,,6.34,11.36,21.41,5.81,6.08,4.49,5.02,41.22,5.81,,6.08,3.7,12.05,5.4,16.183333,18.76425,,9.5,85.135089
