location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27015,2020-01-27,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,6.07,6.58,,9.61,4.8,7.33,23.01,8.85,6.58,4.55,3.79,6.32,6.32,3.79,5.06,26.05,7.08,4.55,5.06,3.54,36.92,4.05,5.82,5.82,,-4.048611,-7.090278,-1.3125,0.0,-4.909722,93.742409
US_MN_27015,2020-01-28,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.25,7.25,7.25,7.75,,6.25,18.5,8.75,7.25,7.0,6.0,4.0,4.0,4.0,5.5,30.74,5.0,4.25,,5.5,27.99,,6.75,4.0,4.5,-9.407407,-10.703704,-7.512346,0.0,-10.58642,91.158018
US_MN_27015,2020-01-29,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,5.62,5.11,7.16,3.58,7.92,18.14,5.11,7.41,3.58,4.09,7.92,5.62,4.09,4.6,30.92,5.37,4.6,3.83,5.62,36.8,,6.64,4.6,,-8.746914,-9.987654,-6.993827,0.0508,-10.117284,89.838597
US_MN_27015,2020-01-30,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,6.16,8.72,9.23,6.41,5.64,4.36,22.83,4.36,7.18,3.59,3.59,6.16,4.1,,3.59,31.04,6.16,4.62,,,29.24,,4.87,5.39,5.9,-6.697531,-8.888889,-2.740741,0.0,-7.574074,93.4866
US_MN_27015,2020-01-31,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,7.05,5.22,3.92,5.22,3.92,6.53,21.67,7.05,8.35,9.14,,4.18,3.65,,,24.8,6.0,3.65,,5.22,35.77,5.48,,,,-1.355556,-2.65,-0.077778,0.254,-1.788889,96.898824
US_MN_27015,2020-02-01,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,5.23,6.21,5.23,6.87,,5.23,21.59,7.52,4.91,5.23,4.58,,4.91,4.91,4.91,27.48,4.58,,,,32.71,,7.2,7.2,4.58,-0.883333,-5.944444,2.222222,0.254,-2.511111,88.742613
US_MN_27015,2020-02-02,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,8.97,10.46,8.67,,,18.83,8.67,4.48,5.68,,,7.47,5.08,,23.61,4.48,7.47,,,35.87,,5.68,,4.48,4.094444,0.972222,6.116667,0.2794,-0.266667,73.341877
US_MN_27015,2020-02-03,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,3.77,7.3,9.31,7.3,6.79,8.05,21.14,9.06,6.04,5.03,3.52,6.04,6.29,4.28,5.54,25.66,5.79,4.78,5.03,4.28,40.01,3.52,5.03,,,-1.727778,-5.0,1.444444,0.0,-4.866667,79.249048
US_MN_27015,2020-02-04,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,5.55,7.82,5.8,7.06,4.54,,22.94,8.57,9.33,5.8,,,7.06,,5.55,30.25,4.29,4.54,,4.79,32.02,3.53,,5.29,,-8.972222,-12.522222,-4.844444,0.0,-13.027778,72.641875
US_MN_27015,2020-02-05,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.72,3.48,5.46,5.96,4.96,7.7,29.29,9.19,7.2,7.2,,,4.22,3.97,4.47,33.51,3.48,5.46,3.72,6.7,31.53,,3.97,4.47,5.71,-8.422222,-13.044444,-1.972222,0.0,-12.277778,73.786874
