location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19123,2020-01-21,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.26,10.77,11.49,8.98,24.42,11.85,,29.45,6.46,5.39,42.74,6.11,7.54,-14.444444,-20.227778,-5.45,0.1016,-15.666667,90.070098
US_IA_19123,2020-01-22,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.45,8.87,8.87,4.97,25.2,9.23,6.74,31.59,9.23,7.45,40.11,7.1,5.68,-2.144444,-5.894444,0.277778,0.1524,-3.833333,88.324242
US_IA_19123,2020-01-23,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,9.01,6.85,8.65,6.49,18.38,6.85,7.21,25.94,5.4,7.21,37.11,,8.65,0.155556,-0.8,1.211111,2.2352,-0.118056,97.783824
US_IA_19123,2020-01-24,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.51,8.7,6.72,5.93,22.14,,5.93,29.25,7.51,6.32,37.16,7.51,,-0.077778,-0.791667,0.590278,1.100667,-0.326389,97.636237
US_IA_19123,2020-01-25,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.72,11.93,11.01,,22.48,,,29.82,11.93,8.26,33.95,7.8,10.09,-0.827778,-2.272222,0.65,1.11125,-2.0,91.630893
US_IA_19123,2020-01-26,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.56,7.56,10.08,,27.71,,6.3,27.71,7.14,7.56,40.3,,,-4.083333,-8.644444,-0.383333,0.084667,-4.763889,95.057156
US_IA_19123,2020-01-27,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,6.69,11.89,12.26,5.95,26.38,10.4,6.69,37.53,8.92,,44.96,8.17,7.43,-0.966667,-2.6,0.116667,0.0,-1.293651,97.070521
US_IA_19123,2020-01-28,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,8.49,9.96,8.49,23.98,9.59,11.81,37.64,,7.75,43.17,8.49,7.01,-4.016667,-6.372222,-0.744444,0.0762,-4.537037,95.867668
US_IA_19123,2020-01-29,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,5.51,11.03,12.5,,20.58,12.87,5.15,34.55,,9.19,41.17,11.39,8.82,-6.494444,-7.761111,-3.772222,0.0,-7.209877,94.429943
US_IA_19123,2020-01-30,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.49,10.11,11.99,5.99,34.09,7.12,,35.21,5.99,,39.33,7.49,7.12,-4.105556,-6.138889,-0.972222,0.3048,-5.382716,90.665294
US_IA_19123,2020-01-31,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,5.58,8.92,10.78,,37.17,5.58,,35.69,5.58,,37.91,5.2,7.81,-0.761111,-3.622222,2.694444,0.0,-1.746914,93.268654
US_IA_19123,2020-02-01,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,8.63,,,27.26,,,33.17,,7.27,35.9,,7.27,1.461111,0.088889,4.527778,0.0,0.154321,91.198605
US_IA_19123,2020-02-02,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,6.61,7.93,,,21.15,13.22,,32.6,,6.61,39.21,9.69,9.25,5.916667,2.605556,12.188889,0.0,0.5,68.53786
US_IA_19123,2020-02-03,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.8,8.8,11.27,,16.9,11.27,8.45,35.92,8.8,7.04,30.63,7.75,5.28,1.4,-1.788889,6.633333,0.0,-0.141975,88.890754
US_IA_19123,2020-02-04,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,7.71,9.92,6.25,24.61,11.02,9.18,33.43,6.61,8.82,44.81,8.08,5.51,-1.5,-3.933333,1.794444,0.0,-5.493827,73.683726
US_IA_19123,2020-02-05,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,5.44,9.07,10.52,9.07,27.57,7.62,9.07,35.19,,,31.2,5.8,7.25,-4.844444,-6.572222,-2.327778,0.0,-9.475309,69.437638
US_IA_19123,2020-02-06,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,9.04,7.53,9.04,22.97,10.54,,25.23,,6.02,34.64,9.41,6.02,-5.366667,-11.072222,0.016667,0.0,-9.91358,70.124195
US_IA_19123,2020-02-07,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,6.34,9.7,9.7,6.34,23.14,9.33,5.22,25.75,6.72,9.33,29.48,,5.97,-3.855556,-6.305556,-1.261111,0.0,-7.746914,74.371645
US_IA_19123,2020-02-08,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,14.54,11.36,8.63,7.72,28.17,10.9,,34.53,6.82,6.82,42.71,,,-6.094444,-10.738889,-1.633333,0.4064,-8.037037,85.331493
US_IA_19123,2020-02-09,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,10.94,9.62,12.69,12.69,31.06,10.5,,33.24,9.19,,45.93,,8.31,-0.1,-6.144444,5.45,0.1524,-2.746914,82.114548
US_IA_19123,2020-02-10,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,9.36,8.61,,23.59,8.61,5.62,36.33,7.12,7.12,41.2,,8.99,-4.266667,-9.25,1.888889,0.169333,-6.166667,85.670807
US_IA_19123,2020-02-11,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,6.68,13.36,7.05,,19.68,15.96,,34.9,6.31,,39.35,10.77,7.8,-1.883333,-5.45,1.411111,0.0,-5.080247,78.821135
US_IA_19123,2020-02-12,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,7.92,8.28,,26.65,8.64,7.2,33.13,,5.76,33.85,6.48,6.12,-1.738889,-4.211111,1.461111,0.0,-4.41358,82.22453
US_IA_19123,2020-02-13,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.28,9.07,7.09,,20.89,9.86,,29.56,6.7,5.91,48.48,9.46,,-14.688889,-21.588889,0.188889,0.973667,-17.191358,80.430179
US_IA_19123,2020-02-14,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.45,12.94,6.67,,18.82,5.88,5.88,31.76,6.27,,30.2,9.02,5.49,-17.211111,-22.761111,-8.283333,0.0254,-21.345679,70.708558
US_IA_19123,2020-02-15,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,5,3,,8.09,11.42,7.61,,29.5,10.47,,24.27,,9.52,39.98,8.09,9.04,-3.355556,-10.305556,5.083333,0.0,-7.611111,72.275442
US_IA_19123,2020-02-16,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,17,2,,8.83,14.12,9.71,,23.84,7.95,6.62,31.78,,9.27,43.26,10.59,6.62,0.05,-5.611111,6.744444,0.0,-1.975309,86.534718
US_IA_19123,2020-02-17,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,-10,-6,,8.71,11.14,7.31,6.62,23.68,5.92,5.22,37.95,9.4,5.22,40.39,4.88,,2.266667,-0.361111,5.994444,0.108857,1.382716,93.421583
US_IA_19123,2020-02-18,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,-1,0,,6.41,8.91,9.26,6.06,25.65,7.84,4.99,28.14,,7.12,43.46,5.34,,-0.372222,-4.244444,3.761111,0.34925,-2.296296,86.509291
US_IA_19123,2020-02-19,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,6,2,,,10.1,7.86,,26.56,9.72,9.72,26.56,5.61,5.99,43.02,6.73,5.24,-5.844444,-9.8,-0.35,0.0,-8.395062,81.495975
US_IA_19123,2020-02-20,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,1,-2,,,7.33,8.1,,21.21,7.33,5.79,24.68,6.94,6.17,33.17,,,-10.138889,-15.494444,-4.933333,0.042333,-15.098765,66.435398
US_IA_19123,2020-02-21,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,21,2,,5.86,10.16,8.99,7.81,19.93,8.2,,29.3,5.47,6.64,35.94,6.25,,-4.916667,-11.172222,5.066667,0.0,-11.364198,60.894735
US_IA_19123,2020-02-22,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,8,13,,6.91,10.14,12.45,,17.05,9.22,10.14,23.97,15.21,10.6,35.49,9.22,,2.494444,-2.427778,11.211111,0.0,-5.08642,57.466384
