location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48217,2020-01-21,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.05,8.96,11.85,8.38,4.62,6.94,4.05,22.55,8.67,,7.8,4.91,,7.23,,8.67,6.94,35.26,8.67,8.67,6.36,10.41,,43.65,5.49,7.51,9.54,,4.62,6.961111,0.388889,13.711111,0.0,,-1.111111,56.708083
US_TX_48217,2020-01-22,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.07,8.46,9.02,8.46,5.36,5.07,,19.45,8.46,,9.58,,6.48,5.92,5.07,9.58,8.74,32.41,5.36,4.51,4.51,7.05,,41.15,,6.2,5.07,5.36,5.92,6.788889,4.1,11.138889,3.019778,,4.033333,82.652944
US_TX_48217,2020-01-23,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.6,8.67,10.63,5.6,5.6,8.12,8.67,23.23,8.95,5.32,16.51,4.2,4.48,7.28,,5.88,8.12,33.86,9.23,9.23,5.88,4.76,7.55,40.29,5.04,7.28,5.32,8.12,7.0,9.761111,7.255556,14.655556,6.604,,7.85,87.989398
US_TX_48217,2020-01-24,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.3,8.53,10.89,8.24,,,,32.07,10.3,5.59,10.3,,6.77,5.59,,4.41,6.77,37.37,7.36,12.36,5.88,7.06,5.59,35.9,7.36,8.24,7.95,8.53,5.3,8.861111,1.588889,16.95,0.0508,,1.533333,60.397617
US_TX_48217,2020-01-25,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.17,10.16,12.7,5.81,,6.17,,25.4,9.44,6.89,10.89,,,6.17,,8.71,6.89,40.28,5.08,7.62,6.17,6.17,6.89,46.45,,11.61,7.62,6.89,7.26,9.905556,2.527778,18.044444,0.0,,2.838889,61.599937
US_TX_48217,2020-01-26,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.57,10.02,13.13,10.02,10.02,8.99,,31.45,11.06,7.26,14.52,,9.33,7.6,,5.53,8.29,40.78,7.26,7.26,5.88,5.88,5.53,45.62,,,6.57,6.57,6.57,14.858025,8.845679,19.277778,0.0,,11.074074,78.186907
US_TX_48217,2020-01-27,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,7.17,9.18,9.18,6.88,7.17,,6.59,31.83,13.48,4.3,12.33,5.16,6.02,8.89,,7.74,7.74,39.29,6.31,7.74,4.3,6.31,6.59,46.45,,4.59,6.59,,5.74,10.722222,4.685185,18.234568,0.0,,8.58642,86.693616
US_TX_48217,2020-01-28,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.31,8.03,9.18,9.47,,,,24.1,12.91,4.59,12.34,4.59,,6.31,5.45,4.3,10.33,36.73,9.18,9.47,4.59,4.02,5.74,35.29,4.3,9.47,5.74,5.74,7.17,12.888889,9.166667,18.117284,6.69925,,10.728395,86.818828
US_TX_48217,2020-01-29,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.13,7.41,5.13,6.84,,4.28,6.55,22.23,8.26,5.13,13.39,5.13,6.27,9.4,,5.99,5.7,30.49,7.12,6.84,5.13,9.69,15.67,34.2,4.28,6.55,6.27,5.7,3.99,7.135802,4.833333,11.833333,1.919111,,2.969136,74.932904
US_TX_48217,2020-01-30,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.29,7.87,13.53,4.72,6.29,6.92,5.98,29.9,8.81,,11.02,,5.98,6.29,,5.04,11.02,42.49,5.67,8.5,5.04,5.35,8.5,46.58,5.98,8.18,,7.24,4.41,6.302469,4.475309,8.148148,0.0,,3.283951,81.134359
