location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26105,2020-01-11,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.83,6.77,10.31,6.77,,7.73,17.08,10.96,,8.38,5.16,7.09,8.38,,6.44,5.16,21.91,,9.35,,7.09,5.8,32.87,,7.41,5.16,6.44,4.51,0.022222,-3.15,4.355556,3.628571,-1.583333,88.984293
US_MI_26105,2020-01-12,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.84,7.09,5.48,5.48,4.51,5.48,17.09,9.03,,7.09,,5.8,6.13,6.77,,,19.99,,5.48,,,6.77,33.21,,4.84,5.8,,,-6.416667,-9.461111,-2.861111,0.036286,-9.006944,82.836143
US_MI_26105,2020-01-13,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.36,5.45,8.45,6.27,,5.72,14.99,5.72,5.18,8.72,5.18,3.81,6.27,6.27,6.27,8.99,33.52,6.27,6.27,5.45,,,33.79,5.18,5.72,7.36,3.81,4.09,-3.244444,-6.161111,0.361111,0.296333,-4.729167,88.730967
US_MI_26105,2020-01-14,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,,10.33,7.61,4.08,5.71,15.49,8.15,6.52,8.97,,4.35,4.08,4.08,4.62,6.52,24.46,,7.34,4.62,4.89,4.89,37.24,4.08,,5.71,3.81,3.81,0.322222,-0.822222,2.288889,0.072571,-1.340278,89.153111
US_MI_26105,2020-01-15,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.51,6.63,8.76,8.49,4.51,8.49,13.53,8.76,4.78,11.67,5.04,8.22,4.51,,,7.16,20.43,7.43,4.25,4.25,3.71,6.63,36.88,3.71,6.1,3.71,7.16,,1.033333,-0.644444,2.227778,0.0,-1.784722,82.392957
US_MI_26105,2020-01-16,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,4.92,12.29,8.2,,,18.85,6.01,5.46,9.56,3.82,6.56,,,4.92,7.92,27.32,5.74,5.19,5.19,6.01,7.38,30.05,,5.74,6.01,7.92,4.92,-2.805556,-7.15,1.233333,0.0,-5.916667,79.761845
US_MI_26105,2020-01-17,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,7.25,7.52,6.97,5.85,4.46,14.77,6.13,3.9,9.47,,,,5.85,,6.41,22.57,7.8,5.29,,,4.18,30.38,4.74,5.57,6.13,,,-6.261111,-8.344444,-3.872222,0.0,-11.222222,68.92429
US_MI_26105,2020-01-18,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,7.26,8.58,8.58,5.61,,6.93,7.26,5.94,,9.57,,4.95,5.94,,6.93,4.95,21.12,8.91,5.94,,5.94,6.93,36.96,,4.95,4.95,,4.62,-3.05,-5.238889,0.844444,0.362857,-5.090278,86.195691
US_MI_26105,2020-01-19,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.45,5.49,8.39,6.13,,6.45,13.55,7.74,5.49,6.78,,,6.78,4.84,4.84,,23.88,,,5.49,5.16,5.16,32.91,6.13,8.71,6.78,6.13,,-4.016667,-6.472222,-0.083333,0.9144,-7.458333,78.091567
US_MI_26105,2020-01-20,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.56,6.01,7.38,8.74,5.74,6.29,18.86,7.11,6.56,9.56,,4.37,,,4.92,8.2,29.24,5.46,5.19,4.64,4.92,5.46,39.62,,9.84,,4.64,5.19,-4.955556,-7.311111,-2.938889,0.0,-9.152778,74.947576
US_MI_26105,2020-01-21,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.19,5.74,9.57,9.02,4.65,,15.31,9.57,4.1,8.2,,6.01,,4.65,6.29,10.39,24.06,5.19,7.11,6.01,6.56,,40.73,4.92,5.74,4.1,4.65,4.65,-5.477778,-10.544444,-1.255556,0.0,-9.736111,76.17611
US_MI_26105,2020-01-22,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,5.08,8.74,8.46,5.92,6.21,10.72,8.74,4.79,9.03,4.79,4.51,7.05,5.36,5.36,10.15,23.98,5.08,6.77,,6.77,4.51,36.95,4.79,,6.21,,4.51,-0.4,-2.188889,1.866667,0.0,-4.1875,76.643183
US_MI_26105,2020-01-23,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.73,7.51,9.18,7.51,7.79,4.45,20.86,11.4,6.4,13.35,,6.95,,,,5.84,32.82,6.67,4.17,4.45,,5.56,35.6,,6.67,,5.28,4.45,-0.3,-1.744444,1.011111,0.338667,-3.381944,80.474831
US_MI_26105,2020-01-24,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,4.94,10.16,10.43,5.49,6.04,25.53,4.12,5.22,9.88,4.67,,6.86,,6.32,5.49,26.63,4.67,6.59,4.39,5.49,,32.95,5.22,7.69,6.86,4.12,4.12,0.888889,0.044444,2.761111,0.943429,-0.118056,93.515689
US_MI_26105,2020-01-25,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,5.77,9.16,6.79,,6.11,24.09,5.43,5.09,7.46,,6.11,,4.75,6.45,6.45,31.55,8.48,,,,,39.36,,,6.79,4.75,,1.123457,0.246914,2.314815,1.741714,0.507937,96.09821
US_MI_26105,2020-01-26,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.7,7.02,7.02,11.16,5.74,7.02,26.79,8.93,5.1,10.21,5.1,4.46,7.97,,6.06,6.06,32.85,9.57,4.78,,4.78,6.38,44.34,4.46,6.7,,4.46,,1.144444,0.444444,1.872222,0.181429,0.083333,93.431716
US_MI_26105,2020-01-27,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.07,5.97,10.31,6.24,3.8,8.41,20.9,7.06,5.43,7.33,,5.7,5.43,4.61,4.34,4.61,33.38,4.07,6.79,3.8,4.88,4.34,36.91,4.61,6.24,4.34,4.34,4.07,0.622222,-0.122222,1.85,0.145143,-1.027778,89.475695
US_MI_26105,2020-01-28,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.29,,12.8,9.74,5.29,5.01,28.1,6.12,3.9,10.29,5.84,5.84,6.96,,,6.96,41.17,6.96,5.84,4.45,,5.84,39.78,5.01,11.68,6.4,,4.45,-0.555556,-1.872222,0.644444,0.169333,-2.465278,87.444847
US_MI_26105,2020-01-29,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,5.24,11.03,8.27,8.27,4.69,25.91,9.92,5.51,10.2,,4.96,8.82,5.24,4.13,7.72,39.97,5.51,,6.89,6.06,5.51,36.66,5.24,8.54,6.34,6.34,3.86,-2.022222,-2.894444,-0.722222,0.141111,-5.5,77.469094
US_MI_26105,2020-01-30,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.16,8.04,5.27,9.99,7.21,8.04,31.35,7.77,3.88,11.38,3.88,6.94,4.72,4.72,5.83,8.32,32.74,8.32,3.88,4.99,4.72,8.32,40.78,,6.94,6.38,3.88,6.66,-1.438889,-2.388889,-0.333333,0.0,-4.201389,81.862838
US_MI_26105,2020-01-31,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,4.26,7.09,6.81,3.97,,28.94,8.8,5.39,11.07,5.11,4.26,7.95,,,,35.19,4.54,8.8,3.97,,4.82,30.08,,10.21,4.82,4.54,,-0.733333,-1.6,0.605556,0.042333,-2.638889,87.458649
US_MI_26105,2020-02-01,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,8.71,8.38,5.03,5.7,,28.16,6.37,4.69,9.05,,5.7,8.71,7.04,5.7,9.05,29.16,,5.36,,5.7,8.71,37.88,,8.04,5.36,,,1.055556,-0.116667,1.716667,0.127,-0.8125,88.476894
US_MI_26105,2020-02-02,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,5.91,14.12,6.57,5.91,7.55,27.92,7.23,5.25,4.6,6.9,6.57,8.21,,5.25,6.24,29.89,,9.2,6.24,5.91,,39.09,,7.55,6.57,,,2.583333,0.744444,5.461111,0.03175,-0.340278,81.803343
US_MI_26105,2020-02-03,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.36,3.82,6.27,7.63,5.45,6.54,23.72,9.54,,7.36,,6.27,,4.91,3.82,6.82,29.45,4.64,9.82,6.54,,8.73,35.72,6.27,5.73,,,,2.122222,-2.65,5.544444,0.0,-1.333333,79.214536
US_MI_26105,2020-02-04,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.6,4.54,9.07,7.2,5.34,7.2,22.41,9.34,8.27,,,5.6,5.07,6.94,5.34,8.01,29.62,6.14,5.6,,5.07,4.8,33.89,4.27,4.0,4.54,,5.6,-0.044444,-3.627778,2.861111,0.0,-5.048611,69.159326
US_MI_26105,2020-02-05,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.44,6.53,8.98,7.34,5.44,5.17,17.41,6.8,6.8,6.8,,4.9,7.34,,,7.89,23.94,5.98,6.8,4.62,5.71,5.44,36.45,4.35,7.62,7.34,,4.35,-5.683333,-9.827778,-2.566667,0.0,-11.645833,63.744966
US_MI_26105,2020-02-06,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.69,,9.11,6.35,,6.9,20.15,9.38,5.8,6.62,4.14,5.52,6.07,6.9,4.14,6.62,27.32,7.18,8.28,,4.14,7.73,41.4,4.69,5.24,6.9,4.14,,-3.894444,-6.25,-1.466667,0.0,-9.395833,66.583753
US_MI_26105,2020-02-07,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,7.8,10.12,7.52,,6.94,12.14,7.23,6.94,5.78,,4.34,4.05,,,6.94,24.57,6.07,6.94,5.2,6.65,5.78,38.16,,7.52,,4.62,,-3.483333,-7.011111,-0.277778,0.127,-6.770833,80.546237
US_MI_26105,2020-02-08,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,9.48,7.79,,5.08,,17.61,7.79,5.42,10.16,5.08,,,,7.11,5.42,24.71,,7.79,,7.45,,32.5,5.08,,7.79,6.77,4.74,-5.322222,-9.322222,-1.422222,0.296333,-8.902778,76.569853
US_MI_26105,2020-02-09,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.75,7.34,12.13,6.07,7.02,,20.75,9.26,,7.66,,7.98,5.75,,,5.75,20.43,,6.7,,5.11,5.75,39.91,,,7.98,,,-2.25,-4.483333,-0.677778,0.169333,-5.590278,79.167642
US_MI_26105,2020-02-10,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,8.27,11.63,9.49,6.43,8.88,17.45,11.33,5.82,7.66,,6.43,4.59,4.59,6.12,10.41,34.29,10.41,6.74,7.04,,5.51,39.19,,6.43,7.04,4.29,5.51,-1.344444,-2.6,0.183333,0.846667,-3.8125,84.042077
US_MI_26105,2020-02-11,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.92,6.83,10.92,7.1,6.83,13.93,17.2,7.37,5.46,10.38,4.64,6.28,5.19,,,6.01,33.31,6.55,8.19,5.73,,4.1,36.31,6.01,6.28,3.82,,,-2.922222,-5.722222,-0.555556,0.0,-6.041667,80.973635
US_MI_26105,2020-02-12,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,,14.34,10.09,6.11,6.37,12.48,7.7,5.58,9.29,4.25,5.84,5.31,,,7.43,28.67,6.9,5.31,5.04,,3.98,33.45,3.98,5.58,,3.72,3.98,-1.194444,-4.8,1.761111,0.0,-5.506944,73.843991
US_MI_26105,2020-02-13,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.41,5.68,11.63,8.65,,7.03,18.39,8.11,4.6,9.19,4.06,3.79,5.41,,,7.84,21.63,4.06,4.6,,,5.95,29.21,3.79,6.76,3.79,,5.14,-6.327778,-10.972222,0.638889,0.338667,-9.159722,79.892327
US_MI_26105,2020-02-14,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,5.52,7.55,7.26,4.36,4.07,12.49,10.17,5.81,6.68,,,4.94,,5.23,7.55,19.17,,6.97,,,,31.66,,5.81,4.36,4.94,,-10.844444,-13.227778,-7.25,0.042333,-15.145833,72.654575
