location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51139,2020-01-21,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,5.63,11.65,5.63,19.91,13.9,8.64,34.94,5.63,45.83,7.89,-3.794444,-8.755556,1.588889,0.0,-11.740741,54.232607
US_VA_51139,2020-01-22,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,6.65,7.83,11.35,23.48,9.79,9.39,29.75,7.04,38.75,10.18,-3.588889,-9.933333,4.688889,0.0,-10.734568,58.309134
US_VA_51139,2020-01-23,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.19,5.96,,19.73,9.31,7.45,29.04,,38.72,5.96,-1.955556,-7.566667,6.45,0.0,-8.283951,63.770852
US_VA_51139,2020-01-24,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,5.17,,4.83,18.63,9.31,4.83,25.87,6.21,34.84,5.86,2.65,-2.716667,7.6,0.0635,-2.006173,71.755979
US_VA_51139,2020-01-25,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.52,10.07,7.75,18.59,10.84,7.75,37.18,6.58,42.99,11.62,7.977778,3.294444,11.061111,29.972,5.950617,87.49498
US_VA_51139,2020-01-26,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,7.71,6.61,7.34,29.35,11.01,9.17,32.66,8.07,47.33,7.71,3.85,-0.227778,9.016667,4.797778,-1.487654,68.768366
US_VA_51139,2020-01-27,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.27,11.87,6.47,26.97,10.43,7.55,35.24,,40.28,8.99,4.05,-0.355556,9.694444,0.0254,-2.123457,64.570215
US_VA_51139,2020-01-28,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,6.79,8.94,8.58,29.67,9.65,5.72,36.46,6.79,38.6,8.22,4.872222,1.7,8.127778,0.0,-2.524691,59.096453
US_VA_51139,2020-01-29,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,9.27,9.27,8.87,27.81,9.67,6.85,34.66,7.66,38.69,12.09,3.177778,-0.277778,6.966667,0.0,-3.907407,59.834912
US_VA_51139,2020-01-30,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.92,,8.92,35.68,8.92,6.21,41.88,,34.9,8.92,-0.727778,-4.627778,4.3,0.15875,-5.117284,73.474394
