location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13035,2020-01-21,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,,11.75,5.87,,15.42,,,20.92,,8.81,37.44,,5.51,-0.161111,-4.294444,5.466667,0.0,-8.138889,54.968584
US_GA_13035,2020-01-22,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,8.55,4.99,6.77,8.19,14.25,10.33,12.11,27.78,5.7,9.62,38.11,8.19,,1.422222,-4.805556,10.488889,0.0,-9.261111,44.999318
US_GA_13035,2020-01-23,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,5.81,10.89,6.17,5.44,15.24,9.8,6.89,24.68,,5.44,36.65,7.26,,5.85,1.127778,10.672222,0.0,-4.372222,47.915509
US_GA_13035,2020-01-24,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,5.29,8.81,,,22.21,11.98,8.81,26.79,,7.75,38.42,8.81,6.34,8.961111,4.644444,14.733333,13.752286,6.377778,83.975488
US_GA_13035,2020-01-25,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,8.53,8.97,7.18,,18.85,8.97,,31.41,,7.63,51.15,,7.18,6.277778,2.488889,12.788889,2.0828,1.9,73.660425
US_GA_13035,2020-01-26,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,7.86,9.92,7.44,7.86,31.01,12.4,8.27,33.9,6.62,,40.52,5.79,8.27,5.4,0.705556,11.722222,0.0,-0.044444,68.065208
US_GA_13035,2020-01-27,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,,11.47,11.1,,15.9,7.03,9.62,37.73,9.25,7.77,38.47,6.66,,8.977778,3.633333,12.538889,0.211667,5.127778,76.878359
US_GA_13035,2020-01-28,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,6.64,10.69,,,21.75,,8.48,30.6,,8.48,44.98,6.64,,7.683333,1.105556,15.838889,0.0,1.877778,66.755122
US_GA_13035,2020-01-29,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,,13.96,8.45,6.25,14.69,8.08,11.02,27.92,6.25,6.25,36.0,6.98,7.35,6.844444,1.577778,13.477778,0.0,1.372222,68.417775
US_GA_13035,2020-01-30,ChIJVyz8gVEU9IgRjDcmwwfSqm4,Q488210,geoId/13035,US,United States of America,GA,Georgia,13035,Butts County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24067,12759,11308,2776,2766,3552,3211,3211,3386,2703,1644,818,1028131,33.29,-83.96,492,75.8,,,,,,7.54,8.29,7.91,9.04,25.62,8.66,10.55,33.15,6.4,,40.69,6.78,8.29,7.55,1.388889,15.122222,0.169333,2.977778,73.090592
