location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51065,2020-01-30,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,4.12,5.59,12.05,9.12,6.17,5.29,26.76,7.64,4.12,8.23,5.29,5.59,5.59,5.59,24.41,,5.59,4.12,33.81,4.71,,0.038889,-4.322222,5.788889,0.127,-4.623457,71.37901
US_VA_51065,2020-01-31,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,10.16,9.57,9.29,,,24.37,6.09,5.8,7.25,6.38,4.93,4.93,7.54,29.6,4.35,4.93,6.67,31.92,6.38,,0.988889,-3.572222,5.805556,0.435429,-2.154321,79.40801
US_VA_51065,2020-02-01,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.87,10.65,11.0,9.28,4.81,5.5,17.53,7.56,,8.25,,7.22,5.5,6.87,27.15,6.19,6.87,6.19,37.47,10.31,5.84,2.944444,-3.494444,10.183333,1.7272,1.049383,87.417039
US_VA_51065,2020-02-02,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,10.34,10.66,8.07,,,17.12,7.75,,5.81,,8.07,,5.49,31.01,4.84,6.14,8.4,37.79,5.17,7.43,6.722222,-0.361111,15.605556,0.435429,0.45679,64.925381
US_VA_51065,2020-02-03,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,4.55,,8.8,8.5,7.29,6.68,16.7,10.63,,10.93,5.16,,4.86,6.98,26.41,6.38,5.77,4.25,36.43,4.86,6.07,12.972222,4.377778,20.061111,0.0,0.438272,43.799125
US_VA_51065,2020-02-04,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,4.11,5.87,12.03,9.69,,4.7,21.43,7.04,,10.27,,7.34,,7.63,31.99,5.87,,4.4,31.11,5.58,,16.211111,10.222222,21.35,0.042333,5.339506,49.091436
US_VA_51065,2020-02-05,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,7.24,5.5,10.14,6.08,5.21,20.85,9.56,6.66,8.11,8.4,8.69,4.63,4.05,26.06,6.37,5.21,,39.67,,4.63,11.527778,3.688889,19.761111,0.508,7.419753,75.484225
US_VA_51065,2020-02-06,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,4.67,12.08,5.76,5.22,,15.92,9.61,4.94,8.78,5.22,4.94,4.94,,25.25,,6.31,,32.12,,4.39,4.661111,3.15,10.083333,5.672667,4.41358,97.112276
US_VA_51065,2020-02-07,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,,6.0,4.5,4.5,5.1,21.32,6.91,6.0,7.21,6.0,6.3,5.41,7.81,21.92,,,,30.93,5.41,6.3,9.911111,3.072222,14.816667,31.411333,5.679012,74.090987
US_VA_51065,2020-02-08,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.97,5.64,6.97,7.97,5.97,,22.9,6.64,4.98,6.31,5.97,8.63,5.64,6.64,26.89,,6.31,,37.84,5.64,6.31,2.0,-3.344444,8.3,2.794,-6.87037,51.49302
US_VA_51065,2020-02-09,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,9.19,9.51,8.53,6.23,6.89,14.76,9.19,,8.53,6.23,,,7.87,23.62,8.2,7.54,,36.08,6.23,,2.4,-4.305556,10.511111,0.0,-3.895062,63.707643
US_VA_51065,2020-02-10,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.8,6.38,11.61,8.42,,,20.9,10.74,,8.42,,4.06,6.38,4.35,26.7,6.09,7.84,,37.15,7.25,5.8,6.444444,1.255556,10.555556,2.44475,0.716049,66.036282
US_VA_51065,2020-02-11,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.14,5.85,9.94,9.06,7.89,6.43,21.63,13.45,,8.77,4.38,7.31,,7.31,31.28,4.68,6.43,4.97,40.63,5.26,8.19,11.344444,5.605556,15.416667,7.84225,10.697531,95.422975
US_VA_51065,2020-02-12,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.41,8.83,8.83,3.99,4.84,,18.52,8.26,6.55,9.12,5.13,9.12,3.99,9.12,25.64,4.27,4.84,10.83,37.04,5.41,5.41,8.405556,4.977778,13.927778,7.039429,3.518519,70.967876
