location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40135,2020-01-13,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.43,8.86,9.69,10.24,5.26,4.71,18.27,7.47,5.81,13.84,3.88,14.4,,3.88,5.54,9.97,29.35,6.09,6.64,7.75,8.58,5.26,43.19,6.09,6.64,6.64,4.98,6.92,3.433333,-1.033333,12.105556,0.0,,1.027778,84.552735
US_OK_40135,2020-01-14,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.64,5.36,16.64,10.44,5.92,5.92,15.51,12.13,5.92,13.54,4.23,4.51,5.36,4.51,7.62,7.62,28.77,7.33,7.33,7.9,8.18,10.72,41.46,4.51,9.87,6.49,5.64,,7.994444,3.327778,13.666667,0.0,,6.155556,88.317602
US_OK_40135,2020-01-15,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,8.78,7.93,9.06,11.05,8.5,7.08,13.31,9.06,5.1,10.2,,5.38,6.52,4.82,5.67,9.06,31.45,5.38,5.1,9.63,5.95,,47.59,,6.8,6.23,5.38,,13.211111,8.666667,20.811111,0.0,,11.066667,86.915213
US_OK_40135,2020-01-16,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.69,10.3,8.67,5.15,,7.05,12.2,4.88,6.24,13.82,4.34,6.51,5.96,,5.42,7.59,24.12,,7.59,6.78,4.34,7.86,42.29,5.96,6.51,4.61,7.05,4.61,7.588889,2.644444,14.9,0.0,,1.9,67.649737
US_OK_40135,2020-01-17,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.91,6.99,10.48,6.72,5.11,7.52,13.7,8.33,7.52,7.79,4.84,6.18,4.3,5.91,5.91,8.87,23.91,6.99,7.79,4.03,,5.91,41.65,4.03,6.72,7.79,5.64,6.99,3.855556,1.622222,7.583333,4.148667,,0.35,78.115276
US_OK_40135,2020-01-18,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.94,7.77,12.01,6.71,8.47,,16.24,10.59,6.36,11.65,5.65,7.42,8.12,6.0,6.71,7.06,26.13,9.53,10.95,,9.18,5.65,50.85,9.18,6.0,6.0,12.36,9.18,8.455556,3.227778,13.355556,19.6088,,4.661111,77.098705
US_OK_40135,2020-01-19,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,9.53,14.29,7.83,6.47,7.83,14.98,9.19,6.47,11.91,8.51,,5.45,6.13,6.47,9.53,30.29,4.76,5.79,,6.81,6.81,44.93,8.85,9.19,6.81,5.45,8.51,0.883333,-4.227778,7.572222,1.397,,-5.844444,61.058645
US_OK_40135,2020-01-20,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.95,10.85,15.39,7.7,14.7,4.9,22.39,12.6,5.25,15.39,4.9,7.0,9.45,9.45,11.55,11.55,35.69,10.5,6.65,6.65,10.5,8.75,55.28,5.95,7.0,9.8,8.05,7.7,-0.8,-6.527778,6.744444,0.0,,-8.433333,56.575469
US_OK_40135,2020-01-21,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.86,5.3,14.51,6.98,8.09,7.81,21.21,10.88,6.98,13.4,,5.58,6.7,6.7,9.21,10.33,33.77,7.26,8.37,6.14,9.21,,40.74,5.58,,5.02,5.3,8.09,-0.455556,-5.616667,6.272222,0.0,,-5.983333,66.43648
US_OK_40135,2020-01-22,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,9.42,11.7,6.82,6.5,10.4,22.42,8.12,,9.42,,5.53,10.4,,10.4,11.7,28.6,9.42,8.77,4.88,11.05,9.1,46.15,5.85,6.5,6.82,6.17,10.4,0.9,-0.705556,3.388889,1.185333,,-1.983333,81.199951
US_OK_40135,2020-01-23,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.37,11.58,11.02,7.34,,5.08,23.45,7.34,4.24,9.04,7.34,4.52,9.32,,,12.99,39.55,8.47,4.24,4.8,,6.78,49.43,5.65,7.06,,4.52,4.52,2.894444,1.283333,6.972222,4.529667,,2.15,94.931093
US_OK_40135,2020-01-24,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.8,7.47,10.13,10.66,4.8,5.07,27.2,11.2,4.53,8.0,,6.13,7.2,4.0,4.8,11.73,33.86,4.8,11.46,6.13,6.67,5.6,40.53,,7.73,5.07,5.6,5.6,2.644444,0.883333,5.838889,1.227667,,0.416667,85.575815
US_OK_40135,2020-01-25,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.8,9.06,17.04,8.7,7.97,,32.99,14.14,6.89,11.24,,6.53,7.25,,7.61,9.79,39.15,5.44,9.43,6.16,,6.89,50.75,,5.08,10.87,5.44,6.89,2.727778,-3.366667,12.977778,0.056444,,-1.177778,75.499111
US_OK_40135,2020-01-26,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,7.01,9.68,12.02,9.02,9.02,6.68,32.72,13.36,6.01,8.01,,8.01,9.68,6.68,5.01,10.02,32.39,4.67,9.35,5.68,5.01,7.68,45.07,,8.35,7.68,,,8.472222,2.644444,14.266667,1.197429,,5.083333,79.358346
US_OK_40135,2020-01-27,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,6.58,6.58,9.05,9.32,6.03,7.13,44.15,7.13,6.86,10.42,5.76,6.03,8.23,4.66,4.66,12.89,46.34,7.95,8.5,6.03,,6.58,30.71,4.66,9.05,4.66,6.58,7.13,6.577778,-0.272222,16.45,0.056444,,3.211111,79.568846
US_OK_40135,2020-01-28,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.38,5.93,9.29,6.96,6.71,8.0,37.66,10.32,5.93,11.35,5.42,5.93,8.51,4.38,6.96,8.0,48.75,8.51,10.32,5.67,6.96,5.42,42.56,4.13,10.06,5.67,6.45,5.93,6.188889,2.944444,10.955556,0.0,,4.555556,89.338169
US_OK_40135,2020-01-29,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.68,7.85,10.01,10.55,4.6,6.49,41.93,14.07,6.49,11.9,4.33,6.76,5.14,7.85,4.06,6.22,47.34,4.06,5.41,5.41,4.87,3.79,46.26,5.41,11.9,4.33,7.58,8.39,4.727778,2.994444,6.938889,12.488333,,3.9,94.439084
US_OK_40135,2020-01-30,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,7.49,,10.96,8.82,6.42,4.55,45.46,10.7,8.02,6.68,4.01,4.81,5.88,4.28,4.01,8.29,48.13,10.43,7.75,4.55,,7.75,44.66,,8.56,4.55,4.81,4.81,3.455556,1.955556,5.872222,0.903111,,2.038889,90.518507
US_OK_40135,2020-01-31,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,6.09,8.31,11.08,12.19,6.65,,35.17,7.48,7.2,6.65,5.82,6.65,5.54,5.82,6.37,10.25,43.76,6.09,5.82,,5.82,4.15,36.56,4.15,6.92,6.37,4.71,4.99,5.133333,3.794444,8.3,0.03175,,2.822222,85.112184
US_OK_40135,2020-02-01,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,8.6,8.24,8.24,5.73,5.37,32.24,11.46,5.02,12.18,5.37,5.73,,5.37,6.09,8.6,45.14,,9.67,,5.73,5.37,42.99,8.24,9.67,9.31,6.81,,4.877778,-2.288889,14.194444,0.0,,-0.866667,66.71081
US_OK_40135,2020-02-02,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.56,12.17,10.08,,6.26,5.21,25.73,10.43,5.21,11.12,5.91,8.0,5.21,5.21,,6.95,33.03,9.04,10.08,,6.26,,36.85,8.0,10.78,7.65,,,11.455556,2.988889,24.383333,0.0,,-0.805556,44.17792
US_OK_40135,2020-02-03,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.99,11.16,10.61,8.44,7.35,5.44,17.69,10.34,7.89,13.33,4.63,3.81,7.62,,,5.44,31.29,7.35,7.89,6.8,,7.62,38.09,7.89,9.79,7.35,8.44,5.44,16.361111,12.072222,20.533333,0.0,,3.744444,43.526374
US_OK_40135,2020-02-04,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.36,6.53,8.71,9.8,3.81,7.35,26.14,10.62,9.53,7.89,,5.17,6.81,4.63,5.17,9.53,30.76,6.81,4.9,7.62,6.26,3.81,44.38,3.81,6.53,8.71,,6.26,8.666667,3.261111,18.694444,14.859,,6.494444,86.316063
US_OK_40135,2020-02-05,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.76,6.03,11.27,6.55,4.19,,17.55,9.96,7.33,8.91,3.67,4.45,6.55,4.98,5.24,11.79,27.25,4.19,8.91,5.76,,,36.68,,5.76,,5.24,3.93,1.811111,0.355556,3.194444,4.402667,,0.666667,92.200576
US_OK_40135,2020-02-06,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,6.71,12.07,7.78,8.32,6.44,28.97,14.22,5.63,11.27,3.76,5.1,7.24,7.24,,9.93,34.07,6.71,9.66,6.44,4.83,8.85,39.71,4.29,7.51,6.97,7.78,6.44,-0.955556,-2.216667,1.327778,6.059714,,-3.611111,82.280017
US_OK_40135,2020-02-07,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,7.68,9.96,5.69,5.12,,23.32,9.1,5.41,11.09,,8.82,6.83,,,5.69,27.88,8.82,6.83,6.54,,,31.29,,7.96,5.97,6.26,4.55,0.388889,-4.7,9.505556,0.0,,-3.744444,73.947175
US_OK_40135,2020-02-08,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,11.35,5.86,13.91,,,,22.33,7.69,8.05,12.45,,7.32,5.86,,8.05,5.49,29.29,6.22,9.15,,8.05,,41.37,,6.59,5.49,7.69,5.12,3.822222,-3.733333,13.733333,0.0,,-1.872222,66.631636
US_OK_40135,2020-02-09,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.96,10.87,18.24,9.12,5.96,5.61,27.71,13.33,7.37,9.47,8.77,9.47,8.07,5.26,6.31,6.31,37.88,5.96,12.98,7.01,,7.01,43.14,5.61,9.12,9.82,,4.91,11.566667,6.255556,15.955556,0.0,,4.772222,63.427073
US_OK_40135,2020-02-10,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,6.73,6.46,9.96,7.0,5.65,7.81,22.61,13.73,6.19,14.0,,9.69,6.46,4.04,,5.38,30.96,7.54,7.27,5.92,,6.73,40.92,8.35,11.58,8.88,5.12,6.19,6.611111,2.683333,15.7,3.846286,,4.983333,89.495018
US_OK_40135,2020-02-11,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.65,,18.61,7.12,7.39,6.02,25.72,11.77,5.2,11.77,,4.38,8.76,5.2,5.47,9.03,34.2,9.58,9.03,7.66,4.38,5.2,48.71,7.39,11.22,8.48,4.38,4.92,4.111111,2.533333,6.888889,2.159,,0.85,79.377878
US_OK_40135,2020-02-12,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.17,7.08,12.79,7.62,5.99,5.45,20.69,7.62,5.99,13.07,4.36,6.81,7.62,4.36,6.26,8.17,28.04,6.81,7.62,8.44,4.9,7.62,37.84,4.36,8.71,4.9,8.44,,3.866667,2.177778,6.1,3.725333,,1.855556,86.795183
