location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20041,2020-02-17,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,20,6,,-17,,10.89,8.6,26.95,10.32,34.98,,42.43,,7.95679,1.746914,16.716049,0.0,,3.236111,72.430714
US_KS_20041,2020-02-18,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,9,2,4,4,,,12.55,25.11,9.17,35.25,,40.56,8.21,2.87037,-2.382716,11.08642,0.0,,-4.548611,58.061266
US_KS_20041,2020-02-19,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,8,2,-8,4,,10.02,9.54,21.95,9.54,38.17,9.07,41.99,7.63,0.185185,-5.320988,6.216049,0.0,,-6.076389,62.595665
US_KS_20041,2020-02-20,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,2,-4,-2,3,,7.54,8.96,26.4,7.07,24.99,,33.47,,-4.061728,-8.925926,3.111111,0.15875,,-8.944444,69.120033
US_KS_20041,2020-02-21,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,16,4,,7,,,11.15,19.76,15.2,40.03,,43.07,,-3.209877,-11.222222,8.604938,0.056444,30.48,-8.8125,65.332225
US_KS_20041,2020-02-22,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,5,1,0,-5,,,10.2,15.3,14.03,22.32,,26.78,,4.506173,-1.604938,14.580247,0.0,,-3.159722,57.65842
US_KS_20041,2020-02-23,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,24,10,-12,6,,,,23.28,,16.99,9.44,40.9,,8.240741,2.277778,13.611111,1.947333,,3.236111,71.664361
US_KS_20041,2020-02-24,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,12,-4,,4,,11.44,16.21,23.36,8.1,33.84,9.06,50.53,10.01,7.240741,4.04321,11.67284,24.017111,,3.923611,80.110852
US_KS_20041,2020-02-25,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,-10,2,-9,6,,8.79,9.31,23.28,9.83,39.83,,32.07,,2.697531,-0.469136,8.944444,2.398889,,-1.534722,74.633353
US_KS_20041,2020-02-26,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,13,2,4,5,,,16.23,26.69,7.85,45.01,12.04,34.54,8.9,0.234568,-3.895062,4.450617,0.649111,,-6.506944,61.371101
US_KS_20041,2020-02-27,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,12,0,0,4,,9.75,10.29,31.95,,42.78,8.12,32.49,9.75,1.425926,-5.024691,11.191358,0.0,,-5.027778,62.008922
