location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WY_56029,2020-01-24,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,,6.54,6.0,7.63,9.27,14.99,5.18,5.45,8.45,9.27,7.9,,4.91,6.0,6.27,33.25,7.63,6.54,5.72,4.91,6.27,31.34,,9.27,,4.09,,-0.901235,-6.537037,4.419753,0.8255,-5.381944,72.319123
US_WY_56029,2020-01-25,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,5.88,9.47,10.45,4.57,5.55,24.5,6.21,,6.21,9.15,5.88,,,,9.47,31.03,5.55,7.51,,,4.57,33.32,,5.88,4.9,,5.55,0.030864,-4.944444,4.308642,0.145143,-5.638889,67.527182
US_WY_56029,2020-01-26,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,6.41,5.5,6.11,9.47,9.77,5.19,20.77,6.11,7.94,9.16,,,4.58,,4.58,,30.54,4.58,4.89,5.5,,5.19,39.7,5.5,6.11,6.11,,4.28,-0.160494,-4.17284,4.703704,0.471714,-5.291667,70.126683
US_WY_56029,2020-01-27,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,5.16,6.97,7.74,3.61,5.68,8.0,27.86,6.45,,9.03,,4.13,4.64,5.93,4.64,8.0,36.64,6.97,3.61,7.22,4.39,,44.63,,5.42,6.97,4.9,4.64,-0.012346,-4.049383,3.895062,0.834571,-4.201389,74.056925
US_WY_56029,2020-01-28,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,3.73,7.72,10.65,9.85,5.59,6.92,21.56,5.59,5.86,9.85,5.06,4.79,5.86,4.26,,7.72,34.87,5.06,5.59,5.32,,6.39,38.33,5.06,8.52,5.06,4.26,5.32,-3.006173,-7.833333,2.32716,0.762,-8.159722,69.677248
US_WY_56029,2020-01-29,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,10.11,7.45,9.31,6.39,6.92,24.75,7.45,6.92,10.91,6.39,5.59,3.73,4.26,8.52,6.12,33.0,3.73,6.39,4.79,6.12,,41.78,4.26,7.45,6.12,6.12,5.85,-1.907407,-7.049383,2.574074,1.3335,-5.875,74.698354
US_WY_56029,2020-01-30,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.86,7.56,8.1,9.99,5.13,6.48,29.42,8.37,,7.02,5.94,,4.86,5.13,,8.1,37.25,5.13,6.75,4.86,4.59,6.21,42.65,4.59,7.83,7.29,,,-2.907407,-8.561728,1.932099,1.143,-7.888889,68.083864
US_WY_56029,2020-01-31,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,5.1,5.37,9.94,5.37,7.25,5.1,21.75,7.79,4.57,8.86,,4.83,5.64,,5.1,5.64,23.9,6.45,7.25,,,6.18,33.03,,9.67,,4.3,5.91,-5.006173,-11.438272,2.771605,0.987778,-10.652778,64.662371
US_WY_56029,2020-02-01,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,7.06,7.06,8.98,6.09,,23.42,5.78,,6.42,6.09,,8.66,6.09,,,29.84,7.06,6.09,,,4.49,33.04,,9.3,5.78,,,1.179012,-4.432099,7.932099,0.028222,-5.513889,64.328782
US_WY_56029,2020-02-02,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.24,7.58,8.49,7.58,7.27,4.24,12.73,6.67,4.24,4.85,,4.85,4.55,5.76,4.24,5.76,25.76,4.24,8.18,,,4.85,30.91,,,5.15,,5.15,1.864198,-4.104938,7.265432,0.145143,-7.229167,53.876086
US_WY_56029,2020-02-03,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.4,3.88,10.36,6.73,7.77,3.88,24.6,10.62,5.7,9.06,,3.88,4.66,,5.7,8.54,28.22,9.06,3.88,5.7,4.4,6.47,29.78,5.44,4.66,5.7,3.88,,-7.858025,-10.302469,-0.555556,3.979333,-10.805556,80.328132
US_WY_56029,2020-02-04,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,5.28,8.19,7.66,4.23,5.55,16.11,5.28,5.02,8.98,,3.7,5.02,,,6.34,29.85,6.34,6.6,3.96,,,30.64,5.02,5.55,,4.49,4.23,-15.604938,-23.358025,-7.117284,1.74625,-18.645833,75.373485
