location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21217,2020-01-25,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,6.82,12.79,,,6.82,28.99,12.79,,30.27,7.67,7.67,39.23,9.81,7.67,2.648148,1.037037,5.91358,2.455333,,0.979167,88.573871
US_KY_21217,2020-01-26,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,11.14,11.93,13.53,11.93,5.97,31.03,9.15,,40.58,6.37,7.96,44.16,7.16,7.16,2.271605,-0.333333,6.216049,0.0,,-0.652778,81.098189
US_KY_21217,2020-01-27,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.79,9.42,9.73,4.71,6.28,26.69,7.54,7.85,41.45,6.28,5.65,40.51,7.85,,5.716049,1.851852,9.62963,0.326571,,2.541667,80.618153
US_KY_21217,2020-01-28,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,10.44,9.81,7.91,,6.01,31.65,8.23,12.34,40.19,8.23,6.01,41.14,9.49,8.23,0.833333,-1.401235,5.62963,0.197556,,-1.340278,85.124081
US_KY_21217,2020-01-29,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.41,15.72,9.51,6.95,10.6,40.22,10.97,10.97,46.8,8.04,8.04,46.07,15.36,8.04,2.080247,-0.444444,4.938272,0.0,,-0.944444,80.735435
US_KY_21217,2020-01-30,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.5,9.92,10.98,4.96,7.44,42.14,8.85,11.33,49.23,12.39,9.21,46.04,10.98,6.73,2.672222,-0.094444,6.666667,0.254,,-0.185185,81.605735
US_KY_21217,2020-01-31,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,9.58,13.64,9.95,5.53,6.63,50.87,12.53,11.06,50.5,7.74,5.53,39.44,7.74,12.53,4.438889,1.933333,6.888889,1.016,,1.981481,84.15646
US_KY_21217,2020-02-01,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,7.85,10.74,,,6.2,29.34,7.03,12.81,35.95,7.85,11.16,45.04,10.74,7.85,4.922222,3.261111,6.738889,2.286,,3.703704,92.080057
US_KY_21217,2020-02-02,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,,9.55,12.73,,,29.05,,6.76,30.25,9.55,6.76,44.17,10.35,6.37,6.388889,0.1,17.472222,0.0254,,0.54321,66.536373
US_KY_21217,2020-02-03,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,,14.5,4.83,,8.06,34.8,14.5,8.7,37.7,5.48,7.41,38.99,6.45,4.83,12.7,5.761111,21.355556,0.0,,1.91358,48.385621
US_KY_21217,2020-02-04,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,9.64,11.82,8.09,5.29,6.53,41.98,12.75,7.78,34.52,5.91,8.4,42.92,11.82,7.78,14.088889,10.5,19.272222,3.882571,,8.783951,71.00171
US_KY_21217,2020-02-05,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,9.46,10.86,8.76,7.0,9.11,41.32,9.46,4.9,32.22,9.8,8.05,47.98,10.51,,5.882716,1.91358,13.512346,16.721667,,5.694444,99.087781
US_KY_21217,2020-02-06,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,13.21,13.21,8.07,8.07,5.51,42.21,8.44,10.64,41.84,6.61,7.71,45.15,7.34,5.14,3.983333,1.288889,6.688889,2.213429,,3.919753,98.79984
US_KY_21217,2020-02-07,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,11.19,14.54,14.54,,6.34,30.58,9.32,9.32,37.66,7.83,10.81,41.02,12.31,,-0.722222,-2.327778,1.388889,1.36525,30.48,-2.197531,89.455822
US_KY_21217,2020-02-08,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,10.21,9.81,9.81,,,29.42,12.67,,25.74,,10.62,42.9,,,0.283333,-3.305556,5.144444,0.66675,,-2.654321,81.16686
US_KY_21217,2020-02-09,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,7.7,10.13,12.97,,11.35,27.15,14.19,6.08,26.34,6.08,,39.72,,7.29,1.055556,-5.322222,13.533333,0.056444,,-2.728395,76.704784
US_KY_21217,2020-02-10,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,5.96,13.11,12.51,5.07,,28.3,10.13,10.13,31.88,7.75,5.96,35.45,5.96,9.24,9.783333,7.366667,12.144444,3.71475,,5.87037,77.571008
US_KY_21217,2020-02-11,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,7.52,15.35,11.44,4.82,7.82,21.37,8.12,7.52,29.79,8.73,5.12,43.34,4.82,6.92,5.194444,2.788889,8.633333,12.083143,,4.388889,94.350589
