location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51720,2020-01-27,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,55.01,3.583333,0.979167,6.326389,0.508,,1.715278,87.754032
US_VA_51720,2020-01-28,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,39.96,3.024691,0.703704,6.802469,1.27,,-0.666667,77.405382
US_VA_51720,2020-01-29,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,38.18,1.919753,-0.703704,5.962963,0.0,,-1.314815,79.384812
US_VA_51720,2020-01-30,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,38.41,2.895062,0.549383,6.216049,1.016,,0.820988,86.452881
US_VA_51720,2020-01-31,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,60.62,5.04321,2.037037,8.228395,0.1016,,2.432099,83.412335
US_VA_51720,2020-02-01,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,,3.833333,1.524691,6.808642,0.508,,2.876543,93.58056
US_VA_51720,2020-02-02,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,59.03,5.790123,0.290123,15.203704,0.8128,,0.074074,66.947974
US_VA_51720,2020-02-03,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,,10.222222,4.024691,17.820988,0.0,,0.944444,53.88401
US_VA_51720,2020-02-04,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,53.09,12.67284,8.67284,17.487654,2.3495,,7.04321,69.159821
US_VA_51720,2020-02-05,ChIJW4FzLF_JWogRSIFQvETEeA8,Q502984,geoId/51720,US,United States of America,VA,Virginia,51720,Norton,US,USA,2,,,,,,,3918,1812,2106,498,440,533,516,453,507,484,304,183,7508928,36.9367,-82.625,818,19,72.7,,44.34,10.91358,7.802469,15.820988,14.605,,10.41358,96.774163
